geo,Año,Área,Hectareas
15762,2019,Sembrada,387
15763,2019,Sembrada,1031
15764,2019,Sembrada,3727
15774,2019,Sembrada,639
15776,2019,Sembrada,594
15778,2019,Sembrada,295
15790,2019,Sembrada,202
15798,2019,Sembrada,554
15804,2019,Sembrada,2135
15806,2019,Sembrada,736
15808,2019,Sembrada,242
15810,2019,Sembrada,218
15814,2019,Sembrada,4684
15816,2019,Sembrada,4739
15820,2019,Sembrada,251
15822,2019,Sembrada,1299
15832,2019,Sembrada,1265
15835,2019,Sembrada,1280
15837,2019,Sembrada,716
15839,2019,Sembrada,1188
15842,2019,Sembrada,1586
15861,2019,Sembrada,5720
15879,2019,Sembrada,1185
15897,2019,Sembrada,1527
15001,2020,Cosechada,6882
15022,2020,Cosechada,297
15047,2020,Cosechada,3254
15051,2020,Cosechada,2715
15087,2020,Cosechada,975
15090,2020,Cosechada,540
15092,2020,Cosechada,143
15097,2020,Cosechada,912
15104,2020,Cosechada,1026
15106,2020,Cosechada,865
15109,2020,Cosechada,1094
15114,2020,Cosechada,74
15131,2020,Cosechada,942
15135,2020,Cosechada,735
15162,2020,Cosechada,63
15172,2020,Cosechada,272
15176,2020,Cosechada,1070
15180,2020,Cosechada,500
15183,2020,Cosechada,719
15185,2020,Cosechada,3812
15187,2020,Cosechada,558
15189,2020,Cosechada,1371
15204,2020,Cosechada,1762
15212,2020,Cosechada,1590
15215,2020,Cosechada,122
15218,2020,Cosechada,913
15223,2020,Cosechada,169
15224,2020,Cosechada,880
15226,2020,Cosechada,342
15232,2020,Cosechada,1505
15236,2020,Cosechada,125
15238,2020,Cosechada,334
15244,2020,Cosechada,536
15248,2020,Cosechada,155
15272,2020,Cosechada,445
15276,2020,Cosechada,166
15293,2020,Cosechada,530
15296,2020,Cosechada,682
15299,2020,Cosechada,521
15317,2020,Cosechada,253
15322,2020,Cosechada,153
15325,2020,Cosechada,613
15332,2020,Cosechada,227
15362,2020,Cosechada,54
15367,2020,Cosechada,1517
15368,2020,Cosechada,706
15377,2020,Cosechada,459
15380,2020,Cosechada,627
15401,2020,Cosechada,452
15403,2020,Cosechada,185
15407,2020,Cosechada,1682
15425,2020,Cosechada,917
15442,2020,Cosechada,2541
15455,2020,Cosechada,1754
15464,2020,Cosechada,273
15466,2020,Cosechada,183
15469,2020,Cosechada,4876
15476,2020,Cosechada,1523
15480,2020,Cosechada,835
15491,2020,Cosechada,523
15494,2020,Cosechada,2022
15500,2020,Cosechada,376
15507,2020,Cosechada,1402
15511,2020,Cosechada,536
15514,2020,Cosechada,608
15516,2020,Cosechada,615
15518,2020,Cosechada,330
15522,2020,Cosechada,231
15531,2020,Cosechada,3167
15533,2020,Cosechada,241
15537,2020,Cosechada,128
15542,2020,Cosechada,810
15550,2020,Cosechada,307
15572,2020,Cosechada,1368
