geo,Año,Ciclo del cultivo,Producción (ton)
15226,2020,Permanente,118
15226,2020,Transitorio,4758
15226,2021,Permanente,117
15226,2021,Transitorio,4435
15226,2022,Permanente,195
15226,2022,Transitorio,3686
15232,2019,Transitorio,34661
15232,2020,Transitorio,26014
15232,2021,Transitorio,34101
15232,2022,Transitorio,32933
15236,2019,Permanente,4534
15236,2019,Transitorio,307
15236,2020,Permanente,4196
15236,2020,Transitorio,244
15236,2021,Permanente,4189
15236,2021,Transitorio,197
15236,2022,Permanente,4684
15236,2022,Transitorio,109
15238,2019,Permanente,776
15238,2019,Transitorio,6752
15238,2020,Permanente,831
15238,2020,Transitorio,6699
15238,2021,Permanente,755
15238,2021,Transitorio,6086
15238,2022,Permanente,520
15238,2022,Transitorio,8977
15244,2019,Transitorio,3973
15244,2020,Transitorio,4357
15244,2021,Transitorio,3384
15244,2022,Transitorio,2446
15248,2019,Permanente,128
15248,2019,Transitorio,1071
15248,2020,Permanente,294
15248,2020,Transitorio,989
15248,2021,Permanente,285
15248,2021,Transitorio,1158
15248,2022,Permanente,210
15248,2022,Transitorio,1138
15272,2019,Permanente,13
15272,2019,Transitorio,6922
15272,2020,Permanente,48
15272,2020,Transitorio,6194
15272,2021,Permanente,19
15272,2021,Transitorio,6342
15272,2022,Permanente,11
15272,2022,Transitorio,5552
15276,2019,Permanente,20
15276,2019,Transitorio,794
15276,2020,Permanente,12
15276,2020,Transitorio,430
15276,2021,Permanente,37
15276,2021,Transitorio,485
15276,2022,Permanente,46
15276,2022,Transitorio,786
15293,2019,Permanente,5956
15293,2019,Transitorio,3028
15293,2020,Permanente,2589
15293,2020,Transitorio,2241
15293,2021,Permanente,7275
15293,2021,Transitorio,3851
15293,2022,Permanente,11746
15293,2022,Transitorio,3544
15296,2019,Transitorio,6840
15296,2020,Permanente,20
15296,2020,Transitorio,7074
15296,2021,Permanente,20
15296,2021,Transitorio,7472
15296,2022,Permanente,180
15296,2022,Transitorio,9580
15299,2019,Permanente,1385
15299,2019,Transitorio,625
15299,2020,Permanente,1558
15299,2020,Transitorio,723
15299,2021,Permanente,1564
15299,2021,Transitorio,739
15299,2022,Permanente,1513
15299,2022,Transitorio,1223
15317,2019,Permanente,1099
15317,2019,Transitorio,1144
15317,2020,Permanente,1004
15317,2020,Transitorio,887
15317,2021,Permanente,1009
15317,2021,Transitorio,1025
15317,2022,Permanente,109
15317,2022,Transitorio,979
15322,2019,Permanente,74
15322,2019,Transitorio,805
15322,2020,Permanente,119
15322,2020,Transitorio,1158
15322,2021,Permanente,185
15322,2021,Transitorio,754
15322,2022,Permanente,185
15322,2022,Transitorio,863
15325,2019,Permanente,3632
15325,2019,Transitorio,4109
15325,2020,Permanente,3936
15325,2020,Transitorio,4231
15325,2021,Permanente,4626
15325,2021,Transitorio,2171
15325,2022,Permanente,4630
15325,2022,Transitorio,2502
15332,2019,Permanente,0
15332,2019,Transitorio,1526
15332,2020,Transitorio,1174
15332,2021,Transitorio,878
15332,2022,Transitorio,628
15362,2019,Permanente,34
15362,2019,Transitorio,340
15362,2020,Permanente,164
15362,2020,Transitorio,614
15362,2021,Permanente,154
15362,2021,Transitorio,656
15362,2022,Permanente,118
15362,2022,Transitorio,366
15367,2019,Permanente,9692
15367,2019,Transitorio,10786
15367,2020,Permanente,10612
15367,2020,Transitorio,14295
15367,2021,Permanente,10706
15367,2021,Transitorio,14824
15367,2022,Permanente,10463
15367,2022,Transitorio,15142
15368,2019,Permanente,72
15368,2019,Transitorio,10472
15368,2020,Permanente,96
15368,2020,Transitorio,11668
15368,2021,Permanente,110
15368,2021,Transitorio,10311
15368,2022,Permanente,115
15368,2022,Transitorio,8582
15377,2019,Permanente,4576
15377,2019,Transitorio,487
15377,2020,Permanente,4752
15377,2020,Transitorio,825
15377,2021,Permanente,5033
15377,2021,Transitorio,1177
15377,2022,Permanente,6329
15377,2022,Transitorio,1088
15380,2019,Permanente,2233
15380,2019,Transitorio,5200
15380,2020,Permanente,1043
15380,2020,Transitorio,4829
15380,2021,Permanente,1059
15380,2021,Transitorio,4623
15380,2022,Permanente,1059
15380,2022,Transitorio,6013
15401,2019,Permanente,801
15401,2019,Transitorio,217
15401,2020,Permanente,856
15401,2020,Transitorio,542
15401,2021,Permanente,698
15401,2021,Transitorio,146
15401,2022,Permanente,875
15401,2022,Transitorio,118
15403,2019,Permanente,182
15403,2019,Transitorio,737
15403,2020,Permanente,304
15403,2020,Transitorio,781
15403,2021,Permanente,261
15403,2021,Transitorio,1467
15403,2022,Permanente,256
