Año,Cabeceras,Centros poblados y rural disperso
2018,1.5,2.9
2019,1.4,2.8
2020,10.5,17.1
2021,2.7,4.3
2022,1.5,2.8
2023,1.2,2.9
2024,0.7,2.3
