geo,Municipio,Incendios,Año
15248,El Espino,1,2025
15272,Firavitoba,3,2020
15272,Firavitoba,2,2021
15272,Firavitoba,3,2022
15272,Firavitoba,1,2023
15272,Firavitoba,7,2024
15272,Firavitoba,1,2025
15276,Floresta,1,2020
15276,Floresta,5,2021
15276,Floresta,1,2022
15276,Floresta,2,2023
15276,Floresta,1,2024
15293,Gachantivá,2,2024
15296,Gameza,3,2020
15296,Gameza,1,2022
15296,Gameza,1,2023
15296,Gameza,1,2024
15299,Garagoa,1,2020
15299,Garagoa,1,2021
15299,Garagoa,1,2022
15299,Garagoa,1,2023
15299,Garagoa,6,2024
15317,Guacamayas,3,2020
15322,Guateque,3,2020
15322,Guateque,4,2021
15322,Guateque,3,2022
15322,Guateque,6,2023
15322,Guateque,6,2024
15325,Guayatá,4,2020
15325,Guayatá,4,2024
15332,Güicán,1,2023
15332,Güicán,3,2024
15332,Güicán,2,2025
15362,Iza,3,2020
15362,Iza,4,2021
15362,Iza,1,2022
15362,Iza,2,2023
15362,Iza,2,2024
15367,Jenesano,1,2023
15367,Jenesano,4,2024
15368,Jericó,4,2020
15368,Jericó,1,2021
15368,Jericó,3,2025
15377,Labranza Grande,2,2020
15377,Labranza Grande,1,2021
15377,Labranza Grande,3,2023
15377,Labranza Grande,5,2024
15377,Labranza Grande,2,2025
15380,La Capilla,1,2024
15403,La Uvita,1,2020
15403,La Uvita,1,2024
15407,Villa De Leyva,1,2021
15407,Villa De Leyva,1,2022
15407,Villa De Leyva,2,2023
15407,Villa De Leyva,5,2024
15425,Macanal,2,2020
15425,Macanal,1,2021
15425,Macanal,1,2022
15425,Macanal,1,2023
15425,Macanal,2,2024
15442,Maripí,1,2024
15442,Maripí,1,2025
15455,Miraflores,1,2024
15464,Mongua,5,2020
15464,Mongua,1,2021
15464,Mongua,2,2022
15464,Mongua,1,2024
15466,Monguì,2,2020
15466,Monguì,1,2021
15466,Monguì,2,2024
15469,Moniquira,4,2020
15469,Moniquira,12,2024
15469,Moniquira,2,2025
