geo,Municipio,Hectareas
15001,Tunja,39
15022,Almeida,86
15047,Aquitania,340
15051,Arcabuco,151.5
15087,Belén,7
15090,Berbeo,3
15092,Betéitiva,198
15097,Boavita,62
15109,Buenavista,9
15114,Busbanzá,3
15131,Caldas,2
15135,Campohermoso,1.8
15162,Cerinza,8
15172,Chinavita,53
15176,Chiquinquirá,71
15180,Chiscas,270
15183,Chita,295
15187,Chivatá,12
15189,Ciénega,6.5
15204,Combita,6
15212,Coper,4
15215,Corrales,704
15218,Covarachia,88
15223,Cubará,39
15224,Cucaita,13.5
15226,Cuìtiva,52
15232,Chíquiza,439
15236,Chivor,26
15238,Duitama,54.3
15244,El Cocuy,0
15248,El Espino,14
15272,Firavitoba,225.8
15276,Floresta,325.5
15293,Gachantivá,19
15296,Gameza,58.5
15299,Garagoa,31
15317,Guacamayas,18
15322,Guateque,164
15325,Guayatá,42
15332,Güicán,3
15362,Iza,149
15367,Jenesano,51
15368,Jericó,22
15377,Labranza Grande,249
15380,La Capilla,8
15403,La Uvita,25
15407,Villa De Leyva,246
15425,Macanal,94
15442,Maripí,20
15455,Miraflores,2
15464,Mongua,95.76
15466,Monguì,139
15469,Moniquira,41
15476,Motavita,8.2
15480,Muzo,69
15491,Nobsa,16
15494,Nuevo Colón,73.5
15500,Oicata,6.5
15507,Otanche,13
15511,Pachavita,1
15514,Páez,10
15516,Paipa,146
15518,Pajarito,4
15522,Panqueba,78
15531,Pauna,31
15533,Paya,305
15537,Paz De Río,30
15542,Pesca,479
15550,Pisba,237
15572,Puerto Boyacá,123
15580,Quípama,5
15599,Ramiriquí,27
15600,Ráquira,165
15621,Rondón,4
15632,Saboyá,74
15638,Sáchica,24
15646,Samacá,365.5
15660,San Eduardo,1
15664,San José De Pare,4
15673,San Mateo,154
15676,San Miguel De Sema,18
15681,San Pablo De Borbur,5
15686,Santana,4
15690,Santa María,17
15693,Santa Rosa De Viterbo,30
15696,Santa Sofía,40
15720,Sativanorte,34
15723,Sativasur,1
15740,Siachoque,1006
15753,Soatá,12
15755,Socotá,11
15757,Socha,59.5
15759,Sogamoso,533.5
15761,Somondoco,28.5
15762,Sora,142
15763,Sotaquirá,262.8
15764,Soracá,4
15774,Susacón,134
15776,Sutamarchàn,33
15778,Sutatenza,61
15790,Tasco,48.5
15798,Tenza,19.5
15804,Tibana,153
15806,Tibasosa,64.5
15808,Tinjacá,38.5
15810,Tipacoque,29
15814,Toca,1013.4
15816,Togüí,4
15820,Tópaga,79
15822,Tota,1251.5
15835,Turmequé,49
15837,Tuta,121
15839,Tutazá,17
15842,Umbita,230
15861,Ventaquemada,25.5
15879,Viracachá,48
15897,Zetaquirá,28.5
