geo,Municipio,Cultivo,Año,Área sembrada(ha)
15299,Garagoa,Tomate de árbol,2019,4.5
15317,Guacamayas,Naranja,2019,9
15322,Guateque,Frambuesa,2019,2
15322,Guateque,Gulupa o cholupa,2019,1
15322,Guateque,Maracuyá,2019,2
15325,Guayatá,Mora,2019,3
15325,Guayatá,Pitahaya,2019,3
15325,Guayatá,Plátano,2019,116
15325,Guayatá,Gulupa o cholupa,2019,1
15325,Guayatá,Lulo,2019,4
15325,Guayatá,Tomate de árbol,2019,6
15325,Guayatá,Uchuva,2019,2
15362,Iza,Higo,2019,10
15362,Iza,Uchuva,2019,6
15367,Jenesano,Ciruela,2019,50
15367,Jenesano,Durazno o Albaricoque,2019,45
15367,Jenesano,Manzana,2019,30
15367,Jenesano,Pera,2019,300
15367,Jenesano,Aguacate,2019,5
15367,Jenesano,Mora,2019,21
15367,Jenesano,Feijoa,2019,60
15367,Jenesano,Curuba,2019,55
15367,Jenesano,Granadilla,2019,5
15367,Jenesano,Gulupa o cholupa,2019,2
15367,Jenesano,Lulo,2019,8
15367,Jenesano,Tomate de árbol,2019,45
15367,Jenesano,Uchuva,2019,20
15368,Jericó,Brevo,2019,52
15377,Labranzagrande,Guanábana,2019,4.5
15377,Labranzagrande,Naranja,2019,25
15377,Labranzagrande,Aguacate,2019,10
15377,Labranzagrande,Banano,2019,40
15377,Labranzagrande,Plátano,2019,32
15377,Labranzagrande,Lulo,2019,40
15380,La Capilla,Mora,2019,7.98
15380,La Capilla,Tomate de árbol,2019,78.97
15401,La Victoria,Guanábana,2019,4
15401,La Victoria,Otros cítricos,2019,9
15401,La Victoria,Aguacate,2019,5
15401,La Victoria,Plátano,2019,10
15403,La Uvita,Ciruela,2019,1
15403,La Uvita,Durazno o Albaricoque,2019,25
15403,La Uvita,Otros cítricos,2019,2
15403,La Uvita,Mora,2019,2
15403,La Uvita,Tomate de árbol,2019,2
15407,Villa de Leyva,Otros caducifoleos,2019,40
15407,Villa de Leyva,Brevo,2019,4
15407,Villa de Leyva,Mora,2019,18
15425,Macanal,Mora,2019,5
15425,Macanal,Granadilla,2019,5
15425,Macanal,Lulo,2019,65
15442,Maripí,Guanábana,2019,5.5
15442,Maripí,Chontaduro,2019,1
15442,Maripí,Otros cítricos,2019,225
15442,Maripí,Aguacate,2019,27
15442,Maripí,Arándano,2019,2
15442,Maripí,Papayuela -Babaco,2019,11
15442,Maripí,Plátano,2019,104
15442,Maripí,Guayaba,2019,10
15442,Maripí,Gulupa o cholupa,2019,5.5
15442,Maripí,Maracuyá,2019,8
15455,Miraflores,Guanábana,2019,3
15455,Miraflores,Durazno o Albaricoque,2019,1
15455,Miraflores,Aguacate,2019,1
15455,Miraflores,Mora,2019,3
15455,Miraflores,Pitahaya,2019,206
15455,Miraflores,Plátano,2019,60
15455,Miraflores,Chamba,2019,3
15455,Miraflores,Granadilla,2019,10.5
15455,Miraflores,Gulupa o cholupa,2019,11
15455,Miraflores,Maracuyá,2019,9
15455,Miraflores,Lulo,2019,17
15466,Monguí,Otros caducifoleos,2019,2
15466,Monguí,Fresa,2019,1
15466,Monguí,Mora,2019,2.5
15466,Monguí,Tomate de árbol,2019,0.5
15466,Monguí,Uchuva,2019,0.5
15469,Moniquirá,Mandarina,2019,27
15469,Moniquirá,Naranja,2019,100
15469,Moniquirá,Banano,2019,162
15469,Moniquirá,Mora,2019,41
15469,Moniquirá,Plátano,2019,650
15469,Moniquirá,Guayaba,2019,123
15469,Moniquirá,Lulo,2019,31
15476,Motavita,Fresa,2019,10
15476,Motavita,Uchuva,2019,10
15480,Muzo,Guanábana,2019,8
15480,Muzo,Mandarina,2019,8
15480,Muzo,Naranja,2019,41
15480,Muzo,Aguacate,2019,31
15480,Muzo,Plátano,2019,120
15480,Muzo,Maracuyá,2019,1
15491,Nobsa,Brevo,2019,24
15491,Nobsa,Uva,2019,5
15491,Nobsa,Feijoa,2019,10
15491,Nobsa,Tomate de árbol,2019,12
15494,Nuevo Colón,Ciruela,2019,453
15494,Nuevo Colón,Durazno o Albaricoque,2019,35
15494,Nuevo Colón,Manzana,2019,38
15494,Nuevo Colón,Pera,2019,699
15494,Nuevo Colón,Feijoa,2019,13
15494,Nuevo Colón,Curuba,2019,150
15494,Nuevo Colón,Tomate de árbol,2019,10
15494,Nuevo Colón,Uchuva,2019,13
15500,Oicatá,Durazno o Albaricoque,2019,5
15500,Oicatá,Manzana,2019,31
15500,Oicatá,Arándano,2019,1
15500,Oicatá,Fresa,2019,32
15500,Oicatá,Higo,2019,2
15500,Oicatá,Feijoa,2019,1
15507,Otanche,Limón,2019,9
15507,Otanche,Mandarina,2019,10
15507,Otanche,Naranja,2019,23
15507,Otanche,Aguacate,2019,235
15507,Otanche,Plátano,2019,260
15511,Pachavita,Aguacate,2019,3
15511,Pachavita,Banano,2019,23
15511,Pachavita,Mora,2019,6
15511,Pachavita,Lulo,2019,3
15511,Pachavita,Tomate de árbol,2019,12
15514,Páez,Limón,2019,5
15514,Páez,Limón,2019,4
15514,Páez,Naranja,2019,3
15514,Páez,Aguacate,2019,14
15514,Páez,Borojó,2019,4
15514,Páez,Pitahaya,2019,20
15514,Páez,Plátano,2019,50
15514,Páez,Zapote,2019,6
15514,Páez,Lulo,2019,7
15516,Paipa,Ciruela,2019,24.1
15516,Paipa,Durazno o Albaricoque,2019,85.9
15516,Paipa,Mora,2019,113.1
15516,Paipa,Tomate de árbol,2019,17.1
15518,Pajarito,Naranja,2019,49
15518,Pajarito,Aguacate,2019,16
15518,Pajarito,Plátano,2019,26
15518,Pajarito,Zapote,2019,10
15518,Pajarito,Lulo,2019,63
15522,Panqueba,Aguacate,2019,2
15531,Pauna,Guanábana,2019,423
15531,Pauna,Limón,2019,50
15531,Pauna,Mandarina,2019,218
15531,Pauna,Naranja,2019,357
15531,Pauna,Aguacate,2019,289
15531,Pauna,Mora,2019,10
15531,Pauna,Papaya,2019,3
15531,Pauna,Piña,2019,2
15531,Pauna,Pitahaya,2019,1
15531,Pauna,Plátano,2019,106
15531,Pauna,Guayaba,2019,310
15531,Pauna,Gulupa o cholupa,2019,9
15531,Pauna,Lulo,2019,63
15531,Pauna,Tomate de árbol,2019,5
15533,Paya,Guanábana,2019,2
15533,Paya,Mandarina,2019,2
15533,Paya,Naranja,2019,3
15533,Paya,Aguacate,2019,1
15533,Paya,Mango,2019,1
15533,Paya,Plátano,2019,28
15533,Paya,Zapote,2019,1
15533,Paya,Guayaba,2019,1
15537,Paz de Río,Frambuesa,2019,0.4
15537,Paz de Río,Fresa,2019,2
15537,Paz de Río,Higo,2019,4
15537,Paz de Río,Mora,2019,3
15537,Paz de Río,Uva,2019,1
15537,Paz de Río,Lulo,2019,1
15537,Paz de Río,Tomate de árbol,2019,2
15542,Pesca,Higo,2019,8.5
15550,Pisba,Guanábana,2019,1
15550,Pisba,Plátano,2019,60
15550,Pisba,Lulo,2019,2
15572,Puerto Boyacá,Limón,2019,5.5
15572,Puerto Boyacá,Aguacate,2019,18
15572,Puerto Boyacá,Papaya,2019,16
15572,Puerto Boyacá,Piña,2019,8
15572,Puerto Boyacá,Plátano,2019,439
15580,Quípama,Guanábana,2019,100
15580,Quípama,Limón,2019,40
15580,Quípama,Aguacate,2019,82
15580,Quípama,Plátano,2019,250
15599,Ramiriquí,Durazno o Albaricoque,2019,5
15599,Ramiriquí,Mora,2019,54
15599,Ramiriquí,Gulupa o cholupa,2019,2
15599,Ramiriquí,Lulo,2019,8
15599,Ramiriquí,Tomate de árbol,2019,92
15599,Ramiriquí,Uchuva,2019,85
15600,Ráquira,Durazno o Albaricoque,2019,24
15600,Ráquira,Agraz - Mortiño,2019,291
15600,Ráquira,Mora,2019,7
15600,Ráquira,Feijoa,2019,4
15600,Ráquira,Guayaba,2019,9
15600,Ráquira,Curuba,2019,2
15600,Ráquira,Gulupa o cholupa,2019,4
15600,Ráquira,Lulo,2019,12
15600,Ráquira,Tomate de árbol,2019,10
