Año,geo,variable,Categoria,Componente servicio
2005,15047,AQUITANIA,Centros poblados y rural disperso,0.353089
2005,15051,ARCABUCO,Centros poblados y rural disperso,0.171446
2005,15087,BELÉN,Centros poblados y rural disperso,0.086997
2005,15090,BERBEO,Centros poblados y rural disperso,0.085655
2005,15092,BETÉITIVA,Centros poblados y rural disperso,0.228261
2005,15097,BOAVITA,Centros poblados y rural disperso,0.306587
2005,15104,BOYACÁ,Centros poblados y rural disperso,0.046682
2005,15106,BRICEÑO,Centros poblados y rural disperso,0.068139
2005,15109,BUENAVISTA,Centros poblados y rural disperso,0.201550
2005,15114,BUSBANZÁ,Centros poblados y rural disperso,0.062609
2005,15131,CALDAS,Centros poblados y rural disperso,0.052041
2005,15135,CAMPOHERMOSO,Centros poblados y rural disperso,0.211776
2005,15162,CERINZA,Centros poblados y rural disperso,0.056494
2005,15172,CHINAVITA,Centros poblados y rural disperso,0.069936
2005,15176,CHIQUINQUIRÁ,Centros poblados y rural disperso,0.079599
2005,15180,CHISCAS,Centros poblados y rural disperso,0.109832
2005,15183,CHITA,Centros poblados y rural disperso,0.250029
2005,15185,CHITARAQUE,Centros poblados y rural disperso,0.181568
2005,15187,CHIVATÁ,Centros poblados y rural disperso,0.031354
2005,15189,CIÉNEGA,Centros poblados y rural disperso,0.027749
2005,15204,CÓMBITA,Centros poblados y rural disperso,0.094560
2005,15212,COPER,Centros poblados y rural disperso,0.220131
2005,15215,CORRALES,Centros poblados y rural disperso,0.101279
2005,15218,COVARACHÍA,Centros poblados y rural disperso,0.523354
2005,15223,CUBARÁ,Centros poblados y rural disperso,0.531430
2005,15224,CUCAITA,Centros poblados y rural disperso,0.077435
2005,15226,CUÍTIVA,Centros poblados y rural disperso,0.069688
2005,15232,CHÍQUIZA,Centros poblados y rural disperso,0.060338
2005,15236,CHIVOR,Centros poblados y rural disperso,0.045020
2005,15238,DUITAMA,Centros poblados y rural disperso,0.017866
2005,15244,EL COCUY,Centros poblados y rural disperso,0.302756
2005,15248,EL ESPINO,Centros poblados y rural disperso,0.163175
2005,15272,FIRAVITOBA,Centros poblados y rural disperso,0.046553
2005,15276,FLORESTA,Centros poblados y rural disperso,0.007534
2005,15293,GACHANTIVÁ,Centros poblados y rural disperso,0.202381
2005,15296,GAMEZA,Centros poblados y rural disperso,0.098276
2005,15299,GARAGOA,Centros poblados y rural disperso,0.269479
2005,15317,GUACAMAYAS,Centros poblados y rural disperso,0.201220
2005,15322,GUATEQUE,Centros poblados y rural disperso,0.030313
2005,15325,GUAYATÁ,Centros poblados y rural disperso,0.041391
2005,15332,GÜICÁN,Centros poblados y rural disperso,0.537828
2005,15362,IZA,Centros poblados y rural disperso,0.073702
2005,15367,JENESANO,Centros poblados y rural disperso,0.024504
2005,15368,JERICÓ,Centros poblados y rural disperso,0.185252
2005,15377,LABRANZAGRANDE,Centros poblados y rural disperso,0.150239
2005,15380,LA CAPILLA,Centros poblados y rural disperso,0.055718
2005,15401,LA VICTORIA,Centros poblados y rural disperso,0.103448
2005,15403,LA UVITA,Centros poblados y rural disperso,0.110022
2005,15407,VILLA DE LEYVA,Centros poblados y rural disperso,0.038648
2005,15425,MACANAL,Centros poblados y rural disperso,0.112486
2005,15442,MARIPÍ,Centros poblados y rural disperso,0.156282
2005,15455,MIRAFLORES,Centros poblados y rural disperso,0.026500
2005,15464,MONGUA,Centros poblados y rural disperso,0.227218
2005,15466,MONGUÍ,Centros poblados y rural disperso,0.043389
2005,15469,MONIQUIRÁ,Centros poblados y rural disperso,0.158623
2005,15476,MOTAVITA,Centros poblados y rural disperso,0.074468
2005,15480,MUZO,Centros poblados y rural disperso,0.152487
2005,15491,NOBSA,Centros poblados y rural disperso,0.010938
2005,15494,NUEVO COLÓN,Centros poblados y rural disperso,0.034576
2005,15500,OICATÁ,Centros poblados y rural disperso,0.049859
2005,15507,OTANCHE,Centros poblados y rural disperso,0.326835
2005,15511,PACHAVITA,Centros poblados y rural disperso,0.061979
2005,15514,PÁEZ,Centros poblados y rural disperso,0.160418
2005,15516,PAIPA,Centros poblados y rural disperso,0.006049
2005,15518,PAJARITO,Centros poblados y rural disperso,0.252900
2005,15522,PANQUEBA,Centros poblados y rural disperso,0.117953
2005,15531,PAUNA,Centros poblados y rural disperso,0.369110
2005,15533,PAYA,Centros poblados y rural disperso,0.378107
2005,15537,PAZ DE RÍO,Centros poblados y rural disperso,0.113262
2005,15542,PESCA,Centros poblados y rural disperso,0.083286
2005,15550,PISBA,Centros poblados y rural disperso,0.077058
2005,15572,PUERTO BOYACÁ,Centros poblados y rural disperso,0.108887
2005,15580,QUÍPAMA,Centros poblados y rural disperso,0.225052
2005,15599,RAMIRIQUÍ,Centros poblados y rural disperso,0.146630
2005,15600,RÁQUIRA,Centros poblados y rural disperso,0.227426
2005,15621,RONDÓN,Centros poblados y rural disperso,0.101521
2005,15632,SABOYÁ,Centros poblados y rural disperso,0.132040
2005,15638,SÁCHICA,Centros poblados y rural disperso,0.170789
2005,15646,SAMACÁ,Centros poblados y rural disperso,0.056704
2005,15660,SAN EDUARDO,Centros poblados y rural disperso,0.090278
2005,15664,SAN JOSÉ DE PARE,Centros poblados y rural disperso,0.224866
