geo,Municipio,Desagregación cultivo,Año,Área sembrada,Ciclo del cultivo
15272,Firavitoba,Arveja,2019,20.000000,Transitorio
15272,Firavitoba,Arveja,2019,25.000000,Transitorio
15272,Firavitoba,Frijol,2019,5.000000,Transitorio
15272,Firavitoba,Frijol,2019,15.000000,Transitorio
15272,Firavitoba,Haba,2019,2.000000,Transitorio
15276,Floresta,Arveja,2019,8.000000,Transitorio
15276,Floresta,Frijol,2019,70.000000,Transitorio
15293,Gachantivá,Arveja,2019,17.000000,Transitorio
15293,Gachantivá,Arveja,2019,25.000000,Transitorio
15296,Gámeza,Arveja,2019,6.000000,Transitorio
15296,Gámeza,Arveja,2019,12.000000,Transitorio
15296,Gámeza,Frijol,2019,18.000000,Transitorio
15296,Gámeza,Haba,2019,10.000000,Transitorio
15299,Garagoa,Arveja,2019,8.000000,Transitorio
15299,Garagoa,Arveja,2019,6.000000,Transitorio
15299,Garagoa,Frijol,2019,35.000000,Transitorio
15299,Garagoa,Frijol,2019,96.000000,Transitorio
15299,Garagoa,Habichuela,2019,9.000000,Transitorio
15299,Garagoa,Habichuela,2019,8.000000,Transitorio
15317,Guacamayas,Arveja,2019,8.000000,Transitorio
15317,Guacamayas,Frijol,2019,50.000000,Transitorio
15322,Guateque,Arveja,2019,10.000000,Transitorio
15322,Guateque,Arveja,2019,12.000000,Transitorio
15322,Guateque,Frijol,2019,4.000000,Transitorio
15322,Guateque,Frijol,2019,26.000000,Transitorio
15322,Guateque,Garbanzo,2019,1.500000,Transitorio
15322,Guateque,Habichuela,2019,4.000000,Transitorio
15325,Guayatá,Frijol,2019,57.000000,Transitorio
15325,Guayatá,Habichuela,2019,6.000000,Transitorio
15325,Guayatá,Habichuela,2019,8.000000,Transitorio
15332,güicán de la sierra,Arveja,2019,6.000000,Transitorio
15332,güicán de la sierra,Arveja,2019,6.000000,Transitorio
15332,güicán de la sierra,Frijol,2019,25.000000,Transitorio
15332,güicán de la sierra,Haba,2019,6.000000,Transitorio
15362,Iza,Arveja,2019,4.000000,Transitorio
15367,Jenesano,Arveja,2019,20.000000,Transitorio
15367,Jenesano,Arveja,2019,30.000000,Transitorio
15367,Jenesano,Frijol,2019,40.000000,Transitorio
15367,Jenesano,Frijol,2019,20.000000,Transitorio
15368,Jericó,Arveja,2019,8.000000,Transitorio
15368,Jericó,Arveja,2019,8.000000,Transitorio
15368,Jericó,Frijol,2019,8.000000,Transitorio
15368,Jericó,Frijol,2019,8.000000,Transitorio
15368,Jericó,Haba,2019,10.000000,Transitorio
15377,Labranzagrande,Arveja,2019,15.000000,Transitorio
15377,Labranzagrande,Frijol,2019,20.000000,Transitorio
15380,La Capilla,Arveja,2019,55.000000,Transitorio
15380,La Capilla,Arveja,2019,36.000000,Transitorio
