Index,2013,2014,2015,2016,2017
BOYACA,2.690000,2.730000,0.920000,2.800000,3.770000
CUNDINAMARCA,0.840000,1.250000,1.650000,0.410000,0.410000
META,15.190000,6.450000,7.450000,11.600000,10.460000
NORTE DE SANTANDER,3.940000,1.580000,4.740000,4.740000,7.100000
SANTANDER,1.790000,1.800000,2.410000,3.030000,1.820000
