geo,Municipio,Año,Producción
15090,Berbeo,2020,300.600000
15511,Pachavita,2020,326.000000
15022,Almeida,2020,188.000000
15774,Susacon,2020,494.950000
15104,Boyacá,2020,350.780000
15676,San Miguel De Sema,2020,156.000000
15806,Tibasosa,2020,212.000000
15403,La Uvita,2020,304.000000
15368,Jerico,2020,96.000000
15690,Santa Maria,2020,218.700000
15215,Corrales,2020,195.950000
15223,Cubara,2020,468.000000
15491,Nobsa,2020,161.000000
15172,Chinavita,2020,379.000000
15696,Santa Sofia,2020,86.000000
15087,Belen,2020,210.870000
15401,La Victoria,2020,292.200000
15798,Tenza,2020,272.200000
15550,Pisba,2020,315.750000
15248,El Espino,2020,194.000000
15276,Floresta,2020,12.380000
15236,Chivor,2020,86.800000
15047,Aquitania,2020,205.000000
15317,Guacamayas,2020,48.000000
15533,Paya,2020,103.000000
15778,Sutatenza,2020,96.000000
15272,Firavitoba,2020,48.500000
15755,Socota,2020,22.000000
15759,Sogamoso,2020,41.000000
15790,Tasco,2020,32.000000
15162,Cerinza,2020,57.000000
15362,Iza,2020,164.620000
15820,Tópaga,2020,0.000000
15740,Siachoque,2020,120.000000
15476,Motavita,2020,12.000000
15322,Guateque,2020,55.000000
15226,Cuítiva,2020,118.240000
15839,Tutazá,2020,67.220000
15092,Beteitiva,2020,46.000000
15822,Tota,2020,100.000000
15537,Paz De Rio,2020,12.900000
15224,Cucaita,2020,13.000000
15522,Panqueba,2020,8.000000
15466,Monguí,2020,67.000000
15332,Guican,2020,0.000000
15001,Tunja,2020,30.000000
15693,Santa Rosa De Viterbo,2020,20.000000
15761,Somondoco,2020,28.000000
15542,Pesca,2020,8.500000
15464,Mongua,2020,0.000000
15723,Sativasur,2020,0.000000
15187,Chivatá,2020,34.000000
15296,Gámeza,2020,20.800000
15646,Samacá,2020,4.000000
15114,Busbanza,2020,0.000000
15757,Socha,2020,0.000000
15804,Tibana,2021,35605.000000
15494,Nuevo Colon,2021,15848.000000
15832,Tunungua,2021,14031.000000
15367,Jenesano,2021,10706.500000
15531,Pauna,2021,13163.000000
15469,Moniquirá,2021,8577.000000
15632,Saboyá,2021,5715.000000
15835,Turmeque,2021,10755.360000
15763,Sotaquira,2021,3452.000000
15106,Briceño,2021,6718.000000
15109,Buenavista,2021,5526.000000
15189,Cienega,2021,6005.000000
15212,Coper,2021,7783.680000
15580,Quipama,2021,5050.000000
15572,Puerto Boyaca,2021,2495.250000
15051,Arcabuco,2021,2131.000000
15204,Combita,2021,4300.400000
15455,Miraflores,2021,3888.700000
15507,Otanche,2021,4788.600000
15442,Maripi,2021,4284.520000
15599,Ramiriqui,2021,4404.000000
15776,Sutamarchan,2021,2779.200000
15837,Tuta,2021,1841.000000
15842,Umbita,2021,1949.000000
15516,Paipa,2021,1167.100000
15816,Togui,2021,732.200000
15380,La Capilla,2021,1058.400000
15480,Muzo,2021,1507.000000
15621,Rondon,2021,711.400000
15500,Oicata,2021,1506.800000
15293,Gachantiva,2021,1595.000000
15753,Soata,2021,1505.020000
15681,San Pablo De Borbur,2021,1427.090000
15238,Duitama,2021,755.120000
15810,Tipacoque,2021,1896.010000
15218,Covarachia,2021,1035.200000
15897,Zetaquira,2021,868.500000
15176,Chiquinquira,2021,856.000000
15377,Labranzagrande,2021,1301.000000
15180,Chiscas,2021,1162.000000
15660,San Eduardo,2021,1393.000000
15814,Toca,2021,1330.000000
15325,Guayata,2021,818.900000
15518,Pajarito,2021,1179.000000
15861,Ventaquemada,2021,1094.000000
15514,Paez,2021,539.000000
15185,Chitaraque,2021,446.810000
15097,Boavita,2021,689.450000
15764,Soraca,2021,432.000000
15686,Santana,2021,837.000000
15600,Raquira,2021,1115.600000
15673,San Mateo,2021,868.500000
15664,San Jose De Pare,2021,474.100000
15808,Tinjaca,2021,218.100000
15135,Campohermoso,2021,1078.250000
15131,Caldas,2021,752.000000
15183,Chita,2021,465.000000
15879,Viracacha,2021,482.960000
15299,Garagoa,2021,369.700000
15720,Sativanorte,2021,53.000000
15425,Macanal,2021,537.050000
15407,Villa De Leyva,2021,500.620000
15667,San Luis De Gaceno,2021,189.500000
15090,Berbeo,2021,188.970000
15511,Pachavita,2021,379.000000
15022,Almeida,2021,182.000000
15774,Susacon,2021,520.850000
15104,Boyacá,2021,366.280000
15676,San Miguel De Sema,2021,403.000000
15806,Tibasosa,2021,212.000000
15403,La Uvita,2021,261.210000
15368,Jerico,2021,110.400000
15690,Santa Maria,2021,766.750000
15215,Corrales,2021,205.950000
15223,Cubara,2021,536.990000
15491,Nobsa,2021,135.400000
15172,Chinavita,2021,199.000000
15696,Santa Sofia,2021,72.000000
15087,Belen,2021,145.900000
15401,La Victoria,2021,185.770000
15798,Tenza,2021,352.000000
15550,Pisba,2021,222.000000
15248,El Espino,2021,195.000000
15276,Floresta,2021,37.300000
15236,Chivor,2021,107.200000
15047,Aquitania,2021,205.000000
15317,Guacamayas,2021,54.000000
15533,Paya,2021,101.000000
15778,Sutatenza,2021,102.910000
15272,Firavitoba,2021,19.500000
15755,Socota,2021,29.040000
15759,Sogamoso,2021,26.800000
15790,Tasco,2021,206.500000
15162,Cerinza,2021,31.320000
15362,Iza,2021,154.600000
15820,Tópaga,2021,334.290000
15740,Siachoque,2021,100.000000
15476,Motavita,2021,11.000000
15322,Guateque,2021,110.700000
15226,Cuítiva,2021,117.600000
15839,Tutazá,2021,161.350000
15092,Beteitiva,2021,57.000000
15822,Tota,2021,96.000000
15537,Paz De Rio,2021,18.250000
15224,Cucaita,2021,36.000000
15522,Panqueba,2021,23.130000
15466,Monguí,2021,63.940000
15332,Guican,2021,0.000000
15001,Tunja,2021,2.000000
15693,Santa Rosa De Viterbo,2021,53.000000
15761,Somondoco,2021,48.000000
15542,Pesca,2021,8.500000
15464,Mongua,2021,55.000000
15723,Sativasur,2021,6.000000
15187,Chivatá,2021,0.000000
15296,Gámeza,2021,20.800000
15646,Samacá,2021,20.000000
15114,Busbanza,2021,0.000000
15757,Socha,2021,9.500000
