Año,Cabeceras,Centros poblados y rural disperso
2018,0.5,11.5
2019,0.7,10.9
2020,0.3,8.9
2021,0.1,11.2
2022,0.1,8.1
2023,0.1,6.9
2024,0.2,6.3
