Año,Cobertura alta (>=90%),Cobertura baja (<70%),Cobertura media (70% a <90%),No reporta
2020,121,90,21,14
2021,129,88,23,6
2022,133,85,27,1
2023,121,76,29,20
2024,133,61,33,19
2025,134,67,28,17
