Año,Periodo,Primera infancia (0 a 5 años),Infancia (6 a 11 años),Adolescencia (12 a 17 años),Juventud (18 a 28 años),Adultez (29 a 59 años),Vejez (Mayor a 60 años)
2020,ene a jun,84,129,223,404,548,80
2020,jul a dic,82,127,225,401,594,102
2021,ene a jun,100,111,253,334,544,99
2021,jul a dic,105,136,274,374,625,109
2022,ene a jun,105,159,323,400,630,99
2022,jul a dic,114,191,421,454,704,127
2023,ene a jun,150,243,398,530,841,165
2023,jul a dic,161,249,476,590,841,211
2024,ene a jun,159,258,497,609,991,195
