geo,Año,Rango de edad,Sexo,Casos
15087,2021,Adultez,Hombre,2
15087,2021,Infancia,Mujer,1
15087,2021,Juventud,Mujer,7
15087,2021,Primera infancia,Mujer,1
15087,2021,Primera infancia,Hombre,1
15087,2021,Vejez,Mujer,2
15087,2022,Adultez,Mujer,8
15087,2022,Juventud,Mujer,4
15087,2022,Primera infancia,Mujer,1
15087,2022,Vejez,Mujer,1
15087,2023,Adolescencia,Mujer,3
15087,2023,Adultez,Mujer,12
15087,2023,Adultez,Hombre,1
15087,2023,Juventud,Mujer,2
15087,2023,Primera infancia,Mujer,1
15087,2024,Adolescencia,Mujer,2
15087,2024,Adultez,Mujer,6
15087,2024,Infancia,Mujer,1
15087,2024,Juventud,Mujer,2
15090,2020,Adolescencia,Mujer,1
15090,2020,Adolescencia,Hombre,2
15090,2020,Adultez,Mujer,1
15090,2020,Infancia,Mujer,1
15090,2021,Adolescencia,Mujer,2
15090,2022,Adolescencia,Mujer,1
15090,2022,Adolescencia,Hombre,1
15090,2022,Adultez,Mujer,1
15090,2023,Adolescencia,Mujer,1
15090,2023,Adultez,Mujer,2
15090,2024,Adultez,Mujer,1
15092,2020,Vejez,Hombre,1
15092,2022,Adolescencia,Mujer,2
15092,2022,Adolescencia,Hombre,1
15092,2022,Adultez,Mujer,5
15092,2022,Infancia,Hombre,1
15092,2022,Vejez,Mujer,1
15092,2023,Adolescencia,Mujer,1
15092,2023,Adultez,Mujer,2
15092,2023,Infancia,Mujer,1
15092,2023,Infancia,Hombre,1
15092,2023,Juventud,Mujer,1
15092,2023,Vejez,Mujer,1
15092,2024,Infancia,Mujer,1
15097,2020,Infancia,Mujer,3
15097,2020,Infancia,Hombre,3
15097,2020,Primera infancia,Mujer,1
15097,2021,Adolescencia,Mujer,2
15097,2021,Adultez,Mujer,3
15097,2021,Juventud,Mujer,2
15097,2021,Juventud,Hombre,1
15097,2021,Primera infancia,Mujer,2
15097,2021,Primera infancia,Hombre,1
15097,2021,Vejez,Hombre,1
15097,2022,Adultez,Mujer,8
15097,2022,Adultez,Hombre,2
15097,2022,Juventud,Mujer,3
15097,2022,Vejez,Hombre,1
15097,2023,Adolescencia,Mujer,1
15097,2023,Adultez,Mujer,1
15097,2023,Infancia,Mujer,1
15097,2023,Infancia,Hombre,4
15097,2023,Juventud,Mujer,2
15097,2023,Primera infancia,Mujer,1
15097,2023,Primera infancia,Hombre,5
15097,2024,Adolescencia,Mujer,2
15097,2024,Adultez,Mujer,1
15097,2024,Infancia,Mujer,1
15097,2024,Juventud,Mujer,1
15097,2024,Vejez,Hombre,2
15104,2020,Adultez,Mujer,3
15104,2020,Infancia,Hombre,1
15104,2020,Juventud,Mujer,3
15104,2020,Vejez,Mujer,1
15104,2021,Adolescencia,Mujer,3
15104,2021,Adultez,Mujer,4
15104,2021,Juventud,Mujer,3
15104,2022,Adolescencia,Mujer,2
15104,2022,Adolescencia,Hombre,1
15104,2022,Adultez,Mujer,4
15104,2022,Adultez,Hombre,1
15104,2022,Juventud,Mujer,2
15104,2022,Vejez,Mujer,1
15104,2023,Adolescencia,Hombre,1
15104,2023,Adultez,Mujer,12
15104,2023,Adultez,Hombre,1
15104,2023,Infancia,Mujer,1
15104,2023,Infancia,Hombre,1
15104,2023,Juventud,Mujer,4
15104,2023,Vejez,Mujer,1
15104,2024,Adolescencia,Hombre,1
15104,2024,Infancia,Mujer,1
15104,2024,Juventud,Mujer,2
15104,2024,Vejez,Mujer,1
15104,2024,Vejez,Hombre,1
15106,2020,Juventud,Hombre,1
15106,2021,Adolescencia,Mujer,1
15106,2022,Adolescencia,Mujer,1
15106,2022,Infancia,Mujer,1
15106,2023,Infancia,Mujer,1
15106,2024,Adolescencia,Mujer,1
15109,2020,Adolescencia,Mujer,1
15109,2020,Adultez,Mujer,7
15109,2020,Adultez,Hombre,1
15109,2020,Juventud,Mujer,3
15109,2020,Primera infancia,Mujer,1
15109,2021,Adolescencia,Mujer,1
15109,2021,Adultez,Mujer,2
15109,2021,Infancia,Mujer,1
15109,2021,Juventud,Mujer,1
15109,2021,Vejez,Mujer,1
15109,2022,Adolescencia,Mujer,2
15109,2022,Infancia,Mujer,1
15109,2023,Adolescencia,Mujer,1
15109,2023,Adolescencia,Hombre,1
15109,2023,Adultez,Mujer,7
15109,2023,Infancia,Mujer,2
15109,2023,Juventud,Mujer,2
15109,2023,Vejez,Mujer,2
15114,2020,Adultez,Mujer,2
15114,2020,Juventud,Mujer,1
15114,2021,Adultez,Mujer,2
15114,2021,Adultez,Hombre,1
15114,2021,Juventud,Mujer,1
15114,2021,Juventud,Hombre,1
15114,2022,Adultez,Mujer,2
15114,2022,Vejez,Mujer,1
15114,2023,Adolescencia,Mujer,2
15114,2023,Adultez,Mujer,1
15114,2023,Vejez,Mujer,1
15114,2024,Juventud,Hombre,2
15131,2020,Adultez,Mujer,1
15131,2023,Adolescencia,Mujer,1
15135,2020,Adolescencia,Mujer,1
15135,2020,Adultez,Mujer,1
15135,2021,Adultez,Mujer,2
15135,2021,Primera infancia,Mujer,1
15135,2021,Primera infancia,Hombre,1
15135,2022,Adultez,Mujer,1
15135,2022,Infancia,Mujer,1
15135,2023,Adolescencia,Hombre,1
15135,2023,Adultez,Hombre,1
15135,2024,Adultez,Mujer,1
15135,2024,Adultez,Hombre,1
15135,2024,Vejez,Mujer,1
15162,2020,Adolescencia,Mujer,2
15162,2020,Adolescencia,Hombre,1
15162,2020,Adultez,Mujer,6
15162,2020,Adultez,Hombre,2
15162,2020,Juventud,Mujer,2
15162,2020,Juventud,Hombre,1
15162,2020,Vejez,Mujer,3
15162,2021,Adolescencia,Mujer,2
15162,2021,Adultez,Mujer,6
15162,2021,Adultez,Hombre,1
15162,2021,Juventud,Mujer,1
15162,2021,Juventud,Hombre,1
15162,2021,Vejez,Mujer,2
15162,2022,Adolescencia,Mujer,3
15162,2022,Adultez,Mujer,7
15162,2022,Infancia,Mujer,1
15162,2022,Juventud,Mujer,5
15162,2022,Juventud,Hombre,1
15162,2022,Vejez,Mujer,1
15162,2022,Vejez,Hombre,3
15162,2023,Adultez,Mujer,5
15162,2023,Adultez,Hombre,2
15162,2023,Infancia,Mujer,1
15162,2023,Juventud,Mujer,5
15162,2024,Adultez,Mujer,2
15162,2024,Adultez,Hombre,1
15162,2024,Infancia,Mujer,1
15162,2024,Juventud,Mujer,1
15172,2020,Adolescencia,Mujer,1
15172,2020,Adultez,Mujer,5
15172,2020,Adultez,Hombre,2
15172,2020,Juventud,Mujer,4
15172,2020,Juventud,Hombre,1
15172,2020,Vejez,Mujer,1
15172,2022,Adolescencia,Mujer,2
15172,2022,Adultez,Mujer,2
15172,2022,Infancia,Mujer,1
15172,2022,Infancia,Hombre,1
15172,2022,Juventud,Mujer,1
15172,2022,Primera infancia,Mujer,1
15172,2023,Adultez,Mujer,2
15172,2023,Adultez,Hombre,2
15172,2023,Infancia,Mujer,1
15172,2023,Juventud,Mujer,2
15172,2023,Primera infancia,Hombre,1
15172,2023,Vejez,Mujer,1
15172,2024,Adultez,Mujer,5
15172,2024,Juventud,Hombre,1
15172,2024,Vejez,Mujer,1
15176,2020,Adolescencia,Mujer,5
15176,2020,Adolescencia,Hombre,1
15176,2020,Adultez,Mujer,3
15176,2020,Infancia,Mujer,2
15176,2020,Infancia,Hombre,1
15176,2020,Juventud,Mujer,7
15176,2020,Juventud,Hombre,1
15176,2021,Adolescencia,Mujer,12
15176,2021,Adolescencia,Hombre,4
15176,2021,Adultez,Mujer,10
15176,2021,Adultez,Hombre,1
15176,2021,Infancia,Mujer,3
15176,2021,Infancia,Hombre,1
15176,2021,Juventud,Mujer,6
15176,2021,Primera infancia,Mujer,2
15176,2021,Vejez,Mujer,2
15176,2022,Adolescencia,Mujer,6
15176,2022,Adolescencia,Hombre,1
15176,2022,Adultez,Mujer,14
15176,2022,Adultez,Hombre,1
15176,2022,Infancia,Mujer,5
15176,2022,Infancia,Hombre,3
15176,2022,Juventud,Mujer,14
15176,2022,Juventud,Hombre,2
15176,2022,Primera infancia,Hombre,1
15176,2022,Vejez,Mujer,1
15176,2022,Vejez,Hombre,1
