geo,Municipio,Cultivo,Año,Rendimiento (t/ha)
15681,SAN PABLO DE BORBUR,Cacao,2015,5
15531,PAUNA,Cacao,2015,6
15507,OTANCHE,Cacao,2015,6
15442,MARIPI,Cacao,2015,5
15580,QUIPAMA,Cacao,2015,6
15572,PUERTO BOYACA,Cacao,2015,8
15667,SAN LUIS DE GACENO,Cacao,2015,6
15212,COPER,Cacao,2015,1
15109,BUENAVISTA,Cacao,2015,1
15223,CUBARA,Cacao,2015,8
15690,SANTA MARIA,Cacao,2015,46
15135,CAMPOHERMOSO,Cacao,2015,1
15401,LA VICTORIA,Cacao,2015,1
15514,PAEZ,Cacao,2015,7
15455,MIRAFLORES,Cacao,2015,8
15377,LABRANZAGRANDE,Cacao,2015,4
15533,PAYA,Cacao,2015,4
15832,TUNUNGUA,Cacao,2015,1
15480,MUZO,Cacao,2016,4
15531,PAUNA,Cacao,2016,5
15507,OTANCHE,Cacao,2016,6
15681,SAN PABLO DE BORBUR,Cacao,2016,4
15442,MARIPI,Cacao,2016,5
15580,QUIPAMA,Cacao,2016,6
15572,PUERTO BOYACA,Cacao,2016,5
15212,COPER,Cacao,2016,5
15223,CUBARA,Cacao,2016,8
15667,SAN LUIS DE GACENO,Cacao,2016,6
15109,BUENAVISTA,Cacao,2016,66
15401,LA VICTORIA,Cacao,2016,7
15690,SANTA MARIA,Cacao,2016,5
15135,CAMPOHERMOSO,Cacao,2016,5
15686,SANTANA,Cacao,2016,4
15514,PAEZ,Cacao,2016,7
15377,LABRANZAGRANDE,Cacao,2016,4
15533,PAYA,Cacao,2016,3
15455,MIRAFLORES,Cacao,2016,4
15832,TUNUNGUA,Cacao,2016,1
15090,BERBEO,Cacao,2016,
15531,PAUNA,Cacao,2017,5
15442,MARIPI,Cacao,2017,5
15507,OTANCHE,Cacao,2017,5
15681,SAN PABLO DE BORBUR,Cacao,2017,4
15580,QUIPAMA,Cacao,2017,6
15480,MUZO,Cacao,2017,5
15572,PUERTO BOYACA,Cacao,2017,5
15212,COPER,Cacao,2017,4
15223,CUBARA,Cacao,2017,8
15109,BUENAVISTA,Cacao,2017,66
15401,LA VICTORIA,Cacao,2017,7
15667,SAN LUIS DE GACENO,Cacao,2017,6
15690,SANTA MARIA,Cacao,2017,5
15135,CAMPOHERMOSO,Cacao,2017,5
15686,SANTANA,Cacao,2017,4
15514,PAEZ,Cacao,2017,7
15533,PAYA,Cacao,2017,3
15455,MIRAFLORES,Cacao,2017,5
15832,TUNUNGUA,Cacao,2017,9
15090,BERBEO,Cacao,2017,
15531,PAUNA,Cacao,2018,5
15442,MARIPI,Cacao,2018,5
15507,OTANCHE,Cacao,2018,6
15681,SAN PABLO DE BORBUR,Cacao,2018,7
15580,QUIPAMA,Cacao,2018,6
15572,PUERTO BOYACA,Cacao,2018,5
15480,MUZO,Cacao,2018,6
15212,COPER,Cacao,2018,5
15223,CUBARA,Cacao,2018,8
15401,LA VICTORIA,Cacao,2018,7
15109,BUENAVISTA,Cacao,2018,66
15667,SAN LUIS DE GACENO,Cacao,2018,8
15690,SANTA MARIA,Cacao,2018,5
