geo,Municipio,Desagregación cultivo,Año,Área sembrada
15332,Güicán,Cebolla De Bulbo,2019,10
15332,Güicán,Cebolla De Bulbo,2019,6
15362,Iza,Otras hortalizas,2019,3
15362,Iza,Cebolla De Bulbo,2019,7
15362,Iza,Cebolla De Bulbo,2019,4
15367,Jenesano,Calabacín¬ Calabaza,2019,30
15367,Jenesano,Calabacín¬ Calabaza,2019,30
15367,Jenesano,Pepino Guiso,2019,8
15367,Jenesano,Pepino Guiso,2019,10
15367,Jenesano,Cilantro,2019,10
15367,Jenesano,Cilantro,2019,10
15367,Jenesano,Zanahoria,2019,5
15367,Jenesano,Zanahoria,2019,5
15368,Jericó,Tomate,2019,2
15368,Jericó,Tomate,2019,3
15368,Jericó,Cebolla De Bulbo,2019,40
15368,Jericó,Cebolla De Bulbo,2019,40
15380,La Capilla,Otras hortalizas,2019,2
15380,La Capilla,Pepino Cohombro,2019,30
15380,La Capilla,Pepino Guiso,2019,16
15380,La Capilla,Pimentón,2019,30
15380,La Capilla,Pimentón,2019,5
15380,La Capilla,Tomate,2019,14
15380,La Capilla,Tomate,2019,10
15380,La Capilla,Tomate Invernadero,2019,15
15380,La Capilla,Tomate Invernadero,2019,9
15401,La Victoria,Tomate,2019,1
15401,La Victoria,Tomate,2019,1
15403,La Uvita,Otras hortalizas,2019,4
15403,La Uvita,Otras hortalizas,2019,5
15403,La Uvita,Tomate,2019,6
15403,La Uvita,Tomate,2019,2
15403,La Uvita,Cilantro,2019,1
15403,La Uvita,Cilantro,2019,1
15403,La Uvita,Cebolla De Bulbo,2019,1
15403,La Uvita,Cebolla De Rama,2019,1
15407,Villa de Leiva,Otras hortalizas,2019,12
15407,Villa de Leiva,Tomate,2019,309
15407,Villa de Leiva,Tomate Invernadero,2019,287
15407,Villa de Leiva,Cebolla De Bulbo,2019,90
15407,Villa de Leiva,Cebolla De Bulbo,2019,38
15425,Macanal,Ají,2019,16
15425,Macanal,Calabacín¬ Calabaza,2019,2
15425,Macanal,Pepino Cohombro,2019,2
15425,Macanal,Pimentón,2019,4
15425,Macanal,Tomate,2019,14
15442,Maripí,Cebolla De Rama,2019,1
15455,Miraflores,Tomate Invernadero,2019,20
15455,Miraflores,Tomate Invernadero,2019,20
15466,Monguí,Otras hortalizas,2019,4
15466,Monguí,Otras hortalizas,2019,2
15466,Monguí,Tomate Invernadero,2019,1
15466,Monguí,Tomate Invernadero,2019,0
15466,Monguí,Ajo,2019,1
15466,Monguí,Zanahoria,2019,1
15466,Monguí,Zanahoria,2019,0
15469,Moniquirá,Tomate,2019,3
15469,Moniquirá,Tomate,2019,1
15476,Motavita,Cebolla De Bulbo,2019,17
15476,Motavita,Cebolla De Bulbo,2019,15
15476,Motavita,Zanahoria,2019,8
15476,Motavita,Zanahoria,2019,8
15491,Nobsa,Otras hortalizas,2019,45
15491,Nobsa,Otras hortalizas,2019,42
15491,Nobsa,Brócoli,2019,5
15491,Nobsa,Brócoli,2019,8
15491,Nobsa,Tomate,2019,12
15491,Nobsa,Tomate,2019,30
15491,Nobsa,Lechuga,2019,7
15491,Nobsa,Repollo,2019,15
15491,Nobsa,Repollo,2019,26
15491,Nobsa,Cebolla De Bulbo,2019,150
15491,Nobsa,Cebolla De Bulbo,2019,170
15491,Nobsa,Remolacha,2019,6
15491,Nobsa,Remolacha,2019,6
15494,Nuevo Colón,Ahuyama,2019,27
15494,Nuevo Colón,Zanahoria,2019,25
15494,Nuevo Colón,Zanahoria,2019,20
15500,Oicatá,Cebolla De Bulbo,2019,12
15500,Oicatá,Cebolla De Bulbo,2019,12
15511,Pachavita,Pepino Guiso,2019,10
15511,Pachavita,Pepino Guiso,2019,9
15511,Pachavita,Pimentón,2019,7
15511,Pachavita,Pimentón,2019,4
15511,Pachavita,Tomate Invernadero,2019,25
15511,Pachavita,Tomate Invernadero,2019,25
15516,Paipa,Lechuga,2019,4
15516,Paipa,Lechuga,2019,3
15516,Paipa,Cebolla De Bulbo,2019,80
15516,Paipa,Cebolla De Bulbo,2019,71
15518,Pajarito,Ahuyama,2019,13
15522,Panqueba,Ahuyama,2019,8
15522,Panqueba,Ahuyama,2019,10
15522,Panqueba,Tomate,2019,6
15522,Panqueba,Tomate,2019,9
15522,Panqueba,Cebolla De Bulbo,2019,48
15522,Panqueba,Cebolla De Bulbo,2019,52
15537,Paz de Río,Tomate Invernadero,2019,1
15537,Paz de Río,Tomate Invernadero,2019,1
15537,Paz de Río,Cebolla De Bulbo,2019,8
15537,Paz de Río,Cebolla De Bulbo,2019,8
15542,Pesca,Cebolla De Bulbo,2019,100
15542,Pesca,Cebolla De Bulbo,2019,45
15572,Puerto Boyacá,Ahuyama,2019,6
15572,Puerto Boyacá,Ahuyama,2019,8
15572,Puerto Boyacá,Melón,2019,2
15572,Puerto Boyacá,Melón,2019,2
15572,Puerto Boyacá,Patilla,2019,4
15572,Puerto Boyacá,Patilla,2019,6
15599,Ramiriquí,Ahuyama,2019,15
15599,Ramiriquí,Calabacín¬ Calabaza,2019,50
15599,Ramiriquí,Pepino Guiso,2019,28
15599,Ramiriquí,Pepino Guiso,2019,20
15599,Ramiriquí,Cilantro,2019,38
15600,Ráquira,Pepino Cohombro,2019,4
15600,Ráquira,Pepino Guiso,2019,4
15600,Ráquira,Pimentón,2019,7
15600,Ráquira,Pimentón,2019,7
15600,Ráquira,Tomate,2019,31
15600,Ráquira,Tomate,2019,31
15600,Ráquira,Cebolla De Bulbo,2019,79
15600,Ráquira,Cebolla De Bulbo,2019,81
15600,Ráquira,Zanahoria,2019,10
15600,Ráquira,Zanahoria,2019,10
15621,Rondón,Tomate Invernadero,2019,6
15621,Rondón,Tomate Invernadero,2019,6
15632,Saboyá,Lechuga,2019,60
15632,Saboyá,Lechuga,2019,55
15638,Sáchica,Tomate Invernadero,2019,85
15638,Sáchica,Tomate Invernadero,2019,50
15638,Sáchica,Cebolla De Bulbo,2019,90
15638,Sáchica,Cebolla De Bulbo,2019,80
15646,Samacá,Otras hortalizas,2019,3
15646,Samacá,Tomate,2019,3
15646,Samacá,Tomate,2019,8
15646,Samacá,Lechuga,2019,15
15646,Samacá,Lechuga,2019,30
15646,Samacá,Cebolla De Bulbo,2019,320
15646,Samacá,Cebolla De Bulbo,2019,280
15646,Samacá,Remolacha,2019,54
15646,Samacá,Remolacha,2019,30
15646,Samacá,Zanahoria,2019,120
15646,Samacá,Zanahoria,2019,120
15660,San Eduardo,Tomate Invernadero,2019,2
15660,San Eduardo,Tomate Invernadero,2019,2
15664,San José de Pare,Tomate,2019,0
15664,San José de Pare,Tomate,2019,0
15664,San José de Pare,Tomate Invernadero,2019,0
15664,San José de Pare,Tomate Invernadero,2019,0
15673,San Mateo,Tomate,2019,25
15673,San Mateo,Tomate,2019,25
15673,San Mateo,Cebolla De Bulbo,2019,2
15673,San Mateo,Cebolla De Bulbo,2019,2
15676,San Miguel de Sema,Cebolla De Bulbo,2019,5
15676,San Miguel de Sema,Cebolla De Bulbo,2019,10
15690,Santa María,Otras hortalizas,2019,1
15690,Santa María,Ahuyama,2019,3
15690,Santa María,Guatila,2019,3
15693,Santa Rosa de Viterbo,Cilantro,2019,6
15693,Santa Rosa de Viterbo,Cilantro,2019,6
15693,Santa Rosa de Viterbo,Lechuga,2019,3
15693,Santa Rosa de Viterbo,Lechuga,2019,4
15693,Santa Rosa de Viterbo,Repollo,2019,6
15693,Santa Rosa de Viterbo,Repollo,2019,7
15693,Santa Rosa de Viterbo,Cebolla De Bulbo,2019,18
15693,Santa Rosa de Viterbo,Cebolla De Bulbo,2019,21
15693,Santa Rosa de Viterbo,Remolacha,2019,5
15693,Santa Rosa de Viterbo,Remolacha,2019,4
15693,Santa Rosa de Viterbo,Zanahoria,2019,7
15693,Santa Rosa de Viterbo,Zanahoria,2019,8
15696,Santa Sofía,Tomate Invernadero,2019,90
15696,Santa Sofía,Tomate Invernadero,2019,55
15720,Sativanorte,Ahuyama,2019,3
15720,Sativanorte,Ahuyama,2019,3
15720,Sativanorte,Melón,2019,1
15720,Sativanorte,Melón,2019,2
15720,Sativanorte,Tomate,2019,7
15720,Sativanorte,Tomate,2019,7
15740,Siachoque,Otras hortalizas,2019,5
15740,Siachoque,Otras hortalizas,2019,5
15740,Siachoque,Cebolla De Bulbo,2019,300
15740,Siachoque,Cebolla De Bulbo,2019,300
15740,Siachoque,Zanahoria,2019,5
15740,Siachoque,Zanahoria,2019,5
15753,Soatá,Tomate,2019,18
15753,Soatá,Tomate,2019,20
15753,Soatá,Cebolla De Bulbo,2019,10
15753,Soatá,Cebolla De Bulbo,2019,15
15755,Socotá,Cebolla De Bulbo,2019,35
15755,Socotá,Cebolla De Bulbo,2019,35
15757,Socha,Tomate,2019,4
15757,Socha,Tomate,2019,5
15757,Socha,Cebolla De Bulbo,2019,10
15757,Socha,Cebolla De Bulbo,2019,13
15759,Sogamoso,Otras hortalizas,2019,7
15759,Sogamoso,Otras hortalizas,2019,6
15759,Sogamoso,Tomate Invernadero,2019,4
15759,Sogamoso,Lechuga,2019,5
15759,Sogamoso,Lechuga,2019,6
15759,Sogamoso,Cebolla De Bulbo,2019,28
15759,Sogamoso,Cebolla De Bulbo,2019,20
15759,Sogamoso,Cebolla De Rama,2019,30
15759,Sogamoso,Cebolla De Rama,2019,20
15761,Somondoco,Tomate,2019,1
