Año,Cabeceras,Centros poblados y rural disperso
2018,69.9,91.8
2019,72.1,92.6
2020,65.5,87.1
2021,68.4,87.5
2022,69.8,90.1
2023,70.4,89.3
2024,66.8,87.3
