geo,Municipio,Cultivo,Año,Producción(t)
15531,PAUNA,CACAO,2014,344.000000
15507,OTANCHE,CACAO,2014,350.000000
15442,MARIPI,CACAO,2014,248.000000
15580,QUIPAMA,CACAO,2014,242.000000
15572,PUERTO BOYACA,CACAO,2014,264.000000
15667,SAN LUIS DE GACENO,CACAO,2014,32.000000
15212,COPER,CACAO,2014,65.000000
15223,CUBARA,CACAO,2014,29.000000
15109,BUENAVISTA,CACAO,2014,49.000000
15690,SANTA MARIA,CACAO,2014,10.000000
15135,CAMPOHERMOSO,CACAO,2014,20.000000
15401,LA VICTORIA,CACAO,2014,28.000000
15514,PAEZ,CACAO,2014,18.000000
15377,LABRANZAGRANDE,CACAO,2014,7.000000
15533,PAYA,CACAO,2014,5.000000
15832,TUNUNGUA,CACAO,2014,10.000000
15455,MIRAFLORES,CACAO,2014,4.000000
15480,MUZO,CACAO,2015,368.000000
15681,SAN PABLO DE BORBUR,CACAO,2015,334.000000
15531,PAUNA,CACAO,2015,416.000000
15507,OTANCHE,CACAO,2015,360.000000
15442,MARIPI,CACAO,2015,263.000000
15580,QUIPAMA,CACAO,2015,258.000000
15572,PUERTO BOYACA,CACAO,2015,280.000000
15667,SAN LUIS DE GACENO,CACAO,2015,29.000000
15212,COPER,CACAO,2015,75.000000
15109,BUENAVISTA,CACAO,2015,50.000000
15223,CUBARA,CACAO,2015,35.000000
15690,SANTA MARIA,CACAO,2015,12.000000
15135,CAMPOHERMOSO,CACAO,2015,40.000000
15401,LA VICTORIA,CACAO,2015,30.000000
15514,PAEZ,CACAO,2015,18.000000
15455,MIRAFLORES,CACAO,2015,10.000000
15377,LABRANZAGRANDE,CACAO,2015,6.000000
15533,PAYA,CACAO,2015,4.000000
15832,TUNUNGUA,CACAO,2015,8.000000
15480,MUZO,CACAO,2016,320.000000
15531,PAUNA,CACAO,2016,242.000000
15507,OTANCHE,CACAO,2016,399.000000
15681,SAN PABLO DE BORBUR,CACAO,2016,249.000000
15442,MARIPI,CACAO,2016,285.000000
15580,QUIPAMA,CACAO,2016,258.000000
15572,PUERTO BOYACA,CACAO,2016,175.000000
15212,COPER,CACAO,2016,60.000000
15223,CUBARA,CACAO,2016,55.000000
15667,SAN LUIS DE GACENO,CACAO,2016,9.000000
15109,BUENAVISTA,CACAO,2016,7.000000
15401,LA VICTORIA,CACAO,2016,25.000000
15690,SANTA MARIA,CACAO,2016,15.000000
15135,CAMPOHERMOSO,CACAO,2016,8.000000
15686,SANTANA,CACAO,2016,8.000000
15514,PAEZ,CACAO,2016,18.000000
15377,LABRANZAGRANDE,CACAO,2016,6.000000
15533,PAYA,CACAO,2016,4.000000
15455,MIRAFLORES,CACAO,2016,4.000000
15832,TUNUNGUA,CACAO,2016,10.000000
15090,BERBEO,CACAO,2016,0.000000
15531,PAUNA,CACAO,2017,336.000000
15442,MARIPI,CACAO,2017,373.000000
15507,OTANCHE,CACAO,2017,288.000000
15681,SAN PABLO DE BORBUR,CACAO,2017,232.000000
15580,QUIPAMA,CACAO,2017,321.000000
15480,MUZO,CACAO,2017,219.000000
15572,PUERTO BOYACA,CACAO,2017,200.000000
15212,COPER,CACAO,2017,102.000000
15223,CUBARA,CACAO,2017,78.000000
15109,BUENAVISTA,CACAO,2017,43.000000
15401,LA VICTORIA,CACAO,2017,33.000000
15667,SAN LUIS DE GACENO,CACAO,2017,21.000000
15690,SANTA MARIA,CACAO,2017,0.000000
15135,CAMPOHERMOSO,CACAO,2017,10.000000
15686,SANTANA,CACAO,2017,13.000000
15514,PAEZ,CACAO,2017,17.000000
15533,PAYA,CACAO,2017,4.000000
15455,MIRAFLORES,CACAO,2017,5.000000
15832,TUNUNGUA,CACAO,2017,8.000000
15090,BERBEO,CACAO,2017,0.000000
15531,PAUNA,CACAO,2018,351.000000
15442,MARIPI,CACAO,2018,390.000000
15507,OTANCHE,CACAO,2018,375.000000
15681,SAN PABLO DE BORBUR,CACAO,2018,440.000000
15580,QUIPAMA,CACAO,2018,339.000000
15572,PUERTO BOYACA,CACAO,2018,190.000000
15480,MUZO,CACAO,2018,263.000000
15212,COPER,CACAO,2018,147.000000
15223,CUBARA,CACAO,2018,78.000000
15401,LA VICTORIA,CACAO,2018,41.000000
15109,BUENAVISTA,CACAO,2018,50.000000
15667,SAN LUIS DE GACENO,CACAO,2018,31.000000
15690,SANTA MARIA,CACAO,2018,25.000000
15135,CAMPOHERMOSO,CACAO,2018,13.000000
15686,SANTANA,CACAO,2018,13.000000
15514,PAEZ,CACAO,2018,17.000000
15533,PAYA,CACAO,2018,7.000000
15455,MIRAFLORES,CACAO,2018,5.000000
15832,TUNUNGUA,CACAO,2018,6.000000
15090,BERBEO,CACAO,2018,0.000000
15469,MONIQUIRA,CAFE,2007,2.350000
15897,ZETAQUIRA,CAFE,2007,640.000000
15455,MIRAFLORES,CAFE,2007,519.000000
15816,TOGUI,CAFE,2007,700.000000
15664,SAN JOSE DE PARE,CAFE,2007,650.000000
15377,LABRANZAGRANDE,CAFE,2007,420.000000
15686,SANTANA,CAFE,2007,360.000000
15185,CHITARAQUE,CAFE,2007,485.000000
15442,MARIPI,CAFE,2007,286.000000
15090,BERBEO,CAFE,2007,380.000000
15106,BRICEÑO,CAFE,2007,292.000000
15109,BUENAVISTA,CAFE,2007,230.000000
15212,COPER,CAFE,2007,185.000000
15531,PAUNA,CAFE,2007,360.000000
15325,GUAYATA,CAFE,2007,355.000000
15401,LA VICTORIA,CAFE,2007,229.000000
15681,SAN PABLO DE BORBUR,CAFE,2007,120.000000
15832,TUNUNGUA,CAFE,2007,140.000000
15550,PISBA,CAFE,2007,106.000000
15514,PAEZ,CAFE,2007,140.000000
15533,PAYA,CAFE,2007,85.000000
15511,PACHAVITA,CAFE,2007,104.000000
15507,OTANCHE,CAFE,2007,90.000000
15660,SAN EDUARDO,CAFE,2007,119.000000
15673,SAN MATEO,CAFE,2007,100.000000
15798,TENZA,CAFE,2007,54.000000
15172,CHINAVITA,CAFE,2007,23.000000
15580,QUIPAMA,CAFE,2007,32.000000
15518,PAJARITO,CAFE,2007,46.000000
15480,MUZO,CAFE,2007,39.000000
15761,SOMONDOCO,CAFE,2007,17.000000
15022,ALMEIDA,CAFE,2007,7.000000
15690,SANTA MARIA,CAFE,2007,5.000000
15755,SOCOTA,CAFE,2007,5.000000
15696,SANTA SOFIA,CAFE,2007,8.000000
15778,SUTATENZA,CAFE,2007,2.000000
15236,CHIVOR,CAFE,2007,1.000000
15469,MONIQUIRA,CAFE,2008,2.478000
15897,ZETAQUIRA,CAFE,2008,870.000000
15455,MIRAFLORES,CAFE,2008,608.000000
15816,TOGUI,CAFE,2008,580.000000
15664,SAN JOSE DE PARE,CAFE,2008,605.000000
15185,CHITARAQUE,CAFE,2008,510.000000
15686,SANTANA,CAFE,2008,330.000000
15442,MARIPI,CAFE,2008,370.000000
15090,BERBEO,CAFE,2008,357.000000
15106,BRICEÑO,CAFE,2008,308.000000
15109,BUENAVISTA,CAFE,2008,397.000000
15531,PAUNA,CAFE,2008,350.000000
15212,COPER,CAFE,2008,144.000000
15325,GUAYATA,CAFE,2008,378.000000
15377,LABRANZAGRANDE,CAFE,2008,71.000000
15550,PISBA,CAFE,2008,127.000000
15533,PAYA,CAFE,2008,67.000000
15514,PAEZ,CAFE,2008,140.000000
15660,SAN EDUARDO,CAFE,2008,134.000000
15507,OTANCHE,CAFE,2008,101.000000
15681,SAN PABLO DE BORBUR,CAFE,2008,78.000000
15832,TUNUNGUA,CAFE,2008,65.000000
15673,SAN MATEO,CAFE,2008,90.000000
15425,MACANAL,CAFE,2008,72.000000
15401,LA VICTORIA,CAFE,2008,69.000000
15798,TENZA,CAFE,2008,56.000000
15511,PACHAVITA,CAFE,2008,39.000000
15518,PAJARITO,CAFE,2008,61.000000
15761,SOMONDOCO,CAFE,2008,17.000000
15580,QUIPAMA,CAFE,2008,22.000000
15690,SANTA MARIA,CAFE,2008,15.000000
15778,SUTATENZA,CAFE,2008,17.000000
15322,GUATEQUE,CAFE,2008,6.000000
15696,SANTA SOFIA,CAFE,2008,8.000000
15480,MUZO,CAFE,2008,5.000000
15022,ALMEIDA,CAFE,2008,3.000000
15236,CHIVOR,CAFE,2008,1.000000
