Departamento,Población,2018,2019,2020,2021
Boyacá,CA,0.053000,0.052000,0.042000,0.055000
Boyacá,CPRD,0.044000,0.031000,0.024000,0.049000
Cundinamarca,CA,0.047000,0.075000,0.052000,0.062000
Cundinamarca,CPRD,0.050000,0.036000,0.032000,0.033000
Meta,CA,0.074000,0.073000,0.049000,0.066000
Meta,CPRD,0.047000,0.047000,0.056000,0.080000
Norte de Santander,CA,0.157000,0.142000,0.158000,0.146000
Norte de Santander,CPRD,0.139000,0.118000,0.086000,0.112000
Santander,CA,0.063000,0.086000,0.054000,0.053000
Santander,CPRD,0.039000,0.051000,0.041000,0.056000
