geo,Municipio,Año,Puntaje general
15401,LA VICTORIA,2017,45.099030
15403,LA UVITA,2017,56.528883
15407,VILLA DE LEYVA,2017,64.923937
15425,MACANAL,2017,53.753865
15442,MARIPI,2017,45.589275
15455,MIRAFLORES,2017,56.583427
15464,MONGUA,2017,47.621236
15466,MONGUI,2017,46.918063
15469,MONIQUIRA,2017,57.328499
15476,MOTAVITA,2017,44.293974
15480,MUZO,2017,53.569926
15491,NOBSA,2017,63.319192
15494,NUEVO COLON,2017,46.135295
15500,OICATA,2017,61.423829
15507,OTANCHE,2017,50.463314
15511,PACHAVITA,2017,37.501740
15514,PAEZ,2017,52.751485
15516,PAIPA,2017,63.896378
15518,PAJARITO,2017,45.812081
15522,PANQUEBA,2017,43.842545
15531,PAUNA,2017,46.273057
15533,PAYA,2017,49.163392
15537,PAZ DE RIO,2017,41.901699
15542,PESCA,2017,50.261131
15550,PISVA,2017,38.269302
15572,PUERTO BOYACA,2017,55.813923
15580,QUIPAMA,2017,37.443788
15599,RAMIRIQUI,2017,48.069296
15600,RAQUIRA,2017,51.052390
15621,RONDON,2017,31.770346
15632,SABOYA,2017,52.435392
15638,SACHICA,2017,55.192971
15646,SAMACA,2017,54.984090
15660,SAN EDUARDO,2017,39.052881
15664,SAN JOSE DE PARE,2017,47.226258
15667,SAN LUIS DE GACENO,2017,51.328055
15673,SAN MATEO,2017,47.677427
15676,SAN MIGUEL DE SEMA,2017,55.347159
15681,SAN PABLO DE BORBUR,2017,44.638024
15686,SANTANA,2017,51.824842
15690,SANTA MARIA,2017,59.147628
15693,SANTA ROSA DE VITERB,2017,45.448280
15696,SANTA SOFIA,2017,52.312211
15720,SATIVANORTE,2017,46.651406
15723,SATIVASUR,2017,45.918790
15740,SIACHOQUE,2017,50.378102
15753,SOATA,2017,49.154374
15755,SOCOTA,2017,50.629175
15757,SOCHA,2017,53.375455
15759,SOGAMOSO,2017,63.650062
15761,SOMONDOCO,2017,57.285803
15762,SORA,2017,46.413958
15763,SOTAQUIRA,2017,58.085398
15764,SORACA,2017,48.936703
15774,SUSACON,2017,40.542732
15776,SUTAMARCHAN,2017,53.326684
15778,SUTATENZA,2017,46.963206
15790,TASCO,2017,47.577344
15798,TENZA,2017,46.392799
15804,TIBANA,2017,56.390839
15806,TIBASOSA,2017,63.465656
15808,TINJACA,2017,47.899540
15810,TIPACOQUE,2017,40.893089
15814,TOCA,2017,55.608229
15816,TOGUI,2017,56.117995
15820,TOPAGA,2017,48.887619
15822,TOTA,2017,55.027992
15832,TUNUNGUA,2017,46.886588
15835,TURMEQUE,2017,54.778505
15837,TUTA,2017,52.717771
15839,TUTASA,2017,42.887446
15842,UMBITA,2017,48.878875
15861,VENTAQUEMADA,2017,57.184175
15879,VIRACACHA,2017,57.817698
15897,ZETAQUIRA,2017,60.159114
15001,TUNJA,2018,66.500000
15022,ALMEIDA,2018,42.289270
15047,AQUITANIA,2018,44.539134
15051,ARCABUCO,2018,56.627675
15087,BELEN,2018,49.643378
15090,BERBEO,2018,48.774914
15092,BETEITIVA,2018,49.879283
15097,BOAVITA,2018,45.570860
15104,BOYACA,2018,52.479061
15106,BRICEÐO,2018,52.997905
15109,BUENAVISTA,2018,50.067106
15114,BUSBANZA,2018,54.630213
15131,CALDAS,2018,46.712149
15135,CAMPOHERMOSO,2018,50.735422
15162,CERINZA,2018,48.780548
15172,CHINAVITA,2018,57.952077
15176,CHIQUINQUIRA,2018,60.546116
15180,CHISCAS,2018,48.831541
15183,CHITA,2018,44.442790
15185,CHITARAQUE,2018,49.944786
15187,CHIVATA,2018,49.760838
15189,CIENAGA,2018,47.956482
15204,COMBITA,2018,50.123609
15212,COPER,2018,52.113212
15215,CORRALES,2018,48.837882
15218,COVARACHIA,2018,49.008032
15223,CUBARA,2018,56.414254
15224,CUCAITA,2018,42.501536
15226,CUITIVA,2018,55.276431
15232,CHIQUIZA,2018,56.606484
15236,CHIVOR,2018,56.267068
15238,DUITAMA,2018,62.979485
15244,EL COCUY,2018,44.363792
15248,EL ESPINO,2018,39.167002
15272,FIRAVITOBA,2018,55.223330
15276,FLORESTA,2018,44.589878
15293,GACHANTIVA,2018,54.707587
15296,GAMEZA,2018,55.532017
15299,GARAGOA,2018,59.450799
15317,GUACAMAYAS,2018,47.377073
15322,GUATEQUE,2018,61.681453
15325,GUAYATA,2018,48.884889
15332,GUICAN,2018,41.891665
15362,IZA,2018,58.429538
15367,JENESANO,2018,60.644784
15368,JERICO,2018,55.743770
15377,LABRANZAGRANDE,2018,46.986585
15380,LA CAPILLA,2018,50.805654
15401,LA VICTORIA,2018,42.547735
15403,LA UVITA,2018,49.218062
15407,VILLA DE LEYVA,2018,56.544327
15425,MACANAL,2018,47.659386
15442,MARIPI,2018,57.664330
15455,MIRAFLORES,2018,39.278691
15464,MONGUA,2018,43.280767
15466,MONGUI,2018,52.263675
15469,MONIQUIRA,2018,46.683895
15476,MOTAVITA,2018,52.741421
15480,MUZO,2018,53.511915
15491,NOBSA,2018,43.502102
15494,NUEVO COLON,2018,59.661130
15500,OICATA,2018,44.247790
15507,OTANCHE,2018,53.320147
15511,PACHAVITA,2018,45.089051
15514,PAEZ,2018,65.990935
15516,PAIPA,2018,54.803798
15518,PAJARITO,2018,50.228741
15522,PANQUEBA,2018,44.369014
15531,PAUNA,2018,39.783229
15533,PAYA,2018,53.046594
15537,PAZ DE RIO,2018,55.704245
15542,PESCA,2018,46.758712
15550,PISVA,2018,54.872461
15572,PUERTO BOYACA,2018,37.452957
15580,QUIPAMA,2018,52.210789
15599,RAMIRIQUI,2018,52.808002
15600,RAQUIRA,2018,33.226978
15621,RONDON,2018,50.840177
15632,SABOYA,2018,56.073057
15638,SACHICA,2018,51.116437
15646,SAMACA,2018,53.342075
15660,SAN EDUARDO,2018,50.082893
15664,SAN JOSE DE PARE,2018,55.258266
15667,SAN LUIS DE GACENO,2018,40.202549
15673,SAN MATEO,2018,59.418581
15676,SAN MIGUEL DE SEMA,2018,38.941662
15681,SAN PABLO DE BORBUR,2018,61.258556
15686,SANTANA,2018,45.664552
15690,SANTA MARIA,2018,53.508456
15693,SANTA ROSA DE VITERB,2018,58.555107
15696,SANTA SOFIA,2018,51.634141
15720,SATIVANORTE,2018,50.334554
15723,SATIVASUR,2018,49.124305
15740,SIACHOQUE,2018,48.040219
15753,SOATA,2018,57.399887
15755,SOCOTA,2018,46.788807
15757,SOCHA,2018,61.939068
15759,SOGAMOSO,2018,54.332966
15761,SOMONDOCO,2018,52.002991
15762,SORA,2018,44.177765
15763,SOTAQUIRA,2018,58.484146
15764,SORACA,2018,39.346552
15774,SUSACON,2018,56.396413
15776,SUTAMARCHAN,2018,54.275792
15778,SUTATENZA,2018,51.800594
15790,TASCO,2018,56.396210
15798,TENZA,2018,53.142937
15804,TIBANA,2018,70.188297
15806,TIBASOSA,2018,54.693138
15808,TINJACA,2018,49.658184
15810,TIPACOQUE,2018,54.858159
15814,TOCA,2018,50.751250
15816,TOGUI,2018,55.714572
15820,TOPAGA,2018,57.666490
15822,TOTA,2018,45.620427
15832,TUNUNGUA,2018,54.239332
15835,TURMEQUE,2018,52.220022
15837,TUTA,2018,52.533992
15839,TUTASA,2018,49.844109
15842,UMBITA,2018,47.357489
15861,VENTAQUEMADA,2018,64.775492
15879,VIRACACHA,2018,53.977401
15897,ZETAQUIRA,2018,60.350246
15001,TUNJA,2019,73.080526
15022,ALMEIDA,2019,58.186602
15047,AQUITANIA,2019,50.853170
15051,ARCABUCO,2019,52.738591
15087,BELEN,2019,56.944071
15090,BERBEO,2019,58.661755
15092,BETEITIVA,2019,53.320767
15097,BOAVITA,2019,56.581702
15104,BOYACA,2019,57.896785
15106,BRICEÐO,2019,51.866353
15109,BUENAVISTA,2019,55.570041
15114,BUSBANZA,2019,58.581882
15131,CALDAS,2019,53.084562
15135,CAMPOHERMOSO,2019,62.439372
15162,CERINZA,2019,47.032023
15172,CHINAVITA,2019,63.812160
15176,CHIQUINQUIRA,2019,66.961057
15180,CHISCAS,2019,55.594760
15183,CHITA,2019,60.046268
15185,CHITARAQUE,2019,43.291351
15187,CHIVATA,2019,67.769974
15189,CIENAGA,2019,62.681537
15204,COMBITA,2019,54.330751
15212,COPER,2019,50.589101
15215,CORRALES,2019,57.692365
15218,COVARACHIA,2019,49.714042
15223,CUBARA,2019,48.385754
15224,CUCAITA,2019,61.471066
15226,CUITIVA,2019,63.666918
15232,CHIQUIZA,2019,55.348584
15236,CHIVOR,2019,55.573620
15238,DUITAMA,2019,63.279058
15244,EL COCUY,2019,63.195575
15248,EL ESPINO,2019,50.668847
15272,FIRAVITOBA,2019,54.268920
15276,FLORESTA,2019,54.219929
15293,GACHANTIVA,2019,60.201561
15296,GAMEZA,2019,47.900420
15299,GARAGOA,2019,53.790230
15317,GUACAMAYAS,2019,52.884590
15322,GUATEQUE,2019,66.155053
15325,GUAYATA,2019,61.281546
15332,GUICAN,2019,58.357349
15362,IZA,2019,60.208780
15367,JENESANO,2019,70.098840
15368,JERICO,2019,47.384215
15377,LABRANZAGRANDE,2019,57.919586
15380,LA CAPILLA,2019,61.139600
15401,LA VICTORIA,2019,48.951456
15403,LA UVITA,2019,62.662137
15407,VILLA DE LEYVA,2019,71.558610
15425,MACANAL,2019,67.529779
15442,MARIPI,2019,55.752498
15455,MIRAFLORES,2019,68.020904
15464,MONGUA,2019,48.679545
15466,MONGUI,2019,56.622176
15469,MONIQUIRA,2019,55.552094
15476,MOTAVITA,2019,49.158173
15480,MUZO,2019,54.533740
15491,NOBSA,2019,58.478073
15494,NUEVO COLON,2019,54.128366
15500,OICATA,2019,68.224232
15507,OTANCHE,2019,58.363063
15511,PACHAVITA,2019,62.776414
15514,PAEZ,2019,54.199606
15516,PAIPA,2019,69.345117
15518,PAJARITO,2019,50.811050
15522,PANQUEBA,2019,35.889504
15531,PAUNA,2019,52.922802
15533,PAYA,2019,53.827578
15537,PAZ DE RIO,2019,59.554513
15542,PESCA,2019,55.450100
15550,PISVA,2019,60.561577
15572,PUERTO BOYACA,2019,63.911919
15580,QUIPAMA,2019,49.228663
15599,RAMIRIQUI,2019,65.931328
15600,RAQUIRA,2019,64.135646
15621,RONDON,2019,45.399281
15632,SABOYA,2019,57.669560
15638,SACHICA,2019,61.858959
15646,SAMACA,2019,62.826419
15660,SAN EDUARDO,2019,61.484572
15664,SAN JOSE DE PARE,2019,55.050554
15667,SAN LUIS DE GACENO,2019,62.930157
15673,SAN MATEO,2019,53.317789
15676,SAN MIGUEL DE SEMA,2019,68.007728
15681,SAN PABLO DE BORBUR,2019,47.746005
15686,SANTANA,2019,57.943873
15690,SANTA MARIA,2019,63.548838
15693,SANTA ROSA DE VITERB,2019,52.811517
15696,SANTA SOFIA,2019,62.452535
15720,SATIVANORTE,2019,52.280163
15723,SATIVASUR,2019,55.939574
15740,SIACHOQUE,2019,55.865809
15753,SOATA,2019,59.546115
15755,SOCOTA,2019,49.882719
15757,SOCHA,2019,62.792821
15759,SOGAMOSO,2019,66.862472
15761,SOMONDOCO,2019,60.621339
15762,SORA,2019,60.858638
15763,SOTAQUIRA,2019,59.740224
15764,SORACA,2019,48.627765
15774,SUSACON,2019,43.681939
15776,SUTAMARCHAN,2019,67.945454
15778,SUTATENZA,2019,61.335151
15790,TASCO,2019,57.022341
15798,TENZA,2019,63.727523
15804,TIBANA,2019,63.731447
15806,TIBASOSA,2019,71.416613
15808,TINJACA,2019,59.290947
15810,TIPACOQUE,2019,55.875725
15814,TOCA,2019,52.606066
15816,TOGUI,2019,61.978380
15820,TOPAGA,2019,58.325322
15822,TOTA,2019,59.466359
15832,TUNUNGUA,2019,42.660624
15835,TURMEQUE,2019,56.771011
15837,TUTA,2019,66.312848
15839,TUTASA,2019,53.238713
15842,UMBITA,2019,57.887143
15861,VENTAQUEMADA,2019,50.624077
15879,VIRACACHA,2019,58.429487
15897,ZETAQUIRA,2019,65.001609
15001,TUNJA,2020,73.001549
15022,ALMEIDA,2020,55.725307
15047,AQUITANIA,2020,52.083931
15051,ARCABUCO,2020,51.766369
15087,BELEN,2020,52.876320
15090,BERBEO,2020,55.762024
15092,BETEITIVA,2020,44.597561
15097,BOAVITA,2020,48.633057
15104,BOYACA,2020,44.611549
15106,BRICEÐO,2020,56.285038
15109,BUENAVISTA,2020,38.021099
15114,BUSBANZA,2020,60.044270
15131,CALDAS,2020,39.491344
15135,CAMPOHERMOSO,2020,59.032806
15162,CERINZA,2020,48.740673
15172,CHINAVITA,2020,49.618862
15176,CHIQUINQUIRA,2020,61.512131
15180,CHISCAS,2020,47.723820
15183,CHITA,2020,55.697830
15185,CHITARAQUE,2020,43.828751
15187,CHIVATA,2020,62.845978
15189,CIENAGA,2020,55.915508
15204,COMBITA,2020,49.646557
15212,COPER,2020,44.012218
15215,CORRALES,2020,57.259418
15218,COVARACHIA,2020,41.198502
15223,CUBARA,2020,52.348362
15224,CUCAITA,2020,54.249958
15226,CUITIVA,2020,55.549568
15232,CHIQUIZA,2020,51.443672
15236,CHIVOR,2020,51.430107
15238,DUITAMA,2020,63.110661
15244,EL COCUY,2020,57.001930
15248,EL ESPINO,2020,43.509888
15272,FIRAVITOBA,2020,48.062630
15276,FLORESTA,2020,34.801075
15293,GACHANTIVA,2020,58.974369
15296,GAMEZA,2020,41.558666
15299,GARAGOA,2020,56.422707
15317,GUACAMAYAS,2020,49.883049
15322,GUATEQUE,2020,60.755791
15325,GUAYATA,2020,50.521999
15332,GUICAN,2020,47.028946
15362,IZA,2020,62.331242
15367,JENESANO,2020,63.555096
15368,JERICO,2020,43.912632
15377,LABRANZAGRANDE,2020,39.375866
15380,LA CAPILLA,2020,52.476353
15401,LA VICTORIA,2020,53.500633
15403,LA UVITA,2020,53.387894
15407,VILLA DE LEYVA,2020,65.842392
15425,MACANAL,2020,62.134533
15442,MARIPI,2020,43.782333
15455,MIRAFLORES,2020,60.332359
15464,MONGUA,2020,48.163177
15466,MONGUI,2020,56.022224
15469,MONIQUIRA,2020,51.322834
15476,MOTAVITA,2020,48.159431
15480,MUZO,2020,50.287434
15491,NOBSA,2020,50.458904
15494,NUEVO COLON,2020,58.055740
15500,OICATA,2020,51.460476
15507,OTANCHE,2020,57.145382
15511,PACHAVITA,2020,57.114048
15514,PAEZ,2020,46.411518
15516,PAIPA,2020,66.038162
15518,PAJARITO,2020,44.034130
15522,PANQUEBA,2020,51.152618
15531,PAUNA,2020,52.332565
15533,PAYA,2020,50.402279
15537,PAZ DE RIO,2020,46.511211
15542,PESCA,2020,50.353306
15550,PISVA,2020,48.984653
15572,PUERTO BOYACA,2020,64.974976
15580,QUIPAMA,2020,44.105179
15599,RAMIRIQUI,2020,66.282532
15600,RAQUIRA,2020,58.028214
15621,RONDON,2020,35.909809
15632,SABOYA,2020,47.100155
15638,SACHICA,2020,56.248310
15646,SAMACA,2020,67.650192
15660,SAN EDUARDO,2020,56.848541
15664,SAN JOSE DE PARE,2020,47.952351
15667,SAN LUIS DE GACENO,2020,55.189754
15673,SAN MATEO,2020,51.453239
15676,SAN MIGUEL DE SEMA,2020,65.696426
15681,SAN PABLO DE BORBUR,2020,45.219864
15686,SANTANA,2020,50.465054
15690,SANTA MARIA,2020,59.904278
15693,SANTA ROSA DE VITERB,2020,62.992390
15696,SANTA SOFIA,2020,56.174530
15720,SATIVANORTE,2020,42.583862
15723,SATIVASUR,2020,49.428398
15740,SIACHOQUE,2020,55.190025
15753,SOATA,2020,51.913101
15755,SOCOTA,2020,53.688873
15757,SOCHA,2020,55.898232
15759,SOGAMOSO,2020,66.937820
15761,SOMONDOCO,2020,60.145908
15762,SORA,2020,47.091030
15763,SOTAQUIRA,2020,48.590202
15764,SORACA,2020,56.782497
15774,SUSACON,2020,34.399406
15776,SUTAMARCHAN,2020,61.800388
15778,SUTATENZA,2020,52.203438
15790,TASCO,2020,50.887646
15798,TENZA,2020,55.033043
15804,TIBANA,2020,54.238750
15806,TIBASOSA,2020,68.967705
15808,TINJACA,2020,54.762424
15810,TIPACOQUE,2020,43.924084
15814,TOCA,2020,43.666443
15816,TOGUI,2020,42.200771
15820,TOPAGA,2020,51.845856
15822,TOTA,2020,52.917957
15832,TUNUNGUA,2020,46.565041
15835,TURMEQUE,2020,50.480072
15837,TUTA,2020,66.178833
15839,TUTASA,2020,45.891140
15842,UMBITA,2020,56.168789
15861,VENTAQUEMADA,2020,51.301350
15879,VIRACACHA,2020,55.506317
15897,ZETAQUIRA,2020,50.912952
