AÑO,2013,2014,2015,2016,2017
BOYACA,0.122800,0.094000,0.109200,0.119700,0.120500
CUNDINAMARCA,0.159300,0.129700,0.165100,0.184900,0.133800
META,0.223900,0.150200,0.162900,0.272500,0.209200
NORTE DE SANTANDER,0.182300,0.161400,0.137000,0.243400,0.188000
SANTANDER,0.188000,0.137800,0.164500,0.201700,0.142600
