geo,Municipio,Año,Trimestre,Índice
15480,MUZO,2020,4,0.433542
15367,JENESANO,2021,1,3.489611
15660,SAN EDUARDO,2021,3,4.282407
15808,TINJACA,2020,2,0.768549
15764,SORACA,2021,4,5.892742
15806,TIBASOSA,2022,3,9.895455
15469,MONIQUIRA,2022,1,7.034101
15407,VILLA DE LEYVA,2022,2,16.375420
15377,LABRANZAGRANDE,2020,4,0.640312
15816,TOGsI,2021,1,2.524576
15215,CORRALES,2021,2,5.279383
15244,EL COCUY,2020,2,0.792910
15759,SOGAMOSO,2020,2,20.397391
15632,SABOYA,2020,3,0.385522
15466,MONGUI,2022,2,2.206050
15407,VILLA DE LEYVA,2021,2,13.211739
15572,PUERTO BOYACA,2021,3,12.191993
15897,ZETAQUIRA,2021,1,1.836011
15106,BRICE�O,2021,1,0.625838
15106,BRICE�O,2022,4,0.527704
15232,CHIQUIZA,2022,4,0.630979
15507,OTANCHE,2021,3,3.815695
15087,BELEN,2020,2,2.928925
15820,TOPAGA,2021,2,3.040811
15660,SAN EDUARDO,2020,4,2.683781
15317,GUACAMAYAS,2022,4,0.259740
15533,PAYA,2022,1,0.438436
15248,EL ESPINO,2022,4,0.315856
15204,COMBITA,2020,2,1.431020
15632,SABOYA,2020,4,0.385522
15293,GACHANTIVA,2022,3,2.168675
15514,PAEZ,2020,3,1.520572
15236,CHIVOR,2021,4,0.427683
15494,NUEVO COLON,2022,2,1.659210
15183,CHITA,2022,4,0.876979
15879,VIRACACHA,2022,1,1.255940
15491,NOBSA,2021,3,9.238645
15469,MONIQUIRA,2020,2,4.175786
15180,CHISCAS,2021,4,2.904258
15131,CALDAS,2022,2,0.306843
15861,VENTAQUEMADA,2021,3,0.642502
15660,SAN EDUARDO,2020,3,2.683781
15676,SAN MIGUEL DE SEMA,2021,3,3.519535
15835,TURMEQUE,2020,3,2.056760
15842,UMBITA,2021,2,1.657246
15514,PAEZ,2020,4,0.536673
15832,TUNUNGUA,2022,2,0.307692
15104,BOYACA,2022,3,1.553725
15531,PAUNA,2020,2,0.749115
15500,OICATA,2022,1,3.798734
15542,PESCA,2020,4,2.631579
15407,VILLA DE LEYVA,2020,2,8.773389
15550,PISBA,2021,3,0.602410
15401,LA VICTORIA,2022,4,1.278772
15455,MIRAFLORES,2021,4,21.981255
15296,GAMEZA,2020,3,0.927046
15001,TUNJA,2022,4,27.813184
15820,TOPAGA,2022,1,1.185146
15238,DUITAMA,2021,4,23.270338
15798,TENZA,2021,3,2.355623
15185,CHITARAQUE,2020,2,0.367156
15723,SATIVASUR,2022,2,2.021090
15368,JERICO,2022,3,1.130777
15507,OTANCHE,2021,4,5.075594
15090,BERBEO,2021,3,5.349544
15180,CHISCAS,2020,4,0.444884
15131,CALDAS,2021,4,0.775675
15172,CHINAVITA,2022,2,0.776583
15469,MONIQUIRA,2021,2,7.962649
15832,TUNUNGUA,2022,4,0.307692
15236,CHIVOR,2022,3,0.614439
15162,CERINZA,2021,1,6.553525
15690,SANTA MARIA,2020,3,2.290919
15740,SIACHOQUE,2022,3,1.643991
15466,MONGUI,2020,2,4.471076
15224,CUCAITA,2021,4,0.490196
15804,TIBANA,2022,3,2.067729
15808,TINJACA,2022,3,8.965120
15215,CORRALES,2022,1,4.218928
15090,BERBEO,2020,3,2.338462
15798,TENZA,2022,4,0.224271
15106,BRICE�O,2020,3,0.890869
15763,SOTAQUIRA,2021,2,2.796710
15531,PAUNA,2022,4,3.832753
15500,OICATA,2022,2,4.931689
