Año,Periodo,Primera infancia (0 a 5 años),Infancia (6 a 11 años),Adolescencia (12 a 17 años),Juventud (18 a 28 años),Adultez (29 a 59 años),Vejez (Mayor a 60 años)
2020,ene a jun,2,4,48,258,402,59
2020,jul a dic,1,1,34,247,341,50
2021,ene a jun,3,7,38,225,357,47
2021,jul a dic,3,9,67,382,629,85
2022,ene a jun,2,8,121,371,723,79
2022,jul a dic,3,4,119,458,787,119
2023,ene a jun,5,11,110,468,760,122
2023,jul a dic,2,8,138,534,863,144
2024,ene a jun,6,12,129,474,810,138
