geo,Municipio,Horas,Año
15403,La Uvita,24,2021
15403,La Uvita,24,2022
15403,La Uvita,18.26,2025
15407,Villa De Leyva,23.47,2020
15407,Villa De Leyva,24,2021
15407,Villa De Leyva,24,2022
15407,Villa De Leyva,24,2023
15407,Villa De Leyva,23.74,2024
15407,Villa De Leyva,24,2025
15425,Macanal,24,2020
15425,Macanal,22.82,2021
15425,Macanal,24,2022
15425,Macanal,22,2023
15425,Macanal,23.96,2024
15425,Macanal,24,2025
15442,Maripí,0.8,2021
15442,Maripí,23.42,2022
15442,Maripí,24,2023
15442,Maripí,24,2024
15442,Maripí,24,2025
15455,Miraflores,23.19,2020
15455,Miraflores,23.93,2021
15455,Miraflores,22.01,2022
15455,Miraflores,22.1,2023
15455,Miraflores,23.38,2024
15455,Miraflores,24,2025
15469,Moniquira,24,2021
15469,Moniquira,22.93,2022
15469,Moniquira,24,2025
15476,Motavita,0.27,2020
15476,Motavita,2.67,2021
15476,Motavita,24,2025
15480,Muzo,24,2020
15480,Muzo,24,2021
15480,Muzo,23.95,2022
15480,Muzo,23.2,2023
15480,Muzo,24,2024
15480,Muzo,24,2025
15491,Nobsa,0.74,2020
15491,Nobsa,0.81,2021
15491,Nobsa,0.73,2022
15491,Nobsa,0.7,2023
15491,Nobsa,24,2024
15491,Nobsa,21.12,2025
15494,Nuevo Colón,24,2020
15494,Nuevo Colón,23.97,2021
15494,Nuevo Colón,23.71,2022
15494,Nuevo Colón,23.7,2023
15494,Nuevo Colón,23.9,2024
15494,Nuevo Colón,24,2025
15507,Otanche,23.6,2020
15507,Otanche,23.71,2021
15507,Otanche,23.67,2022
15507,Otanche,24,2025
15511,Pachavita,22,2021
15511,Pachavita,24,2022
15511,Pachavita,24,2023
15511,Pachavita,24,2024
15511,Pachavita,24,2025
15514,Páez,24,2020
15514,Páez,24,2021
15514,Páez,24,2022
15514,Páez,24,2023
15514,Páez,24,2024
15514,Páez,24,2025
15516,Paipa,0.66,2020
15516,Paipa,24,2021
15516,Paipa,24,2022
15516,Paipa,21.4,2023
15516,Paipa,23.77,2024
15516,Paipa,23.6,2025
15518,Pajarito,24,2020
15518,Pajarito,20.22,2021
15518,Pajarito,21.62,2022
15518,Pajarito,20.6,2023
15518,Pajarito,24,2024
15518,Pajarito,24,2025
15522,Panqueba,24,2020
15522,Panqueba,24,2021
15522,Panqueba,24,2022
15522,Panqueba,23.9,2023
15522,Panqueba,23.72,2024
15522,Panqueba,20.19,2025
15531,Pauna,24,2020
15531,Pauna,24,2021
15531,Pauna,14.12,2022
15531,Pauna,23.8,2023
15531,Pauna,24,2024
15531,Pauna,16.81,2025
15537,Paz De Río,24,2020
15537,Paz De Río,24,2021
15537,Paz De Río,24,2022
15537,Paz De Río,24,2023
15537,Paz De Río,24,2024
15537,Paz De Río,24,2025
15542,Pesca,15.86,2020
15542,Pesca,17.83,2021
15542,Pesca,21.61,2022
15542,Pesca,19.9,2023
15542,Pesca,19.9,2024
15542,Pesca,23.05,2025
15572,Puerto Boyacá,24,2020
15572,Puerto Boyacá,23.94,2021
15572,Puerto Boyacá,23.62,2022
15572,Puerto Boyacá,24,2023
15572,Puerto Boyacá,23.87,2024
15572,Puerto Boyacá,24,2025
15580,Quípama,18.2,2023
15580,Quípama,18.2,2024
15580,Quípama,24,2025
15600,Ráquira,24,2022
15600,Ráquira,24,2025
15621,Rondón,24,2020
15621,Rondón,24,2021
15621,Rondón,23.97,2022
15621,Rondón,24,2023
15621,Rondón,24,2024
15621,Rondón,24,2025
15632,Saboyá,21,2021
15632,Saboyá,24,2023
