Año,2020,2021,2022
Cobertura en salud,9.000000,18.000000,22.000000
Resultados en salud,7.000000,4.000000,1.000000
Calidad en salud,16.000000,17.000000,16.000000
Total salud,13.000000,12.000000,13.000000
