Año,2020,2021,2022
Cobertura en salud,6.933033,6.018108,5.498323
Resultados en salud,8.444438,8.911515,8.941024
Calidad en salud,3.291769,3.332560,3.491889
Total salud,6.223080,6.087394,5.977079
