Municipio,Valor
Tunja,56799.3
Duitama,42725.4
Sogamoso,42345.6
Puerto Boyacá,22141.8
Chiquinquirá,21886.9
Cubará,17714.8
Nobsa,14701.3
Miraflores,10102.5
Soatá,9517.26
Garagoa,8265.28
Moniquirá,8139.42
Pauna,8084.24
