Indicador,geo,Area,Periodo,Valor
Cobertura neta de educación (basica primaria),15022,Almeida,2012,0.693600
Cobertura neta de educación (basica primaria),15047,Aquitania,2012,0.865000
Cobertura neta de educación (basica primaria),15051,Arcabuco,2012,0.798100
Cobertura neta de educación (basica primaria),15087,Belén,2012,0.893500
Cobertura neta de educación (basica primaria),15090,Berbeo,2012,0.576900
Cobertura neta de educación (basica primaria),15092,Betéitiva,2012,0.467800
Cobertura neta de educación (basica primaria),15097,Boavita,2012,0.664100
Cobertura neta de educación (basica primaria),15104,Boyacá,2012,0.810500
Cobertura neta de educación (basica primaria),15106,Briceño,2012,0.812700
Cobertura neta de educación (basica primaria),15109,Buenavista,2012,0.702200
Cobertura neta de educación (basica primaria),15114,Busbanzá,2012,0.450500
Cobertura neta de educación (basica primaria),15131,Caldas,2012,0.925900
Cobertura neta de educación (basica primaria),15135,Campohermoso,2012,0.619700
Cobertura neta de educación (basica primaria),15162,Cerinza,2012,0.718000
Cobertura neta de educación (basica primaria),15172,Chinavita,2012,0.787600
Cobertura neta de educación (basica primaria),15176,Chiquinquirá,2012,0.768600
Cobertura neta de educación (basica primaria),15232,Chíquiza,2012,0.713000
Cobertura neta de educación (basica primaria),15180,Chiscas,2012,0.758800
Cobertura neta de educación (basica primaria),15183,Chita,2012,0.843500
Cobertura neta de educación (basica primaria),15185,Chitaraque,2012,0.944300
Cobertura neta de educación (basica primaria),15187,Chivatá,2012,0.292700
Cobertura neta de educación (basica primaria),15236,Chivor,2012,0.730800
Cobertura neta de educación (basica primaria),15189,Ciénega,2012,0.887400
Cobertura neta de educación (basica primaria),15204,Cómbita,2012,0.649000
Cobertura neta de educación (basica primaria),15212,Coper,2012,0.747400
Cobertura neta de educación (basica primaria),15215,Corrales,2012,0.831700
Cobertura neta de educación (basica primaria),15218,Covarachía,2012,0.827800
Cobertura neta de educación (basica primaria),15223,Cubará,2012,0.600700
Cobertura neta de educación (basica primaria),15224,Cucaita,2012,0.624800
Cobertura neta de educación (basica primaria),15226,Cuítiva,2012,0.686000
Cobertura neta de educación (basica primaria),15244,El Cocuy,2012,0.762900
Cobertura neta de educación (basica primaria),15248,El Espino,2012,1.022000
Cobertura neta de educación (basica primaria),15272,Firavitoba,2012,0.691400
Cobertura neta de educación (basica primaria),15276,Floresta,2012,0.620300
Cobertura neta de educación (basica primaria),15293,Gachantivá,2012,0.935500
Cobertura neta de educación (basica primaria),15296,Gámeza,2012,0.736100
Cobertura neta de educación (basica primaria),15299,Garagoa,2012,0.736100
Cobertura neta de educación (basica primaria),15317,Guacamayas,2012,0.888100
Cobertura neta de educación (basica primaria),15322,Guateque,2012,0.891700
Cobertura neta de educación (basica primaria),15325,Guayatá,2012,0.662900
Cobertura neta de educación (basica primaria),15325,Guicán,2012,0.340700
Cobertura neta de educación (basica primaria),15362,Iza,2012,0.884600
Cobertura neta de educación (basica primaria),15367,Jenesano,2012,0.754100
Cobertura neta de educación (basica primaria),15368,Jericó,2012,0.829300
Cobertura neta de educación (basica primaria),15380,La Capilla,2012,0.949100
Cobertura neta de educación (basica primaria),15403,La Uvita,2012,0.813000
Cobertura neta de educación (basica primaria),15401,La Victoria,2012,0.603600
Cobertura neta de educación (basica primaria),15377,Labranzagrande,2012,0.636100
Cobertura neta de educación (basica primaria),15425,Macanal,2012,0.755400
Cobertura neta de educación (basica primaria),15442,Maripí,2012,0.707200
Cobertura neta de educación (basica primaria),15455,Miraflores,2012,0.770500
Cobertura neta de educación (basica primaria),15464,Mongua,2012,0.774600
Cobertura neta de educación (basica primaria),15466,Monguí,2012,0.774600
Cobertura neta de educación (basica primaria),15476,Motavita,2012,0.568700
Cobertura neta de educación (basica primaria),15480,Muzo,2012,0.792700
Cobertura neta de educación (basica primaria),15491,Nobsa,2012,0.687500
Cobertura neta de educación (basica primaria),15494,Nuevo Colón,2012,0.731100
Cobertura neta de educación (basica primaria),15500,Oicatá,2012,0.538200
Cobertura neta de educación (basica primaria),15507,Otanche,2012,0.617800
Cobertura neta de educación (basica primaria),15511,Pachavita,2012,0.827600
Cobertura neta de educación (basica primaria),15514,Páez,2012,0.680700
Cobertura neta de educación (basica primaria),15516,Paipa,2012,0.943300
Cobertura neta de educación (basica primaria),15518,Pajarito,2012,1.135500
Cobertura neta de educación (basica primaria),15522,Panqueba,2012,1.047200
Cobertura neta de educación (basica primaria),15531,Pauna,2012,0.633300
Cobertura neta de educación (basica primaria),15533,Paya,2012,1.166700
