geo,Municipio,Desagregación,Año,Área Cosechada(ha)
15533,Paya,Cacao,2015,10
15832,Tunungua,Cacao,2015,8
15480,Muzo,Cacao,2016,800
15531,Pauna,Cacao,2016,483
15507,Otanche,Cacao,2016,665
15681,San Pablo De Borbur,Cacao,2016,623
15442,Maripi,Cacao,2016,570
15580,Quipama,Cacao,2016,430
15572,Puerto Boyaca,Cacao,2016,350
15212,Coper,Cacao,2016,120
15223,Cubara,Cacao,2016,69
15667,San Luis De Gaceno,Cacao,2016,15
15109,Buenavista,Cacao,2016,11
15401,La Victoria,Cacao,2016,35
15690,Santa Maria,Cacao,2016,30
15135,Campohermoso,Cacao,2016,15
15686,Santana,Cacao,2016,20
15514,Paez,Cacao,2016,26
15377,Labranzagrande,Cacao,2016,15
15533,Paya,Cacao,2016,12
15455,Miraflores,Cacao,2016,10
15832,Tunungua,Cacao,2016,10
15090,Berbeo,Cacao,2016,0
15531,Pauna,Cacao,2017,671
15442,Maripi,Cacao,2017,745
15507,Otanche,Cacao,2017,575
15681,San Pablo De Borbur,Cacao,2017,579
15580,Quipama,Cacao,2017,535
15480,Muzo,Cacao,2017,438
15572,Puerto Boyaca,Cacao,2017,400
15212,Coper,Cacao,2017,254
15223,Cubara,Cacao,2017,97
15109,Buenavista,Cacao,2017,65
15401,La Victoria,Cacao,2017,47
15667,San Luis De Gaceno,Cacao,2017,35
15690,Santa Maria,Cacao,2017,0
15135,Campohermoso,Cacao,2017,20
15686,Santana,Cacao,2017,32
15514,Paez,Cacao,2017,24
15533,Paya,Cacao,2017,13
15455,Miraflores,Cacao,2017,9
15832,Tunungua,Cacao,2017,9
15090,Berbeo,Cacao,2017,0
15531,Pauna,Cacao,2018,701
15442,Maripi,Cacao,2018,780
15507,Otanche,Cacao,2018,625
15681,San Pablo De Borbur,Cacao,2018,629
15580,Quipama,Cacao,2018,565
15572,Puerto Boyaca,Cacao,2018,380
15480,Muzo,Cacao,2018,438
15212,Coper,Cacao,2018,294
15223,Cubara,Cacao,2018,97
15401,La Victoria,Cacao,2018,58
15109,Buenavista,Cacao,2018,75
15667,San Luis De Gaceno,Cacao,2018,38
15690,Santa Maria,Cacao,2018,50
15135,Campohermoso,Cacao,2018,25
15686,Santana,Cacao,2018,32
15514,Paez,Cacao,2018,24
15533,Paya,Cacao,2018,13
15455,Miraflores,Cacao,2018,9
15832,Tunungua,Cacao,2018,7
15090,Berbeo,Cacao,2018,0
15469,Moniquira,Café,2007,2.35
15897,Zetaquira,Café,2007,854
15455,Miraflores,Café,2007,692
15816,Togui,Café,2007,700
15664,San Jose De Pare,Café,2007,650
15377,Labranzagrande,Café,2007,600
15686,Santana,Café,2007,600
15185,Chitaraque,Café,2007,485
15442,Maripi,Café,2007,408
15090,Berbeo,Café,2007,507
15106,Briceño,Café,2007,420
15109,Buenavista,Café,2007,350
15212,Coper,Café,2007,290
15531,Pauna,Café,2007,360
15325,Guayata,Café,2007,295
15401,La Victoria,Café,2007,260
15681,San Pablo De Borbur,Café,2007,200
15832,Tunungua,Café,2007,200
15550,Pisba,Café,2007,85
15514,Paez,Café,2007,175
15533,Paya,Café,2007,150
15511,Pachavita,Café,2007,131
15507,Otanche,Café,2007,120
15660,San Eduardo,Café,2007,127
15673,San Mateo,Café,2007,100
15798,Tenza,Café,2007,60
15172,Chinavita,Café,2007,25
15580,Quipama,Café,2007,34
15518,Pajarito,Café,2007,35
15480,Muzo,Café,2007,39
15761,Somondoco,Café,2007,33
15022,Almeida,Café,2007,18
15690,Santa Maria,Café,2007,5
15755,Socota,Café,2007,5
15696,Santa Sofia,Café,2007,7
15778,Sutatenza,Café,2007,4
15236,Chivor,Café,2007,1
15469,Moniquira,Café,2008,2.478
15897,Zetaquira,Café,2008,916
15455,Miraflores,Café,2008,675
15816,Togui,Café,2008,580
15664,San Jose De Pare,Café,2008,550
15185,Chitaraque,Café,2008,510
15686,Santana,Café,2008,550
15442,Maripi,Café,2008,529
15090,Berbeo,Café,2008,476
15106,Briceño,Café,2008,440
15109,Buenavista,Café,2008,397
15531,Pauna,Café,2008,350
15212,Coper,Café,2008,270
