Index,2016,2017,2018,2019,2020
BOYACÁ,2834,2744,2455,2176,2102
CUNDINAMARCA,7000,6695,6120,5691,5071
META,3064,2997,2857,2583,2737
NORTE DE SANTANDER,4075,4055,4390,4425,4101
SANTANDER,5277,5046,4650,4152,3897
