Municipio,geo,Atributo,Valor
Boyacá,15104,Material inadecuado de pisos,9.200000
Boyacá,15104,Material inadecuado de paredes exteriores,0.400000
Boyacá,15104,Hacinamiento crítico,4.300000
Boyacá,15104,Cluster,1.000000
Briceño,5107,Analfabetismo,18.700000
Briceño,5107,Bajo logro educativo,82.400000
Briceño,5107,Inasistencia escolar,5.200000
Briceño,5107,Rezago escolar,19.000000
Briceño,5107,Barreras a servicios para cuidado de la primera infancia,0.800000
Briceño,5107,Trabajo infantil,2.800000
Briceño,5107,Tasa de dependencia,37.700000
Briceño,5107,Trabajo informal,90.200000
Briceño,5107,Sin aseguramiento en salud,13.000000
Briceño,5107,Barreras de acceso a servicios de salud,7.600000
Briceño,5107,Sin acceso a fuente de agua mejorada,51.600000
Briceño,5107,Inadecuada eliminación de excretas,8.200000
Briceño,5107,Material inadecuado de pisos,5.200000
Briceño,5107,Material inadecuado de paredes exteriores,0.700000
Briceño,5107,Hacinamiento crítico,5.400000
Briceño,5107,Cluster,4.000000
Buenavista,15109,Analfabetismo,23.600000
Buenavista,15109,Bajo logro educativo,83.400000
Buenavista,15109,Inasistencia escolar,3.000000
Buenavista,15109,Rezago escolar,18.100000
Buenavista,15109,Barreras a servicios para cuidado de la primera infancia,0.800000
Buenavista,15109,Trabajo infantil,1.400000
Buenavista,15109,Tasa de dependencia,35.300000
Buenavista,15109,Trabajo informal,93.000000
Buenavista,15109,Sin aseguramiento en salud,10.200000
Buenavista,15109,Barreras de acceso a servicios de salud,1.000000
Buenavista,15109,Sin acceso a fuente de agua mejorada,49.300000
Buenavista,15109,Inadecuada eliminación de excretas,10.100000
Buenavista,15109,Material inadecuado de pisos,10.700000
Buenavista,15109,Material inadecuado de paredes exteriores,0.300000
Buenavista,15109,Hacinamiento crítico,3.800000
Buenavista,15109,Cluster,4.000000
Busbanzá,15114,Analfabetismo,10.900000
Busbanzá,15114,Bajo logro educativo,64.200000
Busbanzá,15114,Inasistencia escolar,1.600000
Busbanzá,15114,Rezago escolar,12.500000
Busbanzá,15114,Barreras a servicios para cuidado de la primera infancia,0.900000
Busbanzá,15114,Trabajo infantil,0.600000
Busbanzá,15114,Tasa de dependencia,55.800000
Busbanzá,15114,Trabajo informal,85.400000
Busbanzá,15114,Sin aseguramiento en salud,8.700000
Busbanzá,15114,Barreras de acceso a servicios de salud,1.200000
Busbanzá,15114,Sin acceso a fuente de agua mejorada,7.800000
Busbanzá,15114,Inadecuada eliminación de excretas,5.900000
Busbanzá,15114,Material inadecuado de pisos,22.700000
Busbanzá,15114,Material inadecuado de paredes exteriores,0.000000
Busbanzá,15114,Hacinamiento crítico,8.400000
Busbanzá,15114,Cluster,1.000000
Caldas,5129,Analfabetismo,15.500000
Caldas,5129,Bajo logro educativo,77.900000
Caldas,5129,Inasistencia escolar,2.500000
Caldas,5129,Rezago escolar,13.700000
Caldas,5129,Barreras a servicios para cuidado de la primera infancia,1.100000
Caldas,5129,Trabajo infantil,0.900000
Caldas,5129,Tasa de dependencia,54.700000
Caldas,5129,Trabajo informal,91.800000
Caldas,5129,Sin aseguramiento en salud,12.100000
Caldas,5129,Barreras de acceso a servicios de salud,1.500000
Caldas,5129,Sin acceso a fuente de agua mejorada,33.400000
Caldas,5129,Inadecuada eliminación de excretas,15.800000
Caldas,5129,Material inadecuado de pisos,10.000000
Caldas,5129,Material inadecuado de paredes exteriores,0.500000
Caldas,5129,Hacinamiento crítico,5.200000
Caldas,5129,Cluster,1.000000
Campohermoso,15135,Analfabetismo,13.700000
Campohermoso,15135,Bajo logro educativo,77.300000
Campohermoso,15135,Inasistencia escolar,4.000000
Campohermoso,15135,Rezago escolar,19.200000
Campohermoso,15135,Barreras a servicios para cuidado de la primera infancia,1.400000
Campohermoso,15135,Trabajo infantil,1.800000
Campohermoso,15135,Tasa de dependencia,49.300000
Campohermoso,15135,Trabajo informal,89.800000
Campohermoso,15135,Sin aseguramiento en salud,7.800000
Campohermoso,15135,Barreras de acceso a servicios de salud,9.400000
Campohermoso,15135,Sin acceso a fuente de agua mejorada,55.400000
Campohermoso,15135,Inadecuada eliminación de excretas,15.200000
Campohermoso,15135,Material inadecuado de pisos,25.300000
Campohermoso,15135,Material inadecuado de paredes exteriores,0.600000
Campohermoso,15135,Hacinamiento crítico,3.800000
Campohermoso,15135,Cluster,4.000000
Cerinza,15162,Analfabetismo,9.900000
Cerinza,15162,Bajo logro educativo,68.900000
Cerinza,15162,Inasistencia escolar,1.500000
Cerinza,15162,Rezago escolar,10.900000
Cerinza,15162,Barreras a servicios para cuidado de la primera infancia,0.700000
Cerinza,15162,Trabajo infantil,0.200000
Cerinza,15162,Tasa de dependencia,46.100000
Cerinza,15162,Trabajo informal,87.400000
Cerinza,15162,Sin aseguramiento en salud,11.800000
Cerinza,15162,Barreras de acceso a servicios de salud,13.500000
Cerinza,15162,Sin acceso a fuente de agua mejorada,6.700000
Cerinza,15162,Inadecuada eliminación de excretas,8.600000
Cerinza,15162,Material inadecuado de pisos,6.200000
Cerinza,15162,Material inadecuado de paredes exteriores,0.100000
Cerinza,15162,Hacinamiento crítico,4.700000
Cerinza,15162,Cluster,5.000000
Chinavita,15172,Analfabetismo,17.500000
Chinavita,15172,Bajo logro educativo,77.000000
Chinavita,15172,Inasistencia escolar,5.200000
Chinavita,15172,Rezago escolar,9.700000
Chinavita,15172,Barreras a servicios para cuidado de la primera infancia,1.900000
Chinavita,15172,Trabajo infantil,0.800000
Chinavita,15172,Tasa de dependencia,56.200000
Chinavita,15172,Trabajo informal,90.800000
Chinavita,15172,Sin aseguramiento en salud,9.900000
Chinavita,15172,Barreras de acceso a servicios de salud,0.900000
Chinavita,15172,Sin acceso a fuente de agua mejorada,18.200000
Chinavita,15172,Inadecuada eliminación de excretas,8.000000
Chinavita,15172,Material inadecuado de pisos,10.900000
Chinavita,15172,Material inadecuado de paredes exteriores,0.400000
Chinavita,15172,Hacinamiento crítico,5.800000
Chinavita,15172,Cluster,1.000000
Chiquinquirá,15176,Analfabetismo,8.400000
Chiquinquirá,15176,Bajo logro educativo,44.700000
Chiquinquirá,15176,Inasistencia escolar,2.100000
Chiquinquirá,15176,Rezago escolar,13.500000
Chiquinquirá,15176,Barreras a servicios para cuidado de la primera infancia,1.500000
Chiquinquirá,15176,Trabajo infantil,1.300000
Chiquinquirá,15176,Tasa de dependencia,29.200000
Chiquinquirá,15176,Trabajo informal,84.200000
Chiquinquirá,15176,Sin aseguramiento en salud,15.300000
Chiquinquirá,15176,Barreras de acceso a servicios de salud,4.500000
Chiquinquirá,15176,Sin acceso a fuente de agua mejorada,3.400000
Chiquinquirá,15176,Inadecuada eliminación de excretas,1.900000
Chiquinquirá,15176,Material inadecuado de pisos,1.100000
Chiquinquirá,15176,Material inadecuado de paredes exteriores,0.400000
Chiquinquirá,15176,Hacinamiento crítico,5.200000
Chiquinquirá,15176,Cluster,3.000000
Chíquiza,15232,Analfabetismo,19.400000
Chíquiza,15232,Bajo logro educativo,92.100000
Chíquiza,15232,Inasistencia escolar,6.100000
Chíquiza,15232,Rezago escolar,19.800000
Chíquiza,15232,Barreras a servicios para cuidado de la primera infancia,1.500000
Chíquiza,15232,Trabajo infantil,2.200000
Chíquiza,15232,Tasa de dependencia,43.200000
Chíquiza,15232,Trabajo informal,95.900000
Chíquiza,15232,Sin aseguramiento en salud,9.100000
Chíquiza,15232,Barreras de acceso a servicios de salud,0.200000
Chíquiza,15232,Sin acceso a fuente de agua mejorada,24.100000
Chíquiza,15232,Inadecuada eliminación de excretas,48.100000
Chíquiza,15232,Material inadecuado de pisos,18.100000
Chíquiza,15232,Material inadecuado de paredes exteriores,0.100000
Chíquiza,15232,Hacinamiento crítico,10.100000
Chíquiza,15232,Cluster,2.000000
Chiscas,15180,Analfabetismo,16.500000
Chiscas,15180,Bajo logro educativo,70.700000
Chiscas,15180,Inasistencia escolar,2.300000
Chiscas,15180,Rezago escolar,15.200000
Chiscas,15180,Barreras a servicios para cuidado de la primera infancia,1.700000
Chiscas,15180,Trabajo infantil,0.500000
Chiscas,15180,Tasa de dependencia,68.900000
Chiscas,15180,Trabajo informal,92.300000
Chiscas,15180,Sin aseguramiento en salud,16.200000
Chiscas,15180,Barreras de acceso a servicios de salud,8.000000
Chiscas,15180,Sin acceso a fuente de agua mejorada,23.900000
Chiscas,15180,Inadecuada eliminación de excretas,19.600000
Chiscas,15180,Material inadecuado de pisos,53.100000
Chiscas,15180,Material inadecuado de paredes exteriores,0.500000
Chiscas,15180,Hacinamiento crítico,16.000000
Chiscas,15180,Cluster,0.000000
Chita,15183,Analfabetismo,22.400000
Chita,15183,Bajo logro educativo,80.300000
Chita,15183,Inasistencia escolar,4.200000
Chita,15183,Rezago escolar,22.600000
Chita,15183,Barreras a servicios para cuidado de la primera infancia,1.200000
Chita,15183,Trabajo infantil,0.900000
Chita,15183,Tasa de dependencia,71.500000
Chita,15183,Trabajo informal,93.100000
Chita,15183,Sin aseguramiento en salud,11.300000
Chita,15183,Barreras de acceso a servicios de salud,5.100000
Chita,15183,Sin acceso a fuente de agua mejorada,46.900000
Chita,15183,Inadecuada eliminación de excretas,27.200000
Chita,15183,Material inadecuado de pisos,66.100000
Chita,15183,Material inadecuado de paredes exteriores,0.900000
Chita,15183,Hacinamiento crítico,18.300000
Chita,15183,Cluster,0.000000
Chitaraque,15185,Analfabetismo,20.000000
Chitaraque,15185,Bajo logro educativo,81.800000
Chitaraque,15185,Inasistencia escolar,5.900000
Chitaraque,15185,Rezago escolar,13.700000
Chitaraque,15185,Barreras a servicios para cuidado de la primera infancia,2.100000
Chitaraque,15185,Trabajo infantil,2.600000
Chitaraque,15185,Tasa de dependencia,32.700000
Chitaraque,15185,Trabajo informal,93.600000
Chitaraque,15185,Sin aseguramiento en salud,11.000000
Chitaraque,15185,Barreras de acceso a servicios de salud,1.100000
Chitaraque,15185,Sin acceso a fuente de agua mejorada,55.000000
Chitaraque,15185,Inadecuada eliminación de excretas,20.300000
Chitaraque,15185,Material inadecuado de pisos,25.600000
Chitaraque,15185,Material inadecuado de paredes exteriores,2.700000
Chitaraque,15185,Hacinamiento crítico,3.500000
Chitaraque,15185,Cluster,4.000000
Chivatá,15187,Analfabetismo,18.800000
Chivatá,15187,Bajo logro educativo,70.300000
Chivatá,15187,Inasistencia escolar,2.600000
Chivatá,15187,Rezago escolar,18.500000
Chivatá,15187,Barreras a servicios para cuidado de la primera infancia,2.500000
Chivatá,15187,Trabajo infantil,0.500000
Chivatá,15187,Tasa de dependencia,57.300000
Chivatá,15187,Trabajo informal,83.100000
Chivatá,15187,Sin aseguramiento en salud,13.500000
Chivatá,15187,Barreras de acceso a servicios de salud,4.300000
Chivatá,15187,Sin acceso a fuente de agua mejorada,10.900000
Chivatá,15187,Inadecuada eliminación de excretas,23.000000
Chivatá,15187,Material inadecuado de pisos,10.000000
Chivatá,15187,Material inadecuado de paredes exteriores,0.500000
Chivatá,15187,Hacinamiento crítico,11.200000
Chivatá,15187,Cluster,2.000000
Chivor,15236,Analfabetismo,16.100000
Chivor,15236,Bajo logro educativo,76.600000
Chivor,15236,Inasistencia escolar,2.400000
Chivor,15236,Rezago escolar,7.400000
Chivor,15236,Barreras a servicios para cuidado de la primera infancia,0.800000
Chivor,15236,Trabajo infantil,1.000000
Chivor,15236,Tasa de dependencia,58.300000
Chivor,15236,Trabajo informal,93.600000
Chivor,15236,Sin aseguramiento en salud,11.900000
Chivor,15236,Barreras de acceso a servicios de salud,2.700000
Chivor,15236,Sin acceso a fuente de agua mejorada,34.300000
Chivor,15236,Inadecuada eliminación de excretas,31.300000
Chivor,15236,Material inadecuado de pisos,15.800000
Chivor,15236,Material inadecuado de paredes exteriores,1.500000
Chivor,15236,Hacinamiento crítico,4.900000
Chivor,15236,Cluster,1.000000
Ciénega,15189,Analfabetismo,17.100000
Ciénega,15189,Bajo logro educativo,81.400000
Ciénega,15189,Inasistencia escolar,3.400000
Ciénega,15189,Rezago escolar,17.000000
Ciénega,15189,Barreras a servicios para cuidado de la primera infancia,0.900000
Ciénega,15189,Trabajo infantil,2.800000
Ciénega,15189,Tasa de dependencia,38.800000
Ciénega,15189,Trabajo informal,91.900000
Ciénega,15189,Sin aseguramiento en salud,8.500000
Ciénega,15189,Barreras de acceso a servicios de salud,1.100000
Ciénega,15189,Sin acceso a fuente de agua mejorada,12.700000
Ciénega,15189,Inadecuada eliminación de excretas,46.100000
Ciénega,15189,Material inadecuado de pisos,3.600000
Ciénega,15189,Material inadecuado de paredes exteriores,0.100000
Ciénega,15189,Hacinamiento crítico,6.800000
Ciénega,15189,Cluster,2.000000
Cómbita,15204,Analfabetismo,12.900000
Cómbita,15204,Bajo logro educativo,69.000000
Cómbita,15204,Inasistencia escolar,3.100000
Cómbita,15204,Rezago escolar,18.300000
Cómbita,15204,Barreras a servicios para cuidado de la primera infancia,1.000000
Cómbita,15204,Trabajo infantil,1.200000
Cómbita,15204,Tasa de dependencia,41.900000
Cómbita,15204,Trabajo informal,86.100000
Cómbita,15204,Sin aseguramiento en salud,12.200000
Cómbita,15204,Barreras de acceso a servicios de salud,2.700000
Cómbita,15204,Sin acceso a fuente de agua mejorada,11.600000
Cómbita,15204,Inadecuada eliminación de excretas,41.900000
Cómbita,15204,Material inadecuado de pisos,2.900000
Cómbita,15204,Material inadecuado de paredes exteriores,0.000000
Cómbita,15204,Hacinamiento crítico,5.400000
Cómbita,15204,Cluster,2.000000
Coper,15212,Analfabetismo,23.200000
Coper,15212,Bajo logro educativo,80.800000
Coper,15212,Inasistencia escolar,7.200000
Coper,15212,Rezago escolar,13.200000
Coper,15212,Barreras a servicios para cuidado de la primera infancia,2.000000
Coper,15212,Trabajo infantil,2.200000
Coper,15212,Tasa de dependencia,25.300000
Coper,15212,Trabajo informal,92.400000
Coper,15212,Sin aseguramiento en salud,9.200000
Coper,15212,Barreras de acceso a servicios de salud,0.500000
Coper,15212,Sin acceso a fuente de agua mejorada,63.000000
Coper,15212,Inadecuada eliminación de excretas,4.500000
Coper,15212,Material inadecuado de pisos,5.900000
Coper,15212,Material inadecuado de paredes exteriores,0.400000
Coper,15212,Hacinamiento crítico,4.200000
Coper,15212,Cluster,4.000000
Corrales,15215,Analfabetismo,10.300000
Corrales,15215,Bajo logro educativo,64.500000
Corrales,15215,Inasistencia escolar,1.600000
Corrales,15215,Rezago escolar,17.000000
Corrales,15215,Barreras a servicios para cuidado de la primera infancia,2.100000
Corrales,15215,Trabajo infantil,0.300000
Corrales,15215,Tasa de dependencia,47.200000
Corrales,15215,Trabajo informal,76.400000
Corrales,15215,Sin aseguramiento en salud,12.700000
Corrales,15215,Barreras de acceso a servicios de salud,2.300000
Corrales,15215,Sin acceso a fuente de agua mejorada,5.900000
Corrales,15215,Inadecuada eliminación de excretas,8.300000
Corrales,15215,Material inadecuado de pisos,9.500000
Corrales,15215,Material inadecuado de paredes exteriores,0.000000
Corrales,15215,Hacinamiento crítico,10.500000
Corrales,15215,Cluster,5.000000
Covarachía,15218,Analfabetismo,21.200000
Covarachía,15218,Bajo logro educativo,75.900000
Covarachía,15218,Inasistencia escolar,1.800000
Covarachía,15218,Rezago escolar,14.700000
Covarachía,15218,Barreras a servicios para cuidado de la primera infancia,0.900000
Covarachía,15218,Trabajo infantil,0.200000
Covarachía,15218,Tasa de dependencia,63.300000
Covarachía,15218,Trabajo informal,91.800000
Covarachía,15218,Sin aseguramiento en salud,9.300000
Covarachía,15218,Barreras de acceso a servicios de salud,5.800000
