Año,Periodo,Primera infancia (0 a 5 años),Infancia (6 a 11 años),Adolescencia (12 a 17 años),Juventud (18 a 28 años),Adultez (29 a 59 años),Vejez (Mayor a 60 años)
2020,ene a jun,199,500,115,376,83,82
2020,jul a dic,199,558,124,369,82,101
2021,ene a jun,221,491,94,303,103,92
2021,jul a dic,245,565,125,343,105,89
2022,ene a jun,235,565,136,354,93,96
2022,jul a dic,351,647,174,397,113,118
2023,ene a jun,295,735,209,462,143,149
2023,jul a dic,391,779,227,505,157,202
2024,ene a jun,2,2,0,2,0,0
