geo,Municipio,Hectareas
15001,Tunja,121.1
15047,Aquitania,18541.02
15051,Arcabuco,3900.37
15087,Belén,5309.39
15090,Berbeo,1581.84
15092,Betéitiva,169.72
15097,Boavita,629.82
15106,Briceño,1477.4
15114,Busbanzá,2.55
15162,Cerinza,407.83
15180,Chiscas,15052.82
15183,Chita,18798.75
15185,Chitaraque,4235.39
15187,Chivatá,8.21
15204,Combita,449
15212,Coper,4567.26
15215,Corrales,9.19
15218,Covarachia,612.69
15224,Cucaita,91.31
15226,Cuìtiva,8.02
15232,Chíquiza,909.69
15238,Duitama,4945.25
15244,El Cocuy,645.61
15248,El Espino,1136.74
15272,Firavitoba,33.84
15276,Floresta,199.14
15293,Gachantivá,764.21
15296,Gameza,397.01
15317,Guacamayas,1436.49
15332,Güicán,14353.85
15362,Iza,14.07
15368,Jericó,5.35
15401,La Victoria,3467.63
15403,La Uvita,1331.25
15407,Villa De Leyva,1205.09
15442,Maripí,4275.33
15455,Miraflores,7771.17
15464,Mongua,8195.71
15466,Monguì,48.75
15469,Moniquira,4346.2
15476,Motavita,53.7
15480,Muzo,3894.92
15491,Nobsa,255.64
15500,Oicata,3.69
15507,Otanche,20943.75
15514,Páez,16000.91
15516,Paipa,4760.18
15522,Panqueba,636.41
15531,Pauna,7749.47
15537,Paz De Río,490.05
15542,Pesca,4095.7
15572,Puerto Boyacá,20220.02
15580,Quípama,4114.98
15621,Rondón,4963.14
15638,Sáchica,6.48
15646,Samacá,1107.59
15660,San Eduardo,3842.33
15664,San José De Pare,659.32
15673,San Mateo,3151.39
15681,San Pablo De Borbur,5074.42
15686,Santana,561.37
15693,Santa Rosa De Viterbo,872.64
15696,Santa Sofía,95.95
15720,Sativanorte,260.26
15723,Sativasur,43.68
15740,Siachoque,14.61
15753,Soatá,1176.87
15755,Socotá,13244.41
15757,Socha,380.06
15759,Sogamoso,280.77
15762,Sora,13.73
15763,Sotaquirá,7150.02
15764,Soracá,4.21
15774,Susacón,1152.12
15776,Sutamarchàn,50.22
15790,Tasco,445.34
15806,Tibasosa,81.43
15808,Tinjacá,117.02
15810,Tipacoque,787.22
15814,Toca,2.36
15816,Togüí,2798.63
15820,Tópaga,151.41
15822,Tota,824.57
15832,Tununguá,822.12
15837,Tuta,61.2
15839,Tutazá,1248.97
15897,Zetaquirá,8523.58
