geo,Municipio,Año,Posición
15022,ALMEIDA,2017,1018
15047,AQUITANIA,2017,250
15051,ARCABUCO,2017,225
15087,BELEN,2017,477
15090,BERBEO,2017,1013
15092,BETEITIVA,2017,845
15097,BOAVITA,2017,765
15104,BOYACA,2017,276
15106,BRICEÐO,2017,871
15109,BUENAVISTA,2017,925
15114,BUSBANZA,2017,922
15131,CALDAS,2017,680
15135,CAMPOHERMOSO,2017,82
15162,CERINZA,2017,961
15172,CHINAVITA,2017,856
15176,CHIQUINQUIRA,2017,143
15232,CHIQUIZA,2017,704
15180,CHISCAS,2017,660
15183,CHITA,2017,657
15185,CHITARAQUE,2017,674
15187,CHIVATA,2017,685
15236,CHIVOR,2017,847
15189,CIENAGA,2017,778
15204,COMBITA,2017,203
15212,COPER,2017,990
15215,CORRALES,2017,827
15218,COVARACHIA,2017,920
15223,CUBARA,2017,1055
15224,CUCAITA,2017,945
15226,CUITIVA,2017,675
15238,DUITAMA,2017,155
15244,EL COCUY,2017,881
15248,EL ESPINO,2017,707
15272,FIRAVITOBA,2017,521
15276,FLORESTA,2017,553
15293,GACHANTIVA,2017,602
15296,GAMEZA,2017,747
15299,GARAGOA,2017,220
15317,GUACAMAYAS,2017,834
15322,GUATEQUE,2017,257
15325,GUAYATA,2017,619
15332,GUICAN,2017,774
15362,IZA,2017,587
15367,JENESANO,2017,65
15368,JERICO,2017,746
15380,LA CAPILLA,2017,893
15403,LA UVITA,2017,940
15401,LA VICTORIA,2017,1035
15377,LABRANZAGRANDE,2017,489
15425,MACANAL,2017,468
15442,MARIPI,2017,583
15455,MIRAFLORES,2017,18
15464,MONGUA,2017,260
15466,MONGUI,2017,647
15469,MONIQUIRA,2017,88
15476,MOTAVITA,2017,604
15480,MUZO,2017,284
15491,NOBSA,2017,8
15494,NUEVO COLON,2017,224
15500,OICATA,2017,688
15507,OTANCHE,2017,10
15511,PACHAVITA,2017,483
15514,PAEZ,2017,22
15516,PAIPA,2017,43
15518,PAJARITO,2017,1008
15522,PANQUEBA,2017,891
15531,PAUNA,2017,735
15533,PAYA,2017,721
15537,PAZ DE RIO,2017,349
15542,PESCA,2017,720
15550,PISVA,2017,643
15572,PUERTO BOYACA,2017,122
15580,QUIPAMA,2017,716
15599,RAMIRIQUI,2017,212
15600,RAQUIRA,2017,507
15621,RONDON,2017,1046
15632,SABOYA,2017,500
15638,SACHICA,2017,117
15646,SAMACA,2017,59
15660,SAN EDUARDO,2017,938
15664,SAN JOSE DE PARE,2017,622
15667,SAN LUIS DE GACENO,2017,776
15673,SAN MATEO,2017,737
15676,SAN MIGUEL DE SEMA,2017,424
15681,SAN PABLO DE BORBUR,2017,816
15690,SANTA MARIA,2017,164
15693,SANTA ROSA DE VITERB,2017,409
15696,SANTA SOFIA,2017,16
15686,SANTANA,2017,497
15720,SATIVANORTE,2017,913
15723,SATIVASUR,2017,982
15740,SIACHOQUE,2017,637
15753,SOATA,2017,812
15757,SOCHA,2017,437
15755,SOCOTA,2017,490
15759,SOGAMOSO,2017,130
15761,SOMONDOCO,2017,447
15762,SORA,2017,672
15764,SORACA,2017,417
15763,SOTAQUIRA,2017,218
15774,SUSACON,2017,1081
15776,SUTAMARCHAN,2017,642
15778,SUTATENZA,2017,712
15790,TASCO,2017,897
15798,TENZA,2017,613
15804,TIBANA,2017,395
15806,TIBASOSA,2017,21
15808,TINJACA,2017,989
15810,TIPACOQUE,2017,700
15814,TOCA,2017,335
15816,TOGUI,2017,579
15820,TOPAGA,2017,419
15822,TOTA,2017,618
15001,TUNJA,2017,105
15832,TUNUNGUA,2017,170
15835,TURMEQUE,2017,646
15837,TUTA,2017,53
15839,TUTASA,2017,916
15842,UMBITA,2017,476
15861,VENTAQUEMADA,2017,70
15407,VILLA DE LEYVA,2017,15
15879,VIRACACHA,2017,794
15897,ZETAQUIRA,2017,40
15022,ALMEIDA,2018,834
15047,AQUITANIA,2018,471
15051,ARCABUCO,2018,47
15087,BELEN,2018,540
15090,BERBEO,2018,991
15092,BETEITIVA,2018,846
15097,BOAVITA,2018,972
15104,BOYACA,2018,373
15106,BRICEÐO,2018,945
15109,BUENAVISTA,2018,910
15114,BUSBANZA,2018,860
15131,CALDAS,2018,687
15135,CAMPOHERMOSO,2018,92
15162,CERINZA,2018,827
15172,CHINAVITA,2018,850
15176,CHIQUINQUIRA,2018,206
15232,CHIQUIZA,2018,728
15180,CHISCAS,2018,975
15183,CHITA,2018,777
15185,CHITARAQUE,2018,675
15187,CHIVATA,2018,673
15236,CHIVOR,2018,774
15189,CIENAGA,2018,999
15204,COMBITA,2018,377
15212,COPER,2018,842
15215,CORRALES,2018,507
15218,COVARACHIA,2018,916
15223,CUBARA,2018,702
15224,CUCAITA,2018,679
15226,CUITIVA,2018,858
15238,DUITAMA,2018,166
15244,EL COCUY,2018,820
15248,EL ESPINO,2018,802
15272,FIRAVITOBA,2018,599
15276,FLORESTA,2018,506
15293,GACHANTIVA,2018,683
15296,GAMEZA,2018,760
15299,GARAGOA,2018,244
15317,GUACAMAYAS,2018,1045
15322,GUATEQUE,2018,190
15325,GUAYATA,2018,624
15332,GUICAN,2018,835
15362,IZA,2018,623
15367,JENESANO,2018,69
15368,JERICO,2018,828
15380,LA CAPILLA,2018,795
15403,LA UVITA,2018,775
15401,LA VICTORIA,2018,1047
15377,LABRANZAGRANDE,2018,740
15425,MACANAL,2018,621
15442,MARIPI,2018,667
15455,MIRAFLORES,2018,20
15464,MONGUA,2018,849
15466,MONGUI,2018,685
15469,MONIQUIRA,2018,140
15476,MOTAVITA,2018,498
15480,MUZO,2018,543
15491,NOBSA,2018,7
15494,NUEVO COLON,2018,357
15500,OICATA,2018,721
15507,OTANCHE,2018,14
15511,PACHAVITA,2018,780
15514,PAEZ,2018,35
15516,PAIPA,2018,60
15518,PAJARITO,2018,533
15522,PANQUEBA,2018,1011
15531,PAUNA,2018,801
15533,PAYA,2018,622
15537,PAZ DE RIO,2018,488
15542,PESCA,2018,767
15550,PISVA,2018,781
15572,PUERTO BOYACA,2018,231
15580,QUIPAMA,2018,666
15599,RAMIRIQUI,2018,211
15600,RAQUIRA,2018,661
15621,RONDON,2018,1073
15632,SABOYA,2018,370
15638,SACHICA,2018,91
15646,SAMACA,2018,46
15660,SAN EDUARDO,2018,926
15664,SAN JOSE DE PARE,2018,653
15667,SAN LUIS DE GACENO,2018,643
15673,SAN MATEO,2018,1024
15676,SAN MIGUEL DE SEMA,2018,319
15681,SAN PABLO DE BORBUR,2018,734
15690,SANTA MARIA,2018,152
15693,SANTA ROSA DE VITERB,2018,328
15696,SANTA SOFIA,2018,33
15686,SANTANA,2018,441
15720,SATIVANORTE,2018,1009
15723,SATIVASUR,2018,934
15740,SIACHOQUE,2018,859
15753,SOATA,2018,576
15757,SOCHA,2018,309
15755,SOCOTA,2018,738
15759,SOGAMOSO,2018,132
15761,SOMONDOCO,2018,726
15762,SORA,2018,759
15764,SORACA,2018,430
15763,SOTAQUIRA,2018,183
15774,SUSACON,2018,1064
15776,SUTAMARCHAN,2018,121
15778,SUTATENZA,2018,771
15790,TASCO,2018,889
15798,TENZA,2018,588
15804,TIBANA,2018,396
15806,TIBASOSA,2018,19
15808,TINJACA,2018,875
15810,TIPACOQUE,2018,923
15814,TOCA,2018,531
15816,TOGUI,2018,816
15820,TOPAGA,2018,731
15822,TOTA,2018,635
15001,TUNJA,2018,122
15832,TUNUNGUA,2018,484
15835,TURMEQUE,2018,742
15837,TUTA,2018,16
15839,TUTASA,2018,473
15842,UMBITA,2018,554
15861,VENTAQUEMADA,2018,135
15407,VILLA DE LEYVA,2018,15
15879,VIRACACHA,2018,872
15897,ZETAQUIRA,2018,49
15022,ALMEIDA,2019,932
15047,AQUITANIA,2019,334
15051,ARCABUCO,2019,529
15087,BELEN,2019,692
15090,BERBEO,2019,974
15092,BETEITIVA,2019,840
15097,BOAVITA,2019,1024
15104,BOYACA,2019,450
15106,BRICEÐO,2019,836
15109,BUENAVISTA,2019,730
15114,BUSBANZA,2019,643
15131,CALDAS,2019,874
15135,CAMPOHERMOSO,2019,99
15162,CERINZA,2019,600
15172,CHINAVITA,2019,715
15176,CHIQUINQUIRA,2019,221
15232,CHIQUIZA,2019,820
15180,CHISCAS,2019,964
15183,CHITA,2019,639
15185,CHITARAQUE,2019,916
15187,CHIVATA,2019,863
15236,CHIVOR,2019,702
15189,CIENAGA,2019,846
15204,COMBITA,2019,591
15212,COPER,2019,1011
15215,CORRALES,2019,781
15218,COVARACHIA,2019,905
15223,CUBARA,2019,748
15224,CUCAITA,2019,629
15226,CUITIVA,2019,894
15238,DUITAMA,2019,159
15244,EL COCUY,2019,605
15248,EL ESPINO,2019,705
15272,FIRAVITOBA,2019,720
15276,FLORESTA,2019,516
15293,GACHANTIVA,2019,599
15296,GAMEZA,2019,662
15299,GARAGOA,2019,444
15317,GUACAMAYAS,2019,975
15322,GUATEQUE,2019,254
15325,GUAYATA,2019,794
15332,GUICAN,2019,753
15362,IZA,2019,803
15367,JENESANO,2019,64
15368,JERICO,2019,907
15380,LA CAPILLA,2019,410
15403,LA UVITA,2019,972
15401,LA VICTORIA,2019,845
15377,LABRANZAGRANDE,2019,525
15425,MACANAL,2019,386
15442,MARIPI,2019,590
15455,MIRAFLORES,2019,24
15464,MONGUA,2019,779
15466,MONGUI,2019,844
15469,MONIQUIRA,2019,129
15476,MOTAVITA,2019,628
15480,MUZO,2019,257
15491,NOBSA,2019,6
15494,NUEVO COLON,2019,352
15500,OICATA,2019,750
15507,OTANCHE,2019,18
15511,PACHAVITA,2019,731
15514,PAEZ,2019,40
15516,PAIPA,2019,65
15518,PAJARITO,2019,717
15522,PANQUEBA,2019,1077
15531,PAUNA,2019,880
15533,PAYA,2019,575
15537,PAZ DE RIO,2019,295
15542,PESCA,2019,829
15550,PISVA,2019,802
15572,PUERTO BOYACA,2019,70
15580,QUIPAMA,2019,694
15599,RAMIRIQUI,2019,216
15600,RAQUIRA,2019,546
15621,RONDON,2019,1051
15632,SABOYA,2019,514
15638,SACHICA,2019,67
15646,SAMACA,2019,39
15660,SAN EDUARDO,2019,796
15664,SAN JOSE DE PARE,2019,396
15667,SAN LUIS DE GACENO,2019,521
15673,SAN MATEO,2019,1003
15676,SAN MIGUEL DE SEMA,2019,608
15681,SAN PABLO DE BORBUR,2019,588
15690,SANTA MARIA,2019,192
15693,SANTA ROSA DE VITERB,2019,510
15696,SANTA SOFIA,2019,20
15686,SANTANA,2019,494
15720,SATIVANORTE,2019,1016
15723,SATIVASUR,2019,881
15740,SIACHOQUE,2019,733
15753,SOATA,2019,718
15757,SOCHA,2019,212
15755,SOCOTA,2019,789
15759,SOGAMOSO,2019,114
15761,SOMONDOCO,2019,853
15762,SORA,2019,759
15764,SORACA,2019,457
15763,SOTAQUIRA,2019,209
15774,SUSACON,2019,1025
15776,SUTAMARCHAN,2019,83
15778,SUTATENZA,2019,772
15790,TASCO,2019,898
15798,TENZA,2019,811
15804,TIBANA,2019,433
15806,TIBASOSA,2019,43
15808,TINJACA,2019,780
15810,TIPACOQUE,2019,739
15814,TOCA,2019,421
15816,TOGUI,2019,850
15820,TOPAGA,2019,755
15822,TOTA,2019,593
15001,TUNJA,2019,147
15832,TUNUNGUA,2019,448
15835,TURMEQUE,2019,784
15837,TUTA,2019,34
15839,TUTASA,2019,658
15842,UMBITA,2019,477
15861,VENTAQUEMADA,2019,153
15407,VILLA DE LEYVA,2019,31
15879,VIRACACHA,2019,995
15897,ZETAQUIRA,2019,62
15022,ALMEIDA,2020,888
15047,AQUITANIA,2020,537
15051,ARCABUCO,2020,577
15087,BELEN,2020,527
15090,BERBEO,2020,1054
15092,BETEITIVA,2020,936
15097,BOAVITA,2020,957
15104,BOYACA,2020,464
15106,BRICEÐO,2020,777
15109,BUENAVISTA,2020,916
15114,BUSBANZA,2020,819
15131,CALDAS,2020,768
15135,CAMPOHERMOSO,2020,70
15162,CERINZA,2020,702
15172,CHINAVITA,2020,826
15176,CHIQUINQUIRA,2020,166
15232,CHIQUIZA,2020,667
15180,CHISCAS,2020,898
15183,CHITA,2020,994
15185,CHITARAQUE,2020,787
15187,CHIVATA,2020,368
15236,CHIVOR,2020,815
15189,CIENAGA,2020,683
15204,COMBITA,2020,955
15212,COPER,2020,911
15215,CORRALES,2020,147
15218,COVARACHIA,2020,892
15223,CUBARA,2020,1038
15224,CUCAITA,2020,993
15226,CUITIVA,2020,326
15238,DUITAMA,2020,154
15244,EL COCUY,2020,513
15248,EL ESPINO,2020,804
15272,FIRAVITOBA,2020,465
15276,FLORESTA,2020,881
15293,GACHANTIVA,2020,882
15296,GAMEZA,2020,800
15299,GARAGOA,2020,200
15317,GUACAMAYAS,2020,754
15322,GUATEQUE,2020,453
15325,GUAYATA,2020,799
15332,GUICAN,2020,824
15362,IZA,2020,701
15367,JENESANO,2020,66
15368,JERICO,2020,860
15380,LA CAPILLA,2020,870
15403,LA UVITA,2020,643
15401,LA VICTORIA,2020,1033
15377,LABRANZAGRANDE,2020,771
15425,MACANAL,2020,582
15442,MARIPI,2020,26
15455,MIRAFLORES,2020,813
15464,MONGUA,2020,797
15466,MONGUI,2020,141
15469,MONIQUIRA,2020,457
15476,MOTAVITA,2020,607
15480,MUZO,2020,2
15491,NOBSA,2020,361
15494,NUEVO COLON,2020,720
15500,OICATA,2020,8
15507,OTANCHE,2020,492
15511,PACHAVITA,2020,24
15514,PAEZ,2020,72
15516,PAIPA,2020,950
15518,PAJARITO,2020,895
15522,PANQUEBA,2020,604
15531,PAUNA,2020,919
15533,PAYA,2020,578
15537,PAZ DE RIO,2020,570
15542,PESCA,2020,1017
15550,PISVA,2020,58
15572,PUERTO BOYACA,2020,897
15580,QUIPAMA,2020,158
15599,RAMIRIQUI,2020,649
15600,RAQUIRA,2020,1032
15621,RONDON,2020,452
15632,SABOYA,2020,93
15638,SACHICA,2020,35
15646,SAMACA,2020,696
15660,SAN EDUARDO,2020,456
15664,SAN JOSE DE PARE,2020,597
15667,SAN LUIS DE GACENO,2020,1059
15673,SAN MATEO,2020,382
15676,SAN MIGUEL DE SEMA,2020,563
15681,SAN PABLO DE BORBUR,2020,120
15690,SANTA MARIA,2020,11
15693,SANTA ROSA DE VITERB,2020,627
15696,SANTA SOFIA,2020,1012
15686,SANTANA,2020,23
15720,SATIVANORTE,2020,923
15723,SATIVASUR,2020,671
15740,SIACHOQUE,2020,588
15753,SOATA,2020,432
15757,SOCHA,2020,118
15755,SOCOTA,2020,879
15759,SOGAMOSO,2020,705
15761,SOMONDOCO,2020,1031
15762,SORA,2020,493
15764,SORACA,2020,1050
15763,SOTAQUIRA,2020,150
