geo,Municipio,Producción(t)
15022,ALMEIDA,505.600000
15051,ARCABUCO,79.140000
15087,BELÉN,99.400000
15090,BERBEO,118.880000
15092,BETÉITIVA,109.610000
15097,BOAVITA,1756.000000
15104,BOYACÁ,119.620000
15106,BRICEÑO,110.000000
15114,BUSBANZÁ,135.000000
15131,CALDAS,843.540000
15135,CAMPOHERMOSO,241.560000
15162,CERINZA,14.500000
15172,CHINAVITA,89.190000
15176,CHIQUINQUIRÁ,245.850000
15232,CHÍQUIZA,497.460000
15180,CHISCAS,742.270000
15183,CHITA,292.340000
15185,CHITARAQUE,791.640000
15187,CHIVATÁ,87.710000
15236,CHIVOR,40.580000
15204,CÓMBITA,380.600000
15212,COPER,813.500000
15215,CORRALES,166.320000
15218,COVARACHÍA,1030.200000
15223,CUBARÁ,176.000000
15224,CUCAITA,193.500000
15238,DUITAMA,262.720000
15244,EL COCUY,29.000000
15248,EL ESPINO,86.250000
15272,FIRAVITOBA,199.880000
15276,FLORESTA,351.200000
15293,GACHANTIVÁ,252.120000
15296,GAMEZA,144.000000
15299,GARAGOA,869.660000
15317,GUACAMAYAS,414.800000
15322,GUATEQUE,96.780000
15325,GUAYATÁ,390.800000
15332,GÜICÁN,303.200000
15367,JENESANO,204.690000
15368,JERICÓ,67.160000
15380,LA CAPILLA,415.060000
15403,LA UVITA,165.170000
15401,LA VICTORIA,516.960000
15377,LABRANZAGRANDE,556.900000
15425,MACANAL,625.000000
15442,MARIPÍ,505.680000
15455,MIRAFLORES,419.400000
15464,MONGUA,109.190000
15466,MONGUÍ,15.800000
15469,MONIQUIRÁ,2016.000000
15476,MOTAVITA,273.950000
15480,MUZO,140.410000
15491,NOBSA,1154.470000
15494,NUEVO COLÓN,442.510000
15500,OICATÁ,73.160000
15507,OTANCHE,366.960000
15511,PACHAVITA,74.000000
15514,PÁEZ,161.500000
15516,PAIPA,255.050000
15518,PAJARITO,114.500000
15522,PANQUEBA,56.800000
15531,PAUNA,206.800000
15533,PAYA,561.000000
15537,PAZ DE RÍO,122.390000
15542,PESCA,23.000000
15550,PISBA,85.000000
15572,PUERTO BOYACÁ,612.350000
15580,QUÍPAMA,332.000000
15599,RAMIRIQUÍ,542.080000
15600,RÁQUIRA,520.540000
15621,RONDÓN,234.620000
15632,SABOYÁ,943.100000
15646,SAMACÁ,1142.190000
15660,SAN EDUARDO,135.710000
15664,SAN JOSÉ DE PARE,381.600000
15667,SAN LUIS DE GACENO,1660.850000
15673,SAN MATEO,2482.000000
15676,SAN MIGUEL DE SEMA,382.700000
15681,SAN PABLO DE BORBUR,536.000000
15690,SANTA MARÍA,172.000000
15693,SANTA ROSA DE VITERBO,206.630000
15696,SANTA SOFÍA,113.000000
15686,SANTANA,298.000000
15720,SATIVANORTE,146.610000
15723,SATIVASUR,54.190000
15740,SIACHOQUE,2341.860000
15753,SOATÁ,405.000000
15757,SOCHA,231.600000
15755,SOCOTÁ,348.000000
15759,SOGAMOSO,216.170000
15761,SOMONDOCO,554.200000
15762,SORA,54.030000
15764,SORACÁ,536.000000
15774,SUSACÓN,1542.260000
15776,SUTAMARCHÁN,80.000000
15778,SUTATENZA,1540.440000
15790,TASCO,300.260000
15798,TENZA,630.120000
15804,TIBANÁ,1826.860000
15806,TIBASOSA,195.320000
15808,TINJACÁ,178.470000
15810,TIPACOQUE,1128.000000
15814,TOCA,800.380000
15816,TOGÜÍ,640.410000
15820,TÓPAGA,266.100000
15001,TUNJA,1192.440000
15832,TUNUNGUÁ,518.000000
15835,TURMEQUÉ,666.580000
15837,TUTA,163.470000
15839,TUTAZÁ,21.560000
15842,UMBITA,381.840000
15861,VENTAQUEMADA,88.070000
15407,VILLA DE LEYVA,263.310000
15879,VIRACACHÁ,258.190000
