Provincia,Casos
Centro,9266
Sugamuxi,6722
Tundama,6360
Ricaurte,3777
Occidente,2728
Márquez,1613
Oriente,1053
Valderrama,1037
Norte,1013
Manejo Especial,983
Neira,817
Lengupá,628
Gutiérrez,297
La Libertad,183
Distrito Fronterizo,84
