geo,Municipio,Casos,Año
15272,Firavitoba,26,2023
15272,Firavitoba,26,2024
15272,Firavitoba,43,2025
15276,Floresta,17,2020
15276,Floresta,7,2021
15276,Floresta,15,2022
15276,Floresta,18,2023
15276,Floresta,19,2024
15276,Floresta,31,2025
15293,Gachantivá,7,2020
15293,Gachantivá,11,2021
15293,Gachantivá,14,2022
15293,Gachantivá,9,2023
15293,Gachantivá,10,2024
15293,Gachantivá,9,2025
15296,Gameza,20,2020
15296,Gameza,16,2021
15296,Gameza,16,2022
15296,Gameza,15,2023
15296,Gameza,16,2024
15296,Gameza,19,2025
15299,Garagoa,68,2020
15299,Garagoa,54,2021
15299,Garagoa,50,2022
15299,Garagoa,86,2023
15299,Garagoa,71,2024
15299,Garagoa,106,2025
15317,Guacamayas,10,2020
15317,Guacamayas,1,2021
15317,Guacamayas,6,2022
15317,Guacamayas,6,2023
15317,Guacamayas,14,2024
15317,Guacamayas,2,2025
15322,Guateque,55,2020
15322,Guateque,64,2021
15322,Guateque,61,2022
15322,Guateque,77,2023
15322,Guateque,95,2024
15322,Guateque,71,2025
15325,Guayatá,11,2020
15325,Guayatá,15,2021
15325,Guayatá,12,2022
15325,Guayatá,29,2023
15325,Guayatá,20,2024
15325,Guayatá,20,2025
15332,Güicán,9,2020
15332,Güicán,9,2022
15332,Güicán,22,2023
15332,Güicán,12,2024
15362,Iza,9,2020
15362,Iza,4,2021
15362,Iza,12,2022
15362,Iza,13,2023
15362,Iza,18,2024
15362,Iza,14,2025
15367,Jenesano,46,2020
15367,Jenesano,41,2021
15367,Jenesano,41,2022
15367,Jenesano,50,2023
15367,Jenesano,56,2024
15367,Jenesano,61,2025
15368,Jericó,14,2020
15368,Jericó,3,2021
15368,Jericó,19,2022
15368,Jericó,9,2023
15368,Jericó,13,2024
15368,Jericó,11,2025
15377,Labranza Grande,5,2020
15377,Labranza Grande,8,2021
15377,Labranza Grande,5,2022
15377,Labranza Grande,4,2023
15377,Labranza Grande,33,2024
15377,Labranza Grande,18,2025
15380,La Capilla,10,2020
15380,La Capilla,15,2021
15380,La Capilla,12,2022
15380,La Capilla,10,2023
15380,La Capilla,15,2024
15380,La Capilla,13,2025
15401,La Victoria,4,2020
15401,La Victoria,7,2022
15401,La Victoria,3,2023
15401,La Victoria,7,2024
15401,La Victoria,6,2025
15403,La Uvita,10,2020
15403,La Uvita,4,2021
15403,La Uvita,17,2022
15403,La Uvita,9,2023
15403,La Uvita,7,2024
15403,La Uvita,12,2025
15407,Villa De Leyva,112,2020
15407,Villa De Leyva,120,2021
15407,Villa De Leyva,136,2022
15407,Villa De Leyva,162,2023
15407,Villa De Leyva,198,2024
15407,Villa De Leyva,219,2025
15425,Macanal,12,2020
15425,Macanal,17,2021
15425,Macanal,16,2022
15425,Macanal,21,2023
15425,Macanal,26,2024
15425,Macanal,24,2025
15442,Maripí,12,2020
15442,Maripí,10,2021
15442,Maripí,9,2022
15442,Maripí,18,2023
15442,Maripí,10,2024
15442,Maripí,17,2025
15455,Miraflores,41,2020
15455,Miraflores,42,2021
15455,Miraflores,34,2022
15455,Miraflores,44,2023
15455,Miraflores,50,2024
15455,Miraflores,49,2025
