Ciclo de vida,Casos
Adultez (29 a 59 años),12938
Juventud (18 a 28 años),7375
Vejez (>= 60 años),5944
Infancia (6 a 11 años),4376
Adolescencia (12 a 17 años),3659
Primera infancia (0 a 5 años),2269
