Provincia,Valor
Occidente,2432
Centro,2080
Tundama,1909
Sugamuxi,1230
Ricaurte,1197
Neira,939
Márquez,896
Valderrama,849
Oriente,759
Norte,727
Lengupá,716
Manejo Especial,586
Gutiérrez,567
La Libertad,315
Distrito Fronterizo,118
