geo,Municipio,tipo de victima,Valor
15238,DUITAMA,Victimas indirectas,6
15244,EL COCUY,Victimas indirectas,0
15248,EL ESPINO,Victimas indirectas,4
15272,FIRAVITOBA,Victimas indirectas,1
15276,FLORESTA,Victimas indirectas,0
15293,GACHANTIVÁ,Victimas indirectas,0
15296,GÁMEZA,Victimas indirectas,0
15299,GARAGOA,Victimas indirectas,0
15317,GUACAMAYAS,Victimas indirectas,0
15322,GUATEQUE,Victimas indirectas,0
15325,GUAYATÁ,Victimas indirectas,0
15332,GÜICÁN DE LA SIERRA,Victimas indirectas,1
15362,IZA,Victimas indirectas,0
15367,JENESANO,Victimas indirectas,0
15368,JERICÓ,Victimas indirectas,0
15380,LA CAPILLA,Victimas indirectas,0
15403,LA UVITA,Victimas indirectas,0
15401,LA VICTORIA,Victimas indirectas,0
15377,LABRANZAGRANDE,Victimas indirectas,5
15425,MACANAL,Victimas indirectas,0
15442,MARIPÍ,Victimas indirectas,0
15455,MIRAFLORES,Victimas indirectas,0
15464,MONGUA,Victimas indirectas,0
15466,MONGUÍ,Victimas indirectas,0
15469,MONIQUIRÁ,Victimas indirectas,5
15476,MOTAVITA,Victimas indirectas,0
15480,MUZO,Victimas indirectas,0
15491,NOBSA,Victimas indirectas,0
15494,NUEVO COLÓN,Victimas indirectas,0
15500,OICATÁ,Victimas indirectas,0
15507,OTANCHE,Victimas indirectas,0
15511,PACHAVITA,Victimas indirectas,0
15514,PÁEZ,Victimas indirectas,0
15516,PAIPA,Victimas indirectas,0
15518,PAJARITO,Victimas indirectas,0
15522,PANQUEBA,Victimas indirectas,0
15531,PAUNA,Victimas indirectas,0
15533,PAYA,Victimas indirectas,0
15537,PAZ DE RÍO,Victimas indirectas,0
15542,PESCA,Victimas indirectas,0
15550,PISBA,Victimas indirectas,0
15572,PUERTO BOYACÁ,Victimas indirectas,0
15580,QUÍPAMA,Victimas indirectas,0
15599,RAMIRIQUÍ,Victimas indirectas,0
15600,RÁQUIRA,Victimas indirectas,0
15621,RONDÓN,Victimas indirectas,0
15632,SABOYÁ,Victimas indirectas,0
15638,SÁCHICA,Victimas indirectas,0
15646,SAMACÁ,Victimas indirectas,0
15660,SAN EDUARDO,Victimas indirectas,0
15664,SAN JOSÉ DE PARE,Victimas indirectas,0
15667,SAN LUIS DE GACENO,Victimas indirectas,0
15673,SAN MATEO,Victimas indirectas,0
15676,SAN MIGUEL DE SEMA,Victimas indirectas,0
15681,SAN PABLO DE BORBUR,Victimas indirectas,0
15690,SANTA MARÍA,Victimas indirectas,0
15693,SANTA ROSA DE VITERBO,Victimas indirectas,0
15696,SANTA SOFÍA,Victimas indirectas,0
15686,SANTANA,Victimas indirectas,0
15720,SATIVANORTE,Victimas indirectas,0
15723,SATIVASUR,Victimas indirectas,0
15740,SIACHOQUE,Victimas indirectas,0
15753,SOATÁ,Victimas indirectas,0
15757,SOCHA,Victimas indirectas,0
15755,SOCOTÁ,Victimas indirectas,0
15759,SOGAMOSO,Victimas indirectas,0
15761,SOMONDOCO,Victimas indirectas,0
15762,SORA,Victimas indirectas,0
15764,SORACÁ,Victimas indirectas,0
15763,SOTAQUIRÁ,Victimas indirectas,0
15774,SUSACÓN,Victimas indirectas,0
15776,SUTAMARCHÁN,Victimas indirectas,0
15778,SUTATENZA,Victimas indirectas,0
15790,TASCO,Victimas indirectas,0
15798,TENZA,Victimas indirectas,0
15804,TIBANÁ,Victimas indirectas,0
15806,TIBASOSA,Victimas indirectas,5
15808,TINJACÁ,Victimas indirectas,0
15810,TIPACOQUE,Victimas indirectas,0
15814,TOCA,Victimas indirectas,0
15816,TOGÜÍ,Victimas indirectas,0
15820,TÓPAGA,Victimas indirectas,0
15822,TOTA,Victimas indirectas,0
15001,TUNJA,Victimas indirectas,1
15832,TUNUNGUÁ,Victimas indirectas,0
15835,TURMEQUÉ,Victimas indirectas,0
15837,TUTA,Victimas indirectas,0
15839,TUTAZÁ,Victimas indirectas,0
15842,ÚMBITA,Victimas indirectas,0
15861,VENTAQUEMADA,Victimas indirectas,0
15407,VILLA DE LEYVA,Victimas indirectas,0
15879,VIRACACHÁ,Victimas indirectas,0
15897,ZETAQUIRA,Victimas indirectas,0
