geo,Municipio,Año,Posición
15667,SAN LUIS DE GACENO,2017,169
15673,SAN MATEO,2017,115
15676,SAN MIGUEL DE SEMA,2017,64
15681,SAN PABLO DE BORBUR,2017,88
15690,SANTA MARIA,2017,95
15693,SANTA ROSA DE VITERB,2017,149
15696,SANTA SOFIA,2017,104
15686,SANTANA,2017,111
15720,SATIVANORTE,2017,129
15723,SATIVASUR,2017,137
15740,SIACHOQUE,2017,50
15753,SOATA,2017,100
15757,SOCHA,2017,90
15755,SOCOTA,2017,47
15759,SOGAMOSO,2017,62
15761,SOMONDOCO,2017,16
15762,SORA,2017,131
15764,SORACA,2017,146
15763,SOTAQUIRA,2017,10
15774,SUSACON,2017,138
15776,SUTAMARCHAN,2017,92
15778,SUTATENZA,2017,162
15790,TASCO,2017,91
15798,TENZA,2017,169
15804,TIBANA,2017,3
15806,TIBASOSA,2017,65
15808,TINJACA,2017,113
15810,TIPACOQUE,2017,181
15814,TOCA,2017,28
15816,TOGUI,2017,4
15820,TOPAGA,2017,103
15822,TOTA,2017,7
15001,TUNJA,2017,69
15832,TUNUNGUA,2017,164
15835,TURMEQUE,2017,35
15837,TUTA,2017,165
15839,TUTASA,2017,169
15842,UMBITA,2017,34
15861,VENTAQUEMADA,2017,39
15407,VILLA DE LEYVA,2017,52
15879,VIRACACHA,2017,2
15897,ZETAQUIRA,2017,19
15022,ALMEIDA,2018,203
15047,AQUITANIA,2018,191
15051,ARCABUCO,2018,138
15087,BELEN,2018,154
15090,BERBEO,2018,124
15092,BETEITIVA,2018,106
15097,BOAVITA,2018,119
15104,BOYACA,2018,176
15106,BRICEÐO,2018,59
15109,BUENAVISTA,2018,59
15114,BUSBANZA,2018,157
15131,CALDAS,2018,147
15135,CAMPOHERMOSO,2018,139
15162,CERINZA,2018,161
15172,CHINAVITA,2018,47
15176,CHIQUINQUIRA,2018,98
15232,CHIQUIZA,2018,66
15180,CHISCAS,2018,76
15183,CHITA,2018,142
15185,CHITARAQUE,2018,27
15187,CHIVATA,2018,108
15236,CHIVOR,2018,73
15189,CIENAGA,2018,136
15204,COMBITA,2018,149
15212,COPER,2018,76
15215,CORRALES,2018,122
15218,COVARACHIA,2018,73
15223,CUBARA,2018,139
15224,CUCAITA,2018,161
15226,CUITIVA,2018,28
15238,DUITAMA,2018,71
15244,EL COCUY,2018,167
15248,EL ESPINO,2018,190
15272,FIRAVITOBA,2018,84
15276,FLORESTA,2018,135
15293,GACHANTIVA,2018,90
15296,GAMEZA,2018,11
15299,GARAGOA,2018,29
15317,GUACAMAYAS,2018,141
15322,GUATEQUE,2018,88
15325,GUAYATA,2018,121
15332,GUICAN,2018,132
15362,IZA,2018,124
15367,JENESANO,2018,19
15368,JERICO,2018,9
15380,LA CAPILLA,2018,137
15403,LA UVITA,2018,69
15401,LA VICTORIA,2018,182
15377,LABRANZAGRANDE,2018,173
15425,MACANAL,2018,96
15442,MARIPI,2018,130
15455,MIRAFLORES,2018,198
15464,MONGUA,2018,176
15466,MONGUI,2018,123
15469,MONIQUIRA,2018,148
15476,MOTAVITA,2018,64
15480,MUZO,2018,168
15491,NOBSA,2018,174
15494,NUEVO COLON,2018,111
15500,OICATA,2018,193
15507,OTANCHE,2018,109
15511,PACHAVITA,2018,187
15514,PAEZ,2018,48
15516,PAIPA,2018,155
15518,PAJARITO,2018,146
15522,PANQUEBA,2018,143
15531,PAUNA,2018,156
15533,PAYA,2018,57
15537,PAZ DE RIO,2018,10
15542,PESCA,2018,175
15550,PISVA,2018,154
15572,PUERTO BOYACA,2018,180
15580,QUIPAMA,2018,124
15599,RAMIRIQUI,2018,33
15600,RAQUIRA,2018,209
15621,RONDON,2018,95
15632,SABOYA,2018,144
15638,SACHICA,2018,184
15646,SAMACA,2018,108
15660,SAN EDUARDO,2018,58
15664,SAN JOSE DE PARE,2018,153
15667,SAN LUIS DE GACENO,2018,195
15673,SAN MATEO,2018,30
15676,SAN MIGUEL DE SEMA,2018,167
15681,SAN PABLO DE BORBUR,2018,94
15690,SANTA MARIA,2018,107
15693,SANTA ROSA DE VITERB,2018,42
15696,SANTA SOFIA,2018,84
15686,SANTANA,2018,155
15720,SATIVANORTE,2018,99
15723,SATIVASUR,2018,71
15740,SIACHOQUE,2018,133
15753,SOATA,2018,54
15757,SOCHA,2018,85
15755,SOCOTA,2018,113
15759,SOGAMOSO,2018,41
15761,SOMONDOCO,2018,78
15762,SORA,2018,194
15764,SORACA,2018,161
15763,SOTAQUIRA,2018,6
15774,SUSACON,2018,68
15776,SUTAMARCHAN,2018,98
15778,SUTATENZA,2018,40
15790,TASCO,2018,69
15798,TENZA,2018,28
15804,TIBANA,2018,24
15806,TIBASOSA,2018,35
15808,TINJACA,2018,111
15810,TIPACOQUE,2018,32
15814,TOCA,2018,48
15816,TOGUI,2018,25
15820,TOPAGA,2018,4
15822,TOTA,2018,184
15001,TUNJA,2018,46
15832,TUNUNGUA,2018,42
15835,TURMEQUE,2018,178
15837,TUTA,2018,72
15839,TUTASA,2018,28
15842,UMBITA,2018,172
15861,VENTAQUEMADA,2018,56
15407,VILLA DE LEYVA,2018,67
15879,VIRACACHA,2018,19
15897,ZETAQUIRA,2018,22
15022,ALMEIDA,2019,106
15047,AQUITANIA,2019,177
15051,ARCABUCO,2019,190
15087,BELEN,2019,121
15090,BERBEO,2019,56
15092,BETEITIVA,2019,129
15097,BOAVITA,2019,55
15104,BOYACA,2019,163
15106,BRICEÐO,2019,147
15109,BUENAVISTA,2019,68
15114,BUSBANZA,2019,153
15131,CALDAS,2019,133
15135,CAMPOHERMOSO,2019,57
15162,CERINZA,2019,196
15172,CHINAVITA,2019,38
15176,CHIQUINQUIRA,2019,75
15232,CHIQUIZA,2019,75
15180,CHISCAS,2019,67
15183,CHITA,2019,11
15185,CHITARAQUE,2019,199
15187,CHIVATA,2019,4
15236,CHIVOR,2019,133
15189,CIENAGA,2019,17
15204,COMBITA,2019,118
15212,COPER,2019,138
15215,CORRALES,2019,166
15218,COVARACHIA,2019,150
15223,CUBARA,2019,174
15224,CUCAITA,2019,69
15226,CUITIVA,2019,40
15238,DUITAMA,2019,112
15244,EL COCUY,2019,13
15248,EL ESPINO,2019,137
15272,FIRAVITOBA,2019,148
15276,FLORESTA,2019,94
15293,GACHANTIVA,2019,82
15296,GAMEZA,2019,160
15299,GARAGOA,2019,153
15317,GUACAMAYAS,2019,136
15322,GUATEQUE,2019,85
15325,GUAYATA,2019,28
15332,GUICAN,2019,16
15362,IZA,2019,139
15367,JENESANO,2019,9
15368,JERICO,2019,168
15380,LA CAPILLA,2019,74
15403,LA UVITA,2019,52
15401,LA VICTORIA,2019,171
15377,LABRANZAGRANDE,2019,39
15425,MACANAL,2019,19
15442,MARIPI,2019,65
15455,MIRAFLORES,2019,58
15464,MONGUA,2019,172
15466,MONGUI,2019,85
15469,MONIQUIRA,2019,134
15476,MOTAVITA,2019,170
15480,MUZO,2019,114
15491,NOBSA,2019,157
15494,NUEVO COLON,2019,122
15500,OICATA,2019,57
15507,OTANCHE,2019,100
15511,PACHAVITA,2019,51
15514,PAEZ,2019,151
15516,PAIPA,2019,47
15518,PAJARITO,2019,197
15522,PANQUEBA,2019,212
15531,PAUNA,2019,107
15533,PAYA,2019,57
15537,PAZ DE RIO,2019,43
15542,PESCA,2019,72
15550,PISVA,2019,80
15572,PUERTO BOYACA,2019,104
15580,QUIPAMA,2019,96
15599,RAMIRIQUI,2019,25
15600,RAQUIRA,2019,4
15621,RONDON,2019,178
15632,SABOYA,2019,71
15638,SACHICA,2019,128
15646,SAMACA,2019,115
15660,SAN EDUARDO,2019,68
15664,SAN JOSE DE PARE,2019,80
15667,SAN LUIS DE GACENO,2019,113
15673,SAN MATEO,2019,130
15676,SAN MIGUEL DE SEMA,2019,15
15681,SAN PABLO DE BORBUR,2019,112
15690,SANTA MARIA,2019,109
15693,SANTA ROSA DE VITERB,2019,138
15696,SANTA SOFIA,2019,56
15686,SANTANA,2019,109
15720,SATIVANORTE,2019,142
15723,SATIVASUR,2019,96
15740,SIACHOQUE,2019,62
15753,SOATA,2019,44
15757,SOCHA,2019,50
15755,SOCOTA,2019,146
15759,SOGAMOSO,2019,78
15761,SOMONDOCO,2019,31
15762,SORA,2019,29
15764,SORACA,2019,189
15763,SOTAQUIRA,2019,40
15774,SUSACON,2019,151
15776,SUTAMARCHAN,2019,17
15778,SUTATENZA,2019,70
15790,TASCO,2019,52
15798,TENZA,2019,39
15804,TIBANA,2019,7
15806,TIBASOSA,2019,34
15808,TINJACA,2019,48
15810,TIPACOQUE,2019,99
15814,TOCA,2019,141
15816,TOGUI,2019,10
15820,TOPAGA,2019,64
15822,TOTA,2019,25
15001,TUNJA,2019,26
15832,TUNUNGUA,2019,206
15835,TURMEQUE,2019,81
15837,TUTA,2019,83
15839,TUTASA,2019,131
15842,UMBITA,2019,19
15861,VENTAQUEMADA,2019,178
15407,VILLA DE LEYVA,2019,32
15879,VIRACACHA,2019,33
15897,ZETAQUIRA,2019,30
