Index,2015,2016,2017,2018,2019
BOYACA,0.934400,0.938900,0.956900,0.967600,0.931100
CUNDINAMARCA,0.974900,0.836800,0.951100,0.983700,0.966800
META,0.860300,0.929000,0.857900,0.944100,0.956700
NORTE DE SANTANDER,0.934600,0.950400,0.999900,0.927000,0.977700
SANTANDER,0.950200,0.929700,0.898800,0.902700,0.893000
