Año,Periodo,BACHILLERATO,PRIMARIA,SIN INFORMACIÓN,NINGUNO,PREGRADO,TECNOLOGIA,TECNICO
2020,ene a jun,11,12,5,0,0,0,0
2020,jul a dic,13,16,1,1,2,0,0
2021,ene a jun,16,16,5,1,1,0,0
2021,jul a dic,15,12,3,1,2,0,0
2022,ene a jun,17,14,1,3,1,2,0
2022,jul a dic,27,9,2,3,1,2,2
2023,ene a jun,21,11,2,1,1,1,0
2023,jul a dic,21,5,2,0,2,0,0
2024,ene a jun,17,13,0,2,2,1,0
2024,jul a dic,18,14,9,0,0,0,1
