Año,Periodo,Primera infancia (0 a 5 años),Infancia (6 a 11 años),Adolescencia (12 a 17 años),Juventud (18 a 28 años),Adultez (29 a 59 años),Vejez (Mayor a 60 años)
2020,ene a jun,0,0,1,7,16,4
2020,jul a dic,1,2,0,8,21,1
2021,ene a jun,1,1,1,13,21,2
2021,jul a dic,1,0,0,14,16,2
2022,ene a jun,0,0,0,10,20,5
2022,jul a dic,0,0,5,20,15,3
2023,ene a jun,1,0,0,10,25,1
2023,jul a dic,3,0,0,12,14,4
2024,ene a jun,5,0,0,8,23,2
2024,jul a dic,0,0,3,11,23,5
