geo,Municipio,Año,Rango edad,Cantidad
15109,Buenavista,2020,Menos de 1 año,1651
15114,Busbanzá,2020,Menos de 1 año,320
15131,Caldas,2020,Menos de 1 año,2343
15135,Campohermoso,2020,Menos de 1 año,3742
15162,Cerinza,2020,Menos de 1 año,1281
15172,Chinavita,2020,Menos de 1 año,1656
15176,Chiquinquirá,2020,Menos de 1 año,5959
15180,Chiscas,2020,Menos de 1 año,3126
15183,Chita,2020,Menos de 1 año,2764
15185,Chitaraque,2020,Menos de 1 año,652
15187,Chivatá,2020,Menos de 1 año,1075
15189,Ciénega,2020,Menos de 1 año,2529
15204,Cómbita,2020,Menos de 1 año,3592
15212,Coper,2020,Menos de 1 año,1355
15215,Corrales,2020,Menos de 1 año,263
15218,Covarachía,2020,Menos de 1 año,666
15223,Cubará,2020,Menos de 1 año,2400
15224,Cucaita,2020,Menos de 1 año,611
15226,Cuítiva,2020,Menos de 1 año,574
15232,Chíquiza,2020,Menos de 1 año,1518
15236,Chivor,2020,Menos de 1 año,566
15238,Duitama,2020,Menos de 1 año,3443
15244,El Cocuy,2020,Menos de 1 año,3298
15248,El Espino,2020,Menos de 1 año,1707
15272,Firavitoba,2020,Menos de 1 año,2812
15276,Floresta,2020,Menos de 1 año,1728
15293,Gachantivá,2020,Menos de 1 año,1108
15296,Gámeza,2020,Menos de 1 año,1947
15299,Garagoa,2020,Menos de 1 año,3019
15317,Guacamayas,2020,Menos de 1 año,1158
15322,Guateque,2020,Menos de 1 año,667
15325,Guayatá,2020,Menos de 1 año,1393
15332,Güicán,2020,Menos de 1 año,2589
15362,Iza,2020,Menos de 1 año,499
15367,Jenesano,2020,Menos de 1 año,1770
15368,Jericó,2020,Menos de 1 año,968
15377,Labranzagrande,2020,Menos de 1 año,3773
15380,La Capilla,2020,Menos de 1 año,780
15401,La Victoria,2020,Menos de 1 año,299
15403,La Uvita,2020,Menos de 1 año,2718
15407,Villa de Leiva,2020,Menos de 1 año,1059
15425,Macanal,2020,Menos de 1 año,2179
15442,Maripí,2020,Menos de 1 año,673
15455,Miraflores,2020,Menos de 1 año,3824
15464,Mongua,2020,Menos de 1 año,2063
15466,Monguí,2020,Menos de 1 año,1500
15469,Moniquirá,2020,Menos de 1 año,3085
15476,Motavita,2020,Menos de 1 año,2370
15480,Muzo,2020,Menos de 1 año,1299
15491,Nobsa,2020,Menos de 1 año,515
15494,Nuevo Colón,2020,Menos de 1 año,681
15500,Oicatá,2020,Menos de 1 año,1561
15507,Otanche,2020,Menos de 1 año,3324
15511,Pachavita,2020,Menos de 1 año,1185
15514,Páez,2020,Menos de 1 año,3860
15516,Paipa,2020,Menos de 1 año,6667
15518,Pajarito,2020,Menos de 1 año,1402
15522,Panqueba,2020,Menos de 1 año,864
15531,Pauna,2020,Menos de 1 año,1845
15533,Paya,2020,Menos de 1 año,1968
15537,Paz de Río,2020,Menos de 1 año,747
15542,Pesca,2020,Menos de 1 año,3596
15550,Pisba,2020,Menos de 1 año,1005
15572,Puerto Boyacá,2020,Menos de 1 año,23069
15580,Quípama,2020,Menos de 1 año,1130
15599,Ramiriquí,2020,Menos de 1 año,2694
15600,Ráquira,2020,Menos de 1 año,963
15621,Rondón,2020,Menos de 1 año,1629
15632,Saboyá,2020,Menos de 1 año,5720
15638,Sáchica,2020,Menos de 1 año,136
15646,Samacá,2020,Menos de 1 año,2236
15660,San Eduardo,2020,Menos de 1 año,1348
15664,San José de Pare,2020,Menos de 1 año,332
15667,San Luis de Gaceno,2020,Menos de 1 año,7999
15673,San Mateo,2020,Menos de 1 año,2163
15676,San Miguel de Sema,2020,Menos de 1 año,3833
15681,San Pablo de Borbur,2020,Menos de 1 año,1747
15686,Santana,2020,Menos de 1 año,345
15690,Santa María,2020,Menos de 1 año,2963
15693,Santa Rosa de Viterbo,2020,Menos de 1 año,2308
15696,Santa Sofía,2020,Menos de 1 año,888
15720,Sativanorte,2020,Menos de 1 año,1119
15723,Sativasur,2020,Menos de 1 año,474
15740,Siachoque,2020,Menos de 1 año,3629
15753,Soatá,2020,Menos de 1 año,850
15755,Socotá,2020,Menos de 1 año,2543
15757,Socha,2020,Menos de 1 año,1399
15759,Sogamoso,2020,Menos de 1 año,4027
15761,Somondoco,2020,Menos de 1 año,1150
15762,Sora,2020,Menos de 1 año,913
15763,Sotaquirá,2020,Menos de 1 año,5017
15764,Soracá,2020,Menos de 1 año,2237
15774,Susacón,2020,Menos de 1 año,1550
15776,Sutamarchán,2020,Menos de 1 año,1157
15778,Sutatenza,2020,Menos de 1 año,895
15790,Tasco,2020,Menos de 1 año,2621
15798,Tenza,2020,Menos de 1 año,1108
15804,Tibaná,2020,Menos de 1 año,2476
15806,Tibasosa,2020,Menos de 1 año,2576
15808,Tinjacá,2020,Menos de 1 año,769
15810,Tipacoque,2020,Menos de 1 año,983
15814,Toca,2020,Menos de 1 año,3442
15816,Togüí,2020,Menos de 1 año,732
15820,Tópaga,2020,Menos de 1 año,435
15822,Tota,2020,Menos de 1 año,3303
15832,Tununguá,2020,Menos de 1 año,116
15835,Turmequé,2020,Menos de 1 año,1983
15837,Tuta,2020,Menos de 1 año,6099
15839,Tutazá,2020,Menos de 1 año,2232
15842,Úmbita,2020,Menos de 1 año,4147
15861,Ventaquemada,2020,Menos de 1 año,5626
15879,Viracachá,2020,Menos de 1 año,2114
15897,Zetaquirá,2020,Menos de 1 año,2617
15001,Tunja,2021,Menos de 1 año,2410
15022,Almeida,2021,Menos de 1 año,465
15047,Aquitania,2021,Menos de 1 año,3564
15051,Arcabuco,2021,Menos de 1 año,1986
15087,Belén,2021,Menos de 1 año,2538
15090,Berbeo,2021,Menos de 1 año,900
15092,Betéitiva,2021,Menos de 1 año,992
15097,Boavita,2021,Menos de 1 año,1941
15104,Boyacá,2021,Menos de 1 año,1109
15106,Briceño,2021,Menos de 1 año,541
15109,Buenavista,2021,Menos de 1 año,1671
15114,Busbanzá,2021,Menos de 1 año,288
15131,Caldas,2021,Menos de 1 año,1811
15135,Campohermoso,2021,Menos de 1 año,3129
15162,Cerinza,2021,Menos de 1 año,809
15172,Chinavita,2021,Menos de 1 año,1270
15176,Chiquinquirá,2021,Menos de 1 año,5057
15180,Chiscas,2021,Menos de 1 año,2903
15183,Chita,2021,Menos de 1 año,2404
15185,Chitaraque,2021,Menos de 1 año,658
15187,Chivatá,2021,Menos de 1 año,1127
15189,Ciénega,2021,Menos de 1 año,2085
15204,Cómbita,2021,Menos de 1 año,3007
15212,Coper,2021,Menos de 1 año,1672
15215,Corrales,2021,Menos de 1 año,399
15218,Covarachía,2021,Menos de 1 año,714
15223,Cubará,2021,Menos de 1 año,2473
15224,Cucaita,2021,Menos de 1 año,505
15226,Cuítiva,2021,Menos de 1 año,536
15232,Chíquiza,2021,Menos de 1 año,1098
15236,Chivor,2021,Menos de 1 año,504
15238,Duitama,2021,Menos de 1 año,3356
15244,El Cocuy,2021,Menos de 1 año,3216
15248,El Espino,2021,Menos de 1 año,1750
15272,Firavitoba,2021,Menos de 1 año,2704
15276,Floresta,2021,Menos de 1 año,1724
15293,Gachantivá,2021,Menos de 1 año,928
15296,Gámeza,2021,Menos de 1 año,1880
15299,Garagoa,2021,Menos de 1 año,2862
15317,Guacamayas,2021,Menos de 1 año,1165
15322,Guateque,2021,Menos de 1 año,767
15325,Guayatá,2021,Menos de 1 año,1288
15332,Güicán,2021,Menos de 1 año,2442
15362,Iza,2021,Menos de 1 año,546
15367,Jenesano,2021,Menos de 1 año,1465
15368,Jericó,2021,Menos de 1 año,775
15377,Labranzagrande,2021,Menos de 1 año,3441
15380,La Capilla,2021,Menos de 1 año,757
15401,La Victoria,2021,Menos de 1 año,203
15403,La Uvita,2021,Menos de 1 año,2868
15407,Villa de Leiva,2021,Menos de 1 año,891
15425,Macanal,2021,Menos de 1 año,1505
15442,Maripí,2021,Menos de 1 año,681
15455,Miraflores,2021,Menos de 1 año,3410
15464,Mongua,2021,Menos de 1 año,2207
15466,Monguí,2021,Menos de 1 año,1450
15469,Moniquirá,2021,Menos de 1 año,2599
15476,Motavita,2021,Menos de 1 año,2227
15480,Muzo,2021,Menos de 1 año,1018
15491,Nobsa,2021,Menos de 1 año,401
15494,Nuevo Colón,2021,Menos de 1 año,742
15500,Oicatá,2021,Menos de 1 año,1402
15507,Otanche,2021,Menos de 1 año,3269
15511,Pachavita,2021,Menos de 1 año,1085
15514,Páez,2021,Menos de 1 año,3691
15516,Paipa,2021,Menos de 1 año,5333
15518,Pajarito,2021,Menos de 1 año,1396
15522,Panqueba,2021,Menos de 1 año,899
15531,Pauna,2021,Menos de 1 año,1962
15533,Paya,2021,Menos de 1 año,1741
15537,Paz de Río,2021,Menos de 1 año,728
15542,Pesca,2021,Menos de 1 año,2998
15550,Pisba,2021,Menos de 1 año,1028
15572,Puerto Boyacá,2021,Menos de 1 año,22471
15580,Quípama,2021,Menos de 1 año,883
15599,Ramiriquí,2021,Menos de 1 año,2584
15600,Ráquira,2021,Menos de 1 año,962
15621,Rondón,2021,Menos de 1 año,1308
15632,Saboyá,2021,Menos de 1 año,4865
15638,Sáchica,2021,Menos de 1 año,81
15646,Samacá,2021,Menos de 1 año,1568
15660,San Eduardo,2021,Menos de 1 año,1097
15664,San José de Pare,2021,Menos de 1 año,202
15667,San Luis de Gaceno,2021,Menos de 1 año,6432
15673,San Mateo,2021,Menos de 1 año,2400
15676,San Miguel de Sema,2021,Menos de 1 año,3569
15681,San Pablo de Borbur,2021,Menos de 1 año,1446
15686,Santana,2021,Menos de 1 año,254
15690,Santa María,2021,Menos de 1 año,2798
15693,Santa Rosa de Viterbo,2021,Menos de 1 año,2009
15696,Santa Sofía,2021,Menos de 1 año,869
15720,Sativanorte,2021,Menos de 1 año,1107
15723,Sativasur,2021,Menos de 1 año,573
15740,Siachoque,2021,Menos de 1 año,3117
