Año,geo,Rango de edad,Sexo,Casos
2015,15001,(01 a 05),Hombre,11
2015,15001,(06 a 11),Hombre,16
2015,15001,(12 a 17),Hombre,17
2015,15001,Menores de un año,Hombre,0
2015,15022,(01 a 05),Hombre,0
2015,15022,(06 a 11),Hombre,0
2015,15022,(12 a 17),Hombre,0
2015,15022,Menores de un año,Hombre,1
2015,15087,(01 a 05),Hombre,0
2015,15087,(06 a 11),Hombre,2
2015,15097,(12 a 17),Hombre,1
2015,15172,(12 a 17),Hombre,0
2015,15176,(01 a 05),Hombre,3
2015,15176,(06 a 11),Hombre,5
2015,15176,(12 a 17),Hombre,3
2015,15218,(01 a 05),Hombre,1
2015,15223,(06 a 11),Hombre,0
2015,15226,(12 a 17),Hombre,0
2015,15238,(01 a 05),Hombre,5
2015,15238,(06 a 11),Hombre,9
2015,15238,(12 a 17),Hombre,6
2015,15238,Menores de un año,Hombre,0
2015,15272,(01 a 05),Hombre,0
2015,15272,(06 a 11),Hombre,0
2015,15272,(12 a 17),Hombre,1
2015,15272,Menores de un año,Hombre,0
2015,15299,(01 a 05),Hombre,0
2015,15299,(06 a 11),Hombre,2
2015,15299,(12 a 17),Hombre,2
2015,15299,Menores de un año,Hombre,0
2015,15322,(01 a 05),Hombre,3
2015,15322,Menores de un año,Hombre,1
2015,15362,(06 a 11),Hombre,0
2015,15380,(06 a 11),Hombre,1
2015,15380,(12 a 17),Hombre,0
2015,15425,(12 a 17),Hombre,2
2015,15425,Menores de un año,Hombre,0
2015,15469,(12 a 17),Hombre,2
2015,15491,(01 a 05),Hombre,0
2015,15491,(06 a 11),Hombre,1
2015,15491,(12 a 17),Hombre,1
2015,15516,(06 a 11),Hombre,2
2015,15516,(12 a 17),Hombre,1
2015,15542,(06 a 11),Hombre,1
2015,15542,(12 a 17),Hombre,1
2015,15572,(01 a 05),Hombre,1
2015,15572,(06 a 11),Hombre,1
2015,15572,(12 a 17),Hombre,1
2015,15599,(06 a 11),Hombre,0
2015,15599,(12 a 17),Hombre,1
2015,15600,(01 a 05),Hombre,0
2015,15600,(12 a 17),Hombre,0
2015,15632,(12 a 17),Hombre,0
2015,15638,(12 a 17),Hombre,0
2015,15646,(06 a 11),Hombre,1
