Actividad,Año,Cantidad
Fabricación de aeronaves o naves espaciales,2021,0
Fabricación de sustancias y productos químicos,2021,10
Fabricación de maquinaria y equipo n.c.p.,2021,1
Fabricación de vehículos automotores¬ remolques y semiremolques,2021,4
Coquización¬ fabricación de productos de la refinación del petróleo y actividad de mezcla de combustibles,2021,2
Fabricación de productos de caucho y de plástico,2021,5
Fabricación de otros productos minerales no metálicos,2021,34
Fabricación de productos metalúrgicos básicos,2021,1
Fabricación de productos elaborados de metal¬ excepto maquinaria y equipo,2021,50
Mantenimiento y reparación especializado de equipo de transporte¬ excepto los vehículos automotores¬ motocicletas y bicicletas,2021,0
