geo,Municipio,Grupo cultivo,Desagregación cultivo,Año,Área cosechada
15293,Gachantivá,Cereales,Maíz Tradicional,2019,25.000000
15293,Gachantivá,Cereales,Maíz Tradicional,2019,7.000000
15296,Gámeza,Cereales,Maíz Tradicional,2019,20.000000
15299,Garagoa,Cereales,Maíz Tradicional,2019,120.000000
15299,Garagoa,Cereales,Maíz Tradicional,2019,9.000000
15317,Guacamayas,Cereales,Maíz Tecnificado,2019,68.000000
15317,Guacamayas,Cereales,Trigo,2019,3.000000
15322,Guateque,Cereales,Maíz Tradicional,2019,1.300000
15322,Guateque,Cereales,Maíz Tradicional,2019,4.800000
15325,Guayatá,Cereales,Maíz Tradicional,2019,37.000000
15332,Güicán,Cereales,Maíz Tradicional,2019,42.500000
15332,Güicán,Cereales,Trigo,2019,18.000000
15332,Güicán,Cereales,Trigo,2019,17.000000
15367,Jenesano,Cereales,Maíz Tradicional,2019,25.000000
15368,Jericó,Cereales,Maíz Tradicional,2019,9.000000
15368,Jericó,Cereales,Maíz Tradicional,2019,9.000000
15368,Jericó,Cereales,Trigo,2019,11.000000
15368,Jericó,Cereales,Trigo,2019,11.000000
15377,Labranzagrande,Cereales,Maíz Tradicional,2019,65.000000
15380,La Capilla,Cereales,Maíz Tradicional,2019,18.000000
15380,La Capilla,Cereales,Maíz Tradicional,2019,7.000000
15401,La Victoria,Cereales,Maíz Tradicional,2019,10.000000
15401,La Victoria,Cereales,Maíz Tradicional,2019,10.000000
15403,La Uvita,Cereales,Cebada,2019,2.000000
15403,La Uvita,Cereales,Maíz Tradicional,2019,20.000000
15403,La Uvita,Cereales,Maíz Tradicional,2019,4.000000
15403,La Uvita,Cereales,Trigo,2019,5.000000
15403,La Uvita,Cereales,Trigo,2019,6.000000
15407,Villa de Leiva,Cereales,Maíz Tradicional,2019,15.000000
15407,Villa de Leiva,Cereales,Maíz Tradicional,2019,19.000000
15425,Macanal,Cereales,Maíz Tradicional,2019,90.000000
15442,Maripí,Cereales,Maíz Tradicional,2019,34.800000
15442,Maripí,Cereales,Maíz Tradicional,2019,39.000000
15455,Miraflores,Cereales,Maíz Tradicional,2019,18.000000
15455,Miraflores,Cereales,Maíz Tradicional,2019,19.000000
15464,Mongua,Cereales,Maíz Tradicional,2019,24.000000
15466,Monguí,Cereales,Maíz Tradicional,2019,5.000000
15466,Monguí,Cereales,Quinua,2019,1.000000
15466,Monguí,Cereales,Quinua,2019,0.500000
15466,Monguí,Cereales,Trigo,2019,1.000000
15469,Moniquirá,Cereales,Maíz Tradicional,2019,190.000000
15469,Moniquirá,Cereales,Maíz Tradicional,2019,115.000000
15476,Motavita,Cereales,Maíz Tradicional,2019,50.000000
15476,Motavita,Cereales,Trigo,2019,10.000000
15480,Muzo,Cereales,Maíz Tradicional,2019,18.000000
15480,Muzo,Cereales,Maíz Tradicional,2019,13.000000
15491,Nobsa,Cereales,Cebada,2019,20.000000
15491,Nobsa,Cereales,Maíz Tradicional,2019,40.000000
15491,Nobsa,Cereales,Maíz Tradicional,2019,28.000000
15494,Nuevo Colón,Cereales,Maíz Tradicional,2019,53.000000
15500,Oicatá,Cereales,Cebada,2019,67.000000
15500,Oicatá,Cereales,Cebada,2019,16.000000
15500,Oicatá,Cereales,Maíz Tradicional,2019,6.000000
15500,Oicatá,Cereales,Maíz Tradicional,2019,6.000000
15500,Oicatá,Cereales,Trigo,2019,6.000000
15500,Oicatá,Cereales,Trigo,2019,6.000000
15507,Otanche,Cereales,Maíz Tradicional,2019,45.000000
15507,Otanche,Cereales,Maíz Tradicional,2019,16.000000
15511,Pachavita,Cereales,Maíz Tradicional,2019,10.000000
15511,Pachavita,Cereales,Maíz Tradicional,2019,8.000000
15514,Páez,Cereales,Maíz Tradicional,2019,20.000000
15516,Paipa,Cereales,Maíz Tradicional,2019,64.600000
15518,Pajarito,Cereales,Maíz Tradicional,2019,24.000000
15522,Panqueba,Cereales,Maíz Tradicional,2019,12.000000
15522,Panqueba,Cereales,Trigo,2019,10.000000
15522,Panqueba,Cereales,Trigo,2019,12.000000
15531,Pauna,Cereales,Maíz Tradicional,2019,16.000000
15531,Pauna,Cereales,Maíz Tradicional,2019,3.000000
15533,Paya,Cereales,Maíz Tradicional,2019,65.000000
15537,Paz de Río,Cereales,Cebada,2019,3.000000
15537,Paz de Río,Cereales,Cebada,2019,1.000000
15537,Paz de Río,Cereales,Maíz Tradicional,2019,32.000000
15537,Paz de Río,Cereales,Trigo,2019,2.000000
15537,Paz de Río,Cereales,Trigo,2019,2.000000
15550,Pisba,Cereales,Maíz Tradicional,2019,20.000000
15572,Puerto Boyacá,Cereales,Arroz Secano Manual,2019,250.000000
15572,Puerto Boyacá,Cereales,Arroz Secano Manual,2019,320.000000
15572,Puerto Boyacá,Cereales,Maíz Tradicional,2019,22.000000
15572,Puerto Boyacá,Cereales,Maíz Tradicional,2019,18.000000
15580,Quípama,Cereales,Maíz Tradicional,2019,35.000000
15580,Quípama,Cereales,Maíz Tradicional,2019,32.000000
15599,Ramiriquí,Cereales,Maíz Tradicional,2019,55.000000
15599,Ramiriquí,Cereales,Maíz Tradicional,2019,10.000000
15600,Ráquira,Cereales,Maíz Tradicional,2019,48.000000
15600,Ráquira,Cereales,Maíz Tradicional,2019,46.000000
15621,Rondón,Cereales,Maíz Tradicional,2019,20.000000
15621,Rondón,Cereales,Maíz Tradicional,2019,8.000000
15632,Saboyá,Cereales,Maíz Tradicional,2019,135.000000
15646,Samacá,Cereales,Cebada,2019,10.000000
15646,Samacá,Cereales,Maíz Tradicional,2019,106.000000
15646,Samacá,Cereales,Maíz Tradicional,2019,210.000000
15660,San Eduardo,Cereales,Maíz Tecnificado,2019,8.000000
15660,San Eduardo,Cereales,Maíz Tecnificado,2019,5.000000
15660,San Eduardo,Cereales,Maíz Tradicional,2019,6.000000
15660,San Eduardo,Cereales,Maíz Tradicional,2019,6.000000
15664,San José de Pare,Cereales,Maíz Tradicional,2019,28.000000
15664,San José de Pare,Cereales,Maíz Tradicional,2019,25.000000
15667,San Luis de Gaceno,Cereales,Maíz Tradicional,2019,154.000000
15667,San Luis de Gaceno,Cereales,Maíz Tradicional,2019,73.000000
15673,San Mateo,Cereales,Maíz Tecnificado,2019,150.000000
15673,San Mateo,Cereales,Maíz Tecnificado,2019,125.000000
15673,San Mateo,Cereales,Maíz Tradicional,2019,45.000000
15673,San Mateo,Cereales,Trigo,2019,5.000000
15676,San Miguel de Sema,Cereales,Maíz Tradicional,2019,8.000000
15676,San Miguel de Sema,Cereales,Maíz Tradicional,2019,20.000000
15681,San Pablo de Borbur,Cereales,Maíz Tradicional,2019,32.000000
15681,San Pablo de Borbur,Cereales,Maíz Tradicional,2019,48.000000
15686,Santana,Cereales,Maíz Tradicional,2019,18.000000
15686,Santana,Cereales,Maíz Tradicional,2019,18.000000
15690,Santa María,Cereales,Maíz Tradicional,2019,29.000000
15690,Santa María,Cereales,Maíz Tradicional,2019,16.000000
15693,Santa Rosa de Viterbo,Cereales,Maíz Tradicional,2019,36.000000
15693,Santa Rosa de Viterbo,Cereales,Maíz Tradicional,2019,40.000000
15696,Santa Sofía,Cereales,Maíz Tradicional,2019,15.000000
15720,Sativanorte,Cereales,Cebada,2019,5.000000
15720,Sativanorte,Cereales,Cebada,2019,6.000000
15720,Sativanorte,Cereales,Maíz Tradicional,2019,31.000000
15720,Sativanorte,Cereales,Maíz Tradicional,2019,33.000000
15720,Sativanorte,Cereales,Trigo,2019,14.000000
15720,Sativanorte,Cereales,Trigo,2019,23.000000
15723,Sativasur,Cereales,Cebada,2019,1.000000
15723,Sativasur,Cereales,Maíz Tradicional,2019,13.000000
15723,Sativasur,Cereales,Trigo,2019,1.000000
15723,Sativasur,Cereales,Trigo,2019,2.000000
15740,Siachoque,Cereales,Avena,2019,300.000000
15740,Siachoque,Cereales,Avena,2019,300.000000
15740,Siachoque,Cereales,Cebada,2019,30.000000
15740,Siachoque,Cereales,Cebada,2019,30.000000
15740,Siachoque,Cereales,Maíz Tradicional,2019,300.000000
15740,Siachoque,Cereales,Maíz Tradicional,2019,300.000000
15740,Siachoque,Cereales,Quinua,2019,60.000000
15740,Siachoque,Cereales,Quinua,2019,60.000000
15753,Soatá,Cereales,Cebada,2019,2.000000
15753,Soatá,Cereales,Maíz Tradicional,2019,95.000000
15753,Soatá,Cereales,Maíz Tradicional,2019,60.000000
15753,Soatá,Cereales,Trigo,2019,18.000000
15753,Soatá,Cereales,Trigo,2019,20.000000
15755,Socotá,Cereales,Maíz Tradicional,2019,120.000000
15755,Socotá,Cereales,Trigo,2019,185.000000
15755,Socotá,Cereales,Trigo,2019,132.000000
15757,Socha,Cereales,Maíz Tradicional,2019,30.000000
15757,Socha,Cereales,Maíz Tradicional,2019,35.000000
15759,Sogamoso,Cereales,Maíz Tradicional,2019,45.000000
15761,Somondoco,Cereales,Maíz Tradicional,2019,65.000000
15762,Sora,Cereales,Cebada,2019,6.000000
15762,Sora,Cereales,Cebada,2019,7.000000
15762,Sora,Cereales,Maíz Tradicional,2019,4.000000
15762,Sora,Cereales,Maíz Tradicional,2019,6.000000
15764,Soracá,Cereales,Cebada,2019,9.000000
15764,Soracá,Cereales,Cebada,2019,16.000000
15764,Soracá,Cereales,Maíz Tradicional,2019,200.000000
15764,Soracá,Cereales,Maíz Tradicional,2019,100.000000
15764,Soracá,Cereales,Quinua,2019,2.000000
15764,Soracá,Cereales,Quinua,2019,4.000000
15764,Soracá,Cereales,Trigo,2019,12.000000
15764,Soracá,Cereales,Trigo,2019,16.000000
15774,Susacón,Cereales,Cebada,2019,8.000000
15774,Susacón,Cereales,Cebada,2019,6.000000
15774,Susacón,Cereales,Maíz Tradicional,2019,151.000000
15774,Susacón,Cereales,Maíz Tradicional,2019,120.000000
15774,Susacón,Cereales,Trigo,2019,30.000000
15774,Susacón,Cereales,Trigo,2019,20.000000
15776,Sutamarchán,Cereales,Maíz Tradicional,2019,6.000000
15776,Sutamarchán,Cereales,Maíz Tradicional,2019,7.000000
15778,Sutatenza,Cereales,Maíz Tradicional,2019,115.000000
15790,Tasco,Cereales,Cebada,2019,12.000000
15790,Tasco,Cereales,Cebada,2019,10.000000
15790,Tasco,Cereales,Maíz Tradicional,2019,27.000000
15790,Tasco,Cereales,Trigo,2019,15.000000
15790,Tasco,Cereales,Trigo,2019,11.000000
15798,Tenza,Cereales,Maíz Tradicional,2019,84.000000
15798,Tenza,Cereales,Maíz Tradicional,2019,4.000000
15804,Tibaná,Cereales,Maíz Tradicional,2019,280.000000
15804,Tibaná,Cereales,Maíz Tradicional,2019,10.000000
15806,Tibasosa,Cereales,Maíz Tradicional,2019,48.000000
15806,Tibasosa,Cereales,Quinua,2019,2.000000
15806,Tibasosa,Cereales,Quinua,2019,1.000000
15806,Tibasosa,Cereales,Trigo,2019,1.000000
