Estación,µg/m³
Paipa – Paipa Gensa,26.8
Sogamoso – Movil Koica Paipa,25.4
Tunja – Volcán Paipa,18.2
Nobsa – Bomberos Nobsa,9.9
Sogamoso – Recreo,9.1
Nobsa – Nazaret,8.6
Sogamoso – Sena,2
