geo,Municipio,Desagregación cultivo,Año,Rendimiento
15332,Güicán,Cebolla De Bulbo,2019,13
15332,Güicán,Cebolla De Bulbo,2019,14
15362,Iza,Otras hortalizas,2019,2
15362,Iza,Cebolla De Bulbo,2019,20
15362,Iza,Cebolla De Bulbo,2019,10
15367,Jenesano,Calabacín¬ Calabaza,2019,4
15367,Jenesano,Calabacín¬ Calabaza,2019,4
15367,Jenesano,Pepino Guiso,2019,4
15367,Jenesano,Pepino Guiso,2019,5
15367,Jenesano,Cilantro,2019,6
15367,Jenesano,Cilantro,2019,6
15367,Jenesano,Zanahoria,2019,20
15367,Jenesano,Zanahoria,2019,20
15368,Jericó,Tomate,2019,8
15368,Jericó,Tomate,2019,8
15368,Jericó,Cebolla De Bulbo,2019,20
15368,Jericó,Cebolla De Bulbo,2019,20
15380,La Capilla,Otras hortalizas,2019,3
15380,La Capilla,Pepino Cohombro,2019,20
15380,La Capilla,Pepino Guiso,2019,10
15380,La Capilla,Pimentón,2019,15
15380,La Capilla,Pimentón,2019,16
15380,La Capilla,Tomate,2019,25
15380,La Capilla,Tomate,2019,25
15380,La Capilla,Tomate Invernadero,2019,80
15380,La Capilla,Tomate Invernadero,2019,80
15401,La Victoria,Tomate,2019,8
15401,La Victoria,Tomate,2019,7
15403,La Uvita,Otras hortalizas,2019,2
15403,La Uvita,Otras hortalizas,2019,1
15403,La Uvita,Tomate,2019,15
15403,La Uvita,Tomate,2019,15
15403,La Uvita,Cilantro,2019,1
15403,La Uvita,Cilantro,2019,1
15403,La Uvita,Cebolla De Bulbo,2019,15
15403,La Uvita,Cebolla De Rama,2019,10
15407,Villa de Leiva,Otras hortalizas,2019,10
15407,Villa de Leiva,Tomate,2019,90
15407,Villa de Leiva,Tomate Invernadero,2019,90
15407,Villa de Leiva,Cebolla De Bulbo,2019,26
15407,Villa de Leiva,Cebolla De Bulbo,2019,26
15425,Macanal,Ají,2019,3
15425,Macanal,Calabacín¬ Calabaza,2019,40
15425,Macanal,Pepino Cohombro,2019,8
15425,Macanal,Pimentón,2019,9
15425,Macanal,Tomate,2019,51
15442,Maripí,Cebolla De Rama,2019,5
15455,Miraflores,Tomate Invernadero,2019,90
15455,Miraflores,Tomate Invernadero,2019,90
15466,Monguí,Otras hortalizas,2019,8
15466,Monguí,Otras hortalizas,2019,3
15466,Monguí,Tomate Invernadero,2019,100
15466,Monguí,Tomate Invernadero,2019,120
15466,Monguí,Ajo,2019,7
15466,Monguí,Zanahoria,2019,20
15466,Monguí,Zanahoria,2019,20
15469,Moniquirá,Tomate,2019,50
15469,Moniquirá,Tomate,2019,54
15476,Motavita,Cebolla De Bulbo,2019,25
15476,Motavita,Cebolla De Bulbo,2019,25
15476,Motavita,Zanahoria,2019,20
15476,Motavita,Zanahoria,2019,20
15491,Nobsa,Otras hortalizas,2019,12
15491,Nobsa,Otras hortalizas,2019,14
15491,Nobsa,Brócoli,2019,9
15491,Nobsa,Brócoli,2019,9
15491,Nobsa,Tomate,2019,23
15491,Nobsa,Tomate,2019,25
15491,Nobsa,Lechuga,2019,13
15491,Nobsa,Repollo,2019,25
15491,Nobsa,Repollo,2019,12
15491,Nobsa,Cebolla De Bulbo,2019,17
15491,Nobsa,Cebolla De Bulbo,2019,19
15491,Nobsa,Remolacha,2019,10
15491,Nobsa,Remolacha,2019,9
15494,Nuevo Colón,Ahuyama,2019,10
15494,Nuevo Colón,Zanahoria,2019,15
15494,Nuevo Colón,Zanahoria,2019,15
15500,Oicatá,Cebolla De Bulbo,2019,40
15500,Oicatá,Cebolla De Bulbo,2019,41
15511,Pachavita,Pepino Guiso,2019,15
15511,Pachavita,Pepino Guiso,2019,6
15511,Pachavita,Pimentón,2019,12
15511,Pachavita,Pimentón,2019,10
15511,Pachavita,Tomate Invernadero,2019,100
15511,Pachavita,Tomate Invernadero,2019,100
15516,Paipa,Lechuga,2019,15
15516,Paipa,Lechuga,2019,15
15516,Paipa,Cebolla De Bulbo,2019,23
15516,Paipa,Cebolla De Bulbo,2019,22
15518,Pajarito,Ahuyama,2019,15
15522,Panqueba,Ahuyama,2019,24
15522,Panqueba,Ahuyama,2019,24
15522,Panqueba,Tomate,2019,24
15522,Panqueba,Tomate,2019,25
15522,Panqueba,Cebolla De Bulbo,2019,11
15522,Panqueba,Cebolla De Bulbo,2019,12
15537,Paz de Río,Tomate Invernadero,2019,10
15537,Paz de Río,Tomate Invernadero,2019,9
15537,Paz de Río,Cebolla De Bulbo,2019,18
15537,Paz de Río,Cebolla De Bulbo,2019,17
15542,Pesca,Cebolla De Bulbo,2019,20
15542,Pesca,Cebolla De Bulbo,2019,14
15572,Puerto Boyacá,Ahuyama,2019,19
15572,Puerto Boyacá,Ahuyama,2019,18
15572,Puerto Boyacá,Melón,2019,15
15572,Puerto Boyacá,Melón,2019,15
15572,Puerto Boyacá,Patilla,2019,22
15572,Puerto Boyacá,Patilla,2019,20
15599,Ramiriquí,Ahuyama,2019,18
15599,Ramiriquí,Calabacín¬ Calabaza,2019,23
15599,Ramiriquí,Pepino Guiso,2019,12
15599,Ramiriquí,Pepino Guiso,2019,12
15599,Ramiriquí,Cilantro,2019,9
15600,Ráquira,Pepino Cohombro,2019,10
15600,Ráquira,Pepino Guiso,2019,10
15600,Ráquira,Pimentón,2019,5
15600,Ráquira,Pimentón,2019,4
15600,Ráquira,Tomate,2019,29
15600,Ráquira,Tomate,2019,30
15600,Ráquira,Cebolla De Bulbo,2019,18
15600,Ráquira,Cebolla De Bulbo,2019,24
15600,Ráquira,Zanahoria,2019,4
15600,Ráquira,Zanahoria,2019,4
15621,Rondón,Tomate Invernadero,2019,40
15621,Rondón,Tomate Invernadero,2019,41
15632,Saboyá,Lechuga,2019,16
15632,Saboyá,Lechuga,2019,16
15638,Sáchica,Tomate Invernadero,2019,90
15638,Sáchica,Tomate Invernadero,2019,88
15638,Sáchica,Cebolla De Bulbo,2019,20
15638,Sáchica,Cebolla De Bulbo,2019,20
15646,Samacá,Otras hortalizas,2019,6
15646,Samacá,Tomate,2019,36
15646,Samacá,Tomate,2019,20
15646,Samacá,Lechuga,2019,3
15646,Samacá,Lechuga,2019,2
15646,Samacá,Cebolla De Bulbo,2019,22
15646,Samacá,Cebolla De Bulbo,2019,23
15646,Samacá,Remolacha,2019,17
15646,Samacá,Remolacha,2019,10
15646,Samacá,Zanahoria,2019,18
15646,Samacá,Zanahoria,2019,30
15660,San Eduardo,Tomate Invernadero,2019,60
15660,San Eduardo,Tomate Invernadero,2019,72
15664,San José de Pare,Tomate,2019,20
15664,San José de Pare,Tomate,2019,20
15664,San José de Pare,Tomate Invernadero,2019,50
15664,San José de Pare,Tomate Invernadero,2019,50
15673,San Mateo,Tomate,2019,24
15673,San Mateo,Tomate,2019,24
15673,San Mateo,Cebolla De Bulbo,2019,12
15673,San Mateo,Cebolla De Bulbo,2019,10
15676,San Miguel de Sema,Cebolla De Bulbo,2019,32
15676,San Miguel de Sema,Cebolla De Bulbo,2019,32
15690,Santa María,Otras hortalizas,2019,6
15690,Santa María,Ahuyama,2019,8
15690,Santa María,Guatila,2019,3
15693,Santa Rosa de Viterbo,Cilantro,2019,6
15693,Santa Rosa de Viterbo,Cilantro,2019,8
15693,Santa Rosa de Viterbo,Lechuga,2019,2
15693,Santa Rosa de Viterbo,Lechuga,2019,2
15693,Santa Rosa de Viterbo,Repollo,2019,17
15693,Santa Rosa de Viterbo,Repollo,2019,17
15693,Santa Rosa de Viterbo,Cebolla De Bulbo,2019,18
15693,Santa Rosa de Viterbo,Cebolla De Bulbo,2019,18
15693,Santa Rosa de Viterbo,Remolacha,2019,13
15693,Santa Rosa de Viterbo,Remolacha,2019,13
15693,Santa Rosa de Viterbo,Zanahoria,2019,13
15693,Santa Rosa de Viterbo,Zanahoria,2019,13
15696,Santa Sofía,Tomate Invernadero,2019,90
15696,Santa Sofía,Tomate Invernadero,2019,90
15720,Sativanorte,Ahuyama,2019,8
15720,Sativanorte,Ahuyama,2019,9
15720,Sativanorte,Melón,2019,10
15720,Sativanorte,Melón,2019,10
15720,Sativanorte,Tomate,2019,30
15720,Sativanorte,Tomate,2019,28
15740,Siachoque,Otras hortalizas,2019,15
15740,Siachoque,Otras hortalizas,2019,15
15740,Siachoque,Cebolla De Bulbo,2019,20
15740,Siachoque,Cebolla De Bulbo,2019,20
15740,Siachoque,Zanahoria,2019,25
15740,Siachoque,Zanahoria,2019,25
15753,Soatá,Tomate,2019,18
15753,Soatá,Tomate,2019,10
15753,Soatá,Cebolla De Bulbo,2019,19
15753,Soatá,Cebolla De Bulbo,2019,15
15755,Socotá,Cebolla De Bulbo,2019,22
15755,Socotá,Cebolla De Bulbo,2019,21
15757,Socha,Tomate,2019,18
15757,Socha,Tomate,2019,17
15757,Socha,Cebolla De Bulbo,2019,18
15757,Socha,Cebolla De Bulbo,2019,13
15759,Sogamoso,Otras hortalizas,2019,5
15759,Sogamoso,Otras hortalizas,2019,5
15759,Sogamoso,Tomate Invernadero,2019,50
15759,Sogamoso,Lechuga,2019,16
15759,Sogamoso,Lechuga,2019,15
15759,Sogamoso,Cebolla De Bulbo,2019,25
15759,Sogamoso,Cebolla De Bulbo,2019,25
15759,Sogamoso,Cebolla De Rama,2019,27
15759,Sogamoso,Cebolla De Rama,2019,25
15761,Somondoco,Tomate,2019,27
15761,Somondoco,Tomate,2019,28
15762,Sora,Tomate,2019,60
15762,Sora,Tomate,2019,60
15762,Sora,Lechuga,2019,23
15762,Sora,Lechuga,2019,23
15762,Sora,Cebolla De Bulbo,2019,40
15762,Sora,Cebolla De Bulbo,2019,40
15762,Sora,Remolacha,2019,30
15762,Sora,Remolacha,2019,30
15764,Soracá,Lechuga,2019,10
15764,Soracá,Lechuga,2019,10
15764,Soracá,Cebolla De Bulbo,2019,20
15764,Soracá,Cebolla De Bulbo,2019,20
15764,Soracá,Zanahoria,2019,30
15764,Soracá,Zanahoria,2019,30
15776,Sutamarchán,Tomate Invernadero,2019,121
15776,Sutamarchán,Tomate Invernadero,2019,151
15776,Sutamarchán,Cebolla De Bulbo,2019,20
15776,Sutamarchán,Cebolla De Bulbo,2019,20
15778,Sutatenza,Ahuyama,2019,11
15778,Sutatenza,Ahuyama,2019,12
15778,Sutatenza,Pepino Cohombro,2019,6
15778,Sutatenza,Pepino Cohombro,2019,9
15778,Sutatenza,Pepino Guiso,2019,5
15778,Sutatenza,Pimentón,2019,10
15778,Sutatenza,Pimentón,2019,10
15778,Sutatenza,Tomate Invernadero,2019,120
15778,Sutatenza,Tomate Invernadero,2019,120
15798,Tenza,Ahuyama,2019,7
