Provincia,Casos
Ricaurte,20
Occidente,15
Centro,8
Oriente,4
Tundama,4
Neira,3
Norte,3
Valderrama,2
La Libertad,2
Márquez,1
Manejo Especial,1
Distrito Fronterizo,1
Sugamuxi,1
