Ciclo de vida,Casos
Adultez (29 a 59 años),29
Juventud (18 a 28 años),11
Vejez (>= 60 años),8
Adolescente (12 a 17 años),7
Primera Infancia (0 a 5 años),6
Infancia (6 a 11 años),4
