geo,Municipio,Casos,Año
15051,Arcabuco,2,2025
15109,Buenavista,1,2025
15218,Covarachia,2,2025
15223,Cubará,1,2025
15224,Cucaita,2,2025
15236,Chivor,1,2025
15238,Duitama,2,2025
15299,Garagoa,1,2025
15322,Guateque,1,2025
15368,Jericó,1,2025
15380,La Capilla,2,2025
15401,La Victoria,1,2025
15442,Maripí,1,2025
15469,Moniquira,4,2025
15507,Otanche,3,2025
15516,Paipa,2,2025
15533,Paya,2,2025
15572,Puerto Boyacá,1,2025
15600,Ráquira,3,2025
15646,Samacá,2,2025
15676,San Miguel De Sema,1,2025
15681,San Pablo De Borbur,8,2025
15686,Santana,9,2025
15690,Santa María,2,2025
15696,Santa Sofía,1,2025
15740,Siachoque,1,2025
15755,Socotá,1,2025
15759,Sogamoso,1,2025
15762,Sora,2,2025
15810,Tipacoque,1,2025
15816,Togüí,1,2025
15842,Umbita,1,2025
15861,Ventaquemada,1,2025
