geo,Area,Periodo,Valor
15022,Almeida,2012,0.571400
15047,Aquitania,2012,0.947900
15051,Arcabuco,2012,1.033000
15087,Belén,2012,0.943500
15090,Berbeo,2012,1.360000
15092,Betéitiva,2012,0.758600
15097,Boavita,2012,1.070200
15104,Boyacá,2012,0.972600
15106,Briceño,2012,0.800000
15109,Buenavista,2012,0.880600
15114,Busbanzá,2012,0.900000
15131,Caldas,2012,0.846200
15135,Campohermoso,2012,0.844400
15162,Cerinza,2012,0.711500
15172,Chinavita,2012,1.170700
15176,Chiquinquirá,2012,0.964800
15232,Chíquiza,2012,0.800000
15180,Chiscas,2012,1.127000
15183,Chita,2012,0.860000
15185,Chitaraque,2012,0.988800
15187,Chivatá,2012,0.854200
15236,Chivor,2012,0.677400
15189,Ciénega,2012,0.893300
15204,Cómbita,2012,0.874300
15212,Coper,2012,1.000000
15215,Corrales,2012,0.976200
15218,Covarachía,2012,1.142900
15223,Cubará,2012,0.977700
15224,Cucaita,2012,0.871800
15226,Cuítiva,2012,0.950000
15238,Duitama,2012,0.937400
15244,El Cocuy,2012,1.012000
15248,El Espino,2012,1.114300
15272,Firavitoba,2012,0.648900
15276,Floresta,2012,0.577800
15293,Gachantivá,2012,0.640000
15296,Gámeza,2012,0.823000
15299,Garagoa,2012,1.115600
15317,Guacamayas,2012,0.833300
15322,Guateque,2012,0.954800
15325,Guayatá,2012,0.787900
15332,GÜICÁN DE LA SIERRA,2012,1.111100
15362,Iza,2012,0.750000
15367,Jenesano,2012,0.895800
15368,Jericó,2012,1.014100
15380,La Capilla,2012,1.050000
15403,La Uvita,2012,0.974400
15401,La Victoria,2012,0.419400
15377,Labranzagrande,2012,0.800000
15425,Macanal,2012,1.301900
15442,Maripí,2012,0.765600
15455,Miraflores,2012,1.115000
15464,Mongua,2012,0.825200
15466,Monguí,2012,0.961000
15469,Moniquirá,2012,1.113500
15476,Motavita,2012,0.864500
15480,Muzo,2012,0.644100
15491,Nobsa,2012,0.970700
15494,Nuevo Colón,2012,0.961500
15500,Oicatá,2012,0.969700
15507,Otanche,2012,0.778900
15511,Pachavita,2012,1.000000
15514,Páez,2012,0.730800
15516,Paipa,2012,1.060700
15518,Pajarito,2012,0.941200
15522,Panqueba,2012,1.000000
15531,Pauna,2012,1.038500
15533,Paya,2012,0.885700
15537,Paz De Río,2012,0.896600
15542,Pesca,2012,0.728000
15550,Pisba,2012,1.000000
15572,Puerto Boyacá,2012,0.990300
15580,Quípama,2012,0.937500
15599,Ramiriquí,2012,1.061700
15600,Ráquira,2012,0.887900
15621,Rondón,2012,0.533300
15632,Saboyá,2012,0.919400
15638,Sáchica,2012,0.984600
15646,Samacá,2012,0.975700
15660,San Eduardo,2012,0.571400
15664,San José De Pare,2012,0.944400
15667,San Luis De Gaceno,2012,0.921600
15673,San Mateo,2012,0.955600
15676,San Miguel De Sema,2012,0.620700
15681,San Pablo De Borbur,2012,1.111100
15693,Santa Rosa De Viterbo,2012,0.857100
15696,Santa Sofía,2012,0.666700
15690,Santa María,2012,0.903800
15686,Santana,2012,1.111100
15720,Sativanorte,2012,1.050000
15723,Sativasur,2012,1.222200
15740,Siachoque,2012,0.953800
15753,Soatá,2012,0.765200
15757,Socha,2012,1.017400
15755,Socotá,2012,1.116000
15759,Sogamoso,2012,0.972000
15761,Somondoco,2012,0.963000
15762,Sora,2012,0.948300
15764,Soracá,2012,1.114000
15763,Sotaquirá,2012,1.009500
15774,Susacón,2012,0.963000
15776,Sutamarchán,2012,1.119000
15778,Sutatenza,2012,0.588200
15790,Tasco,2012,0.747900
15798,Tenza,2012,0.967700
15806,Tibasosa,2012,1.115000
15804,Tibaná,2012,0.750000
15808,Tinjacá,2012,1.000000
15810,Tipacoque,2012,0.672100
15814,Toca,2012,0.979200
15816,Togüí,2012,0.956500
15820,Tópaga,2012,1.013300
15822,Tota,2012,0.914900
15001,Tunja,2012,0.930800
15832,Tununguá,2012,1.000000
15835,Turmequé,2012,0.881700
15837,Tuta,2012,0.858400
15839,TUTAZÁ,2012,1.027800
15842,Úmbita,2012,0.949000
15861,Ventaquemada,2012,1.048000
15407,Villa De Leyva,2012,1.000000
15879,Viracachá,2012,0.945900
15897,Zetaquira,2012,0.814300
15022,Almeida,2013,0.476200
15047,Aquitania,2013,0.840000
15051,Arcabuco,2013,0.692300
15087,Belén,2013,0.790300
15090,Berbeo,2013,0.791700
15092,Betéitiva,2013,0.586200
15097,Boavita,2013,0.774200
15104,Boyacá,2013,0.747000
15106,Briceño,2013,0.733300
15109,Buenavista,2013,0.910400
15114,Busbanzá,2013,0.846200
15131,Caldas,2013,0.942300
15135,Campohermoso,2013,1.043500
15162,Cerinza,2013,0.980800
15172,Chinavita,2013,0.770800
15176,Chiquinquirá,2013,0.978500
15232,Chíquiza,2013,0.747400
15180,Chiscas,2013,0.709700
15183,Chita,2013,0.770000
15185,Chitaraque,2013,1.065200
15187,Chivatá,2013,0.833300
15236,Chivor,2013,0.941200
15189,Ciénega,2013,0.933300
15204,Cómbita,2013,0.754300
15212,Coper,2013,0.464300
15215,Corrales,2013,0.836700
15218,Covarachía,2013,0.807700
15223,Cubará,2013,1.078200
15224,Cucaita,2013,0.961500
15226,Cuítiva,2013,0.541700
15238,Duitama,2013,0.946400
15244,El Cocuy,2013,0.831300
15248,El Espino,2013,0.951200
15272,Firavitoba,2013,0.617000
15276,Floresta,2013,0.888900
15293,Gachantivá,2013,0.826900
15296,Gámeza,2013,0.930800
15299,Garagoa,2013,0.990700
15317,Guacamayas,2013,1.000000
15322,Guateque,2013,0.922600
15325,Guayatá,2013,1.000000
15332,GÜICÁN DE LA SIERRA,2013,1.200000
15362,Iza,2013,1.083300
15367,Jenesano,2013,0.791700
15368,Jericó,2013,0.839500
15380,La Capilla,2013,0.787900
15403,La Uvita,2013,0.711100
15401,La Victoria,2013,0.483900
15377,Labranzagrande,2013,0.860000
15425,Macanal,2013,0.760000
15442,Maripí,2013,0.679700
15455,Miraflores,2013,1.000000
15464,Mongua,2013,0.729200
15466,Monguí,2013,0.870100
15469,Moniquirá,2013,0.954500
15476,Motavita,2013,0.638700
15480,Muzo,2013,0.473500
15491,Nobsa,2013,0.767300
15494,Nuevo Colón,2013,0.820500
15500,Oicatá,2013,0.939400
15507,Otanche,2013,0.863200
15511,Pachavita,2013,0.730800
15514,Páez,2013,0.962300
15516,Paipa,2013,0.876700
15518,Pajarito,2013,0.878000
15522,Panqueba,2013,1.285700
15531,Pauna,2013,0.884600
15533,Paya,2013,1.000000
15537,Paz De Río,2013,0.552900
15542,Pesca,2013,0.936000
15550,Pisba,2013,1.173900
15572,Puerto Boyacá,2013,0.906300
15580,Quípama,2013,0.960000
15599,Ramiriquí,2013,0.906100
15600,Ráquira,2013,0.897200
15621,Rondón,2013,1.000000
15632,Saboyá,2013,0.881700
15638,Sáchica,2013,0.973300
15646,Samacá,2013,0.973300
15660,San Eduardo,2013,0.285700
15664,San José De Pare,2013,1.018500
15667,San Luis De Gaceno,2013,0.705900
15673,San Mateo,2013,0.827600
15676,San Miguel De Sema,2013,0.275900
15681,San Pablo De Borbur,2013,0.714300
15693,Santa Rosa De Viterbo,2013,0.634900
15696,Santa Sofía,2013,0.961000
15690,Santa María,2013,0.796600
15686,Santana,2013,1.102000
15720,Sativanorte,2013,0.850000
15723,Sativasur,2013,0.600000
15740,Siachoque,2013,0.959500
15753,Soatá,2013,0.881400
15757,Socha,2013,0.691900
15755,Socotá,2013,0.880500
15759,Sogamoso,2013,0.950600
15761,Somondoco,2013,0.884600
15762,Sora,2013,0.758600
15764,Soracá,2013,0.859600
15763,Sotaquirá,2013,0.848700
15774,Susacón,2013,0.933300
15776,Sutamarchán,2013,0.895300
15778,Sutatenza,2013,0.684200
15790,Tasco,2013,0.747900
15798,Tenza,2013,0.800000
15806,Tibasosa,2013,0.902900
15804,Tibaná,2013,0.699300
15808,Tinjacá,2013,1.068200
15810,Tipacoque,2013,0.918000
15814,Toca,2013,0.895800
15816,Togüí,2013,1.043500
15820,Tópaga,2013,0.786700
15822,Tota,2013,0.872300
15001,Tunja,2013,0.864400
15832,Tununguá,2013,0.727300
15835,Turmequé,2013,0.914000
15837,Tuta,2013,1.000000
15839,TUTAZÁ,2013,0.861100
15842,Úmbita,2013,0.755100
15861,Ventaquemada,2013,0.922200
15407,Villa De Leyva,2013,0.964900
15879,Viracachá,2013,1.026300
15897,Zetaquira,2013,0.785700
15022,Almeida,2014,0.666700
15047,Aquitania,2014,0.828100
15051,Arcabuco,2014,0.987000
15087,Belén,2014,0.981500
15090,Berbeo,2014,0.750000
15092,Betéitiva,2014,0.666700
15097,Boavita,2014,0.717400
15104,Boyacá,2014,1.045500
15106,Briceño,2014,0.888900
15109,Buenavista,2014,0.678000
15114,Busbanzá,2014,0.615400
15131,Caldas,2014,0.584900
15135,Campohermoso,2014,0.750000
15162,Cerinza,2014,0.588200
15172,Chinavita,2014,0.702700
15176,Chiquinquirá,2014,0.839100
15232,Chíquiza,2014,0.625000
15180,Chiscas,2014,0.571400
15183,Chita,2014,0.956800
15185,Chitaraque,2014,0.797900
15187,Chivatá,2014,0.933300
15236,Chivor,2014,0.687500
15189,Ciénega,2014,0.893900
15204,Cómbita,2014,0.633500
15212,Coper,2014,1.028600
15215,Corrales,2014,0.511600
15218,Covarachía,2014,0.857100
15223,Cubará,2014,1.000000
15224,Cucaita,2014,0.725000
15226,Cuítiva,2014,1.052600
15238,Duitama,2014,0.952500
15244,El Cocuy,2014,0.871800
15248,El Espino,2014,1.000000
15272,Firavitoba,2014,0.846200
15276,Floresta,2014,0.673500
15293,Gachantivá,2014,0.627900
15296,Gámeza,2014,0.547600
15299,Garagoa,2014,0.957100
15317,Guacamayas,2014,0.608700
15322,Guateque,2014,0.887600
15325,Guayatá,2014,0.545500
15332,GÜICÁN DE LA SIERRA,2014,0.538500
15362,Iza,2014,0.487200
15367,Jenesano,2014,0.900000
15368,Jericó,2014,0.710100
15380,La Capilla,2014,1.360000
15403,La Uvita,2014,0.774200
15401,La Victoria,2014,0.863600
15377,Labranzagrande,2014,1.020000
15425,Macanal,2014,0.565200
15442,Maripí,2014,0.717200
15455,Miraflores,2014,0.775000
15464,Mongua,2014,0.638600
15466,Monguí,2014,0.935900
15469,Moniquirá,2014,0.765100
15476,Motavita,2014,0.601400
15480,Muzo,2014,0.956500
15491,Nobsa,2014,0.916200
15494,Nuevo Colón,2014,0.958900
15500,Oicatá,2014,0.871000
15507,Otanche,2014,0.795900
15511,Pachavita,2014,0.750000
15514,Páez,2014,0.773600
15516,Paipa,2014,0.792300
15518,Pajarito,2014,0.714300
15522,Panqueba,2014,0.954500
15531,Pauna,2014,0.821100
15533,Paya,2014,0.538500
15537,Paz De Río,2014,0.630800
15542,Pesca,2014,0.827300
15550,Pisba,2014,0.750000
15572,Puerto Boyacá,2014,0.902800
15580,Quípama,2014,0.672700
15599,Ramiriquí,2014,0.829700
15600,Ráquira,2014,0.807700
15621,Rondón,2014,0.900000
15632,Saboyá,2014,0.989100
15638,Sáchica,2014,0.846200
15646,Samacá,2014,0.870300
15660,San Eduardo,2014,0.666700
15664,San José De Pare,2014,1.244900
15667,San Luis De Gaceno,2014,0.802300
15673,San Mateo,2014,0.672400
15676,San Miguel De Sema,2014,0.954500
15681,San Pablo De Borbur,2014,1.283200
15693,Santa Rosa De Viterbo,2014,0.895800
15696,Santa Sofía,2014,0.666700
15690,Santa María,2014,0.630400
