Index,2013,2014,2015,2016,2017
BOYACA,0.880200,0.889800,0.900900,0.902900,0.900100
CUNDINAMARCA,0.876700,0.881600,0.894900,0.894200,0.884000
META,0.810300,0.827100,0.827900,0.827500,0.821500
NORTE DE SANTANDER,0.842400,0.866500,0.886200,0.880400,0.881700
SANTANDER,0.908100,0.927400,0.927700,0.925900,0.921500
