geo,Municipio,Porcentaje,Año
15001,Tunja,3.04,2020
15001,Tunja,3.04,2021
15001,Tunja,0.03,2022
15001,Tunja,0,2023
15001,Tunja,0,2024
15001,Tunja,3.55,2025
15022,Almeida,9.47,2020
15022,Almeida,9.47,2021
15022,Almeida,0,2022
15022,Almeida,0,2023
15022,Almeida,0,2024
15022,Almeida,0,2025
15047,Aquitania,0.12,2020
15047,Aquitania,3.37,2021
15047,Aquitania,6.6,2022
15047,Aquitania,0.27,2023
15047,Aquitania,89.98,2024
15047,Aquitania,90.1,2025
15051,Arcabuco,1.92,2020
15051,Arcabuco,1.92,2021
15051,Arcabuco,1.94,2022
15051,Arcabuco,0,2023
15051,Arcabuco,0,2025
15087,Belén,0.02,2020
15087,Belén,0.02,2021
15087,Belén,0,2022
15087,Belén,0,2025
15090,Berbeo,0,2020
15090,Berbeo,0,2021
15090,Berbeo,0,2022
15090,Berbeo,3.39,2023
15090,Berbeo,3.33,2024
15090,Berbeo,3.32,2025
15092,Betéitiva,0,2020
15092,Betéitiva,0,2021
15092,Betéitiva,0.03,2022
15092,Betéitiva,0.29,2023
15092,Betéitiva,0,2024
15092,Betéitiva,0,2025
15097,Boavita,0,2020
15097,Boavita,0,2021
15097,Boavita,0,2022
15097,Boavita,0,2023
15097,Boavita,0,2024
15097,Boavita,0,2025
15104,Boyacá,0,2020
15104,Boyacá,0,2021
15104,Boyacá,0,2022
15104,Boyacá,0,2023
15104,Boyacá,0,2024
15104,Boyacá,0,2025
15106,Briceño,0,2020
15106,Briceño,0,2021
15106,Briceño,0,2022
15106,Briceño,0,2023
15106,Briceño,0,2024
15106,Briceño,0,2025
15109,Buenavista,0,2020
15109,Buenavista,0,2021
15109,Buenavista,0,2022
15109,Buenavista,0,2024
15109,Buenavista,0,2025
15114,Busbanzá,0,2020
15114,Busbanzá,100,2021
15114,Busbanzá,100,2022
15114,Busbanzá,100,2023
15114,Busbanzá,100,2024
15114,Busbanzá,0,2025
15131,Caldas,7.16,2020
15131,Caldas,9.71,2021
15131,Caldas,9.71,2022
15131,Caldas,7.72,2023
15131,Caldas,100,2024
15131,Caldas,4.29,2025
15135,Campohermoso,0,2021
15135,Campohermoso,100,2022
15135,Campohermoso,100,2023
15135,Campohermoso,100,2024
15162,Cerinza,0,2020
15162,Cerinza,0,2021
15162,Cerinza,0,2022
15162,Cerinza,0,2023
15162,Cerinza,0,2024
15162,Cerinza,0,2025
15172,Chinavita,0,2020
15172,Chinavita,0,2021
15172,Chinavita,0,2022
15172,Chinavita,0,2023
15172,Chinavita,0,2025
15176,Chiquinquirá,8.08,2020
15176,Chiquinquirá,8.06,2021
15176,Chiquinquirá,8.12,2022
15176,Chiquinquirá,8.09,2023
15180,Chiscas,0.3,2020
15180,Chiscas,0.3,2021
15180,Chiscas,0,2022
15180,Chiscas,0.3,2023
15180,Chiscas,0.3,2024
15180,Chiscas,0.3,2025
15183,Chita,0,2020
15183,Chita,0,2021
15183,Chita,0.51,2022
15183,Chita,44.81,2023
15183,Chita,0,2024
15183,Chita,0,2025
15185,Chitaraque,0,2020
15185,Chitaraque,5.33,2021
15185,Chitaraque,41.74,2022
15185,Chitaraque,5.21,2023
15185,Chitaraque,3.45,2024
15185,Chitaraque,3.45,2025
15187,Chivatá,3.92,2020
15187,Chivatá,3.92,2021
15187,Chivatá,3.63,2022
15187,Chivatá,0,2023
15187,Chivatá,0,2024
15189,Ciénega,22.24,2020
15189,Ciénega,22.12,2021
15189,Ciénega,22.09,2022
15189,Ciénega,0,2023
15189,Ciénega,1.2,2025
15204,Combita,0.02,2020
15204,Combita,0.02,2021
15204,Combita,0.02,2022
15204,Combita,0.02,2023
15204,Combita,0.02,2024
15204,Combita,0.03,2025
15212,Coper,0,2021
15212,Coper,0,2022
15212,Coper,0,2023
15212,Coper,0.45,2024
15212,Coper,0.45,2025
15215,Corrales,0,2020
15215,Corrales,0,2021
15215,Corrales,10.07,2022
15215,Corrales,10.09,2023
15215,Corrales,3.92,2024
15215,Corrales,3.75,2025
15218,Covarachia,0,2022
15218,Covarachia,0,2023
15218,Covarachia,0,2024
15218,Covarachia,0,2025
15223,Cubará,0,2020
15223,Cubará,0,2021
15223,Cubará,10.8,2022
15223,Cubará,10.8,2023
15223,Cubará,10,2024
15224,Cucaita,7.51,2020
15224,Cucaita,7.54,2021
15224,Cucaita,8.14,2022
15224,Cucaita,15.34,2023
15224,Cucaita,15.34,2024
15224,Cucaita,15.34,2025
15226,Cuìtiva,0,2020
15226,Cuìtiva,2.55,2021
15226,Cuìtiva,2.55,2022
15226,Cuìtiva,2.55,2023
15226,Cuìtiva,2.55,2024
15226,Cuìtiva,27.15,2025
15232,Chíquiza,13.15,2020
15232,Chíquiza,22.83,2021
15232,Chíquiza,22.86,2022
15232,Chíquiza,27.63,2023
15232,Chíquiza,26.13,2024
15232,Chíquiza,27.08,2025
15236,Chivor,0,2020
15236,Chivor,2.14,2021
15236,Chivor,0,2022
15236,Chivor,0.85,2023
15236,Chivor,6.49,2024
15236,Chivor,0.77,2025
15238,Duitama,15.7,2020
15238,Duitama,15.7,2021
15238,Duitama,13.23,2022
15238,Duitama,13.68,2023
15238,Duitama,13.76,2024
15238,Duitama,10.51,2025
15244,El Cocuy,0,2020
15244,El Cocuy,0,2021
15244,El Cocuy,0.11,2022
15244,El Cocuy,0,2023
15244,El Cocuy,85.15,2024
15244,El Cocuy,85.39,2025
15248,El Espino,0,2020
15248,El Espino,0,2021
15248,El Espino,0,2022
15248,El Espino,0,2023
15248,El Espino,0,2024
15248,El Espino,0,2025
15272,Firavitoba,7.78,2020
15272,Firavitoba,7.89,2021
15272,Firavitoba,7.45,2022
15272,Firavitoba,0,2023
15272,Firavitoba,0,2024
15272,Firavitoba,0,2025
15276,Floresta,100,2020
15276,Floresta,100,2021
15293,Gachantivá,0,2020
15293,Gachantivá,0,2021
15293,Gachantivá,0,2022
15293,Gachantivá,0,2023
15293,Gachantivá,0,2024
15293,Gachantivá,0,2025
15296,Gameza,6.49,2020
15296,Gameza,6.49,2021
15296,Gameza,6.49,2022
15296,Gameza,7.21,2023
15296,Gameza,7.21,2024
15296,Gameza,7.21,2025
15299,Garagoa,0,2020
15299,Garagoa,0,2022
15299,Garagoa,0,2023
15299,Garagoa,71.43,2024
15299,Garagoa,0,2025
15317,Guacamayas,0.38,2020
15317,Guacamayas,0,2021
15317,Guacamayas,0.38,2022
15317,Guacamayas,0.38,2023
15317,Guacamayas,0,2024
15317,Guacamayas,2.46,2025
15322,Guateque,0.02,2020
15322,Guateque,0.02,2021
15322,Guateque,0.02,2022
15322,Guateque,0.02,2023
15322,Guateque,0.02,2024
15322,Guateque,0.02,2025
15325,Guayatá,0.02,2020
15325,Guayatá,0.02,2021
15325,Guayatá,0.02,2022
15325,Guayatá,0.02,2023
15325,Guayatá,0.02,2024
15325,Guayatá,0.16,2025
15332,Güicán,0.07,2020
15332,Güicán,0.07,2021
15332,Güicán,0.07,2022
15332,Güicán,0.08,2023
15332,Güicán,0.08,2024
15332,Güicán,0.08,2025
15362,Iza,15.82,2021
15362,Iza,15.9,2022
15362,Iza,15.9,2024
15362,Iza,15.9,2025
15367,Jenesano,100,2020
15367,Jenesano,100,2021
15367,Jenesano,3.65,2022
15367,Jenesano,3.65,2023
15367,Jenesano,3.65,2024
15367,Jenesano,3.65,2025
15368,Jericó,0,2020
15368,Jericó,0,2021
15368,Jericó,2.73,2022
15368,Jericó,9.11,2023
15368,Jericó,3.19,2024
15368,Jericó,9.11,2025
15377,Labranza Grande,0,2020
15377,Labranza Grande,0,2021
15377,Labranza Grande,0,2022
15377,Labranza Grande,0.24,2023
15377,Labranza Grande,0.71,2024
15377,Labranza Grande,0.71,2025
15380,La Capilla,0,2020
15380,La Capilla,0,2021
15380,La Capilla,0,2022
15380,La Capilla,0,2023
15380,La Capilla,11.29,2024
15380,La Capilla,0,2025
15401,La Victoria,0.85,2020
15401,La Victoria,0.11,2021
15401,La Victoria,2.35,2022
15401,La Victoria,0.77,2023
15401,La Victoria,0.12,2024
15401,La Victoria,0,2025
15403,La Uvita,9.17,2020
15403,La Uvita,0,2021
15403,La Uvita,0,2022
15403,La Uvita,0,2024
15403,La Uvita,0,2025
15407,Villa De Leyva,20.37,2020
15407,Villa De Leyva,21.41,2021
15407,Villa De Leyva,21.38,2022
15425,Macanal,0.98,2020
15425,Macanal,2.47,2021
15425,Macanal,1.95,2022
15425,Macanal,1.85,2024
15425,Macanal,1.85,2025
15442,Maripí,2.32,2020
15442,Maripí,1.86,2021
15442,Maripí,1.95,2022
15442,Maripí,2.25,2023
15442,Maripí,2.25,2024
15442,Maripí,2.53,2025
15455,Miraflores,0,2020
15455,Miraflores,0,2021
15455,Miraflores,0,2022
15455,Miraflores,0,2023
15455,Miraflores,0,2024
15455,Miraflores,0,2025
15464,Mongua,0,2020
15464,Mongua,2.54,2021
15464,Mongua,19.56,2022
15464,Mongua,18.73,2023
15464,Mongua,64.71,2024
15464,Mongua,0,2025
15466,Monguì,7.11,2020
15466,Monguì,7.11,2021
15466,Monguì,7.28,2022
15466,Monguì,7.28,2023
15466,Monguì,7.28,2024
15466,Monguì,7.28,2025
15469,Moniquira,1.26,2020
15469,Moniquira,0.86,2021
15469,Moniquira,1.36,2022
15469,Moniquira,2.07,2023
15469,Moniquira,2.07,2024
15469,Moniquira,1.95,2025
15476,Motavita,0.56,2020
15476,Motavita,1.45,2021
15476,Motavita,1.51,2022
15476,Motavita,0,2023
15476,Motavita,0,2024
15476,Motavita,0,2025
15480,Muzo,0,2020
15480,Muzo,0,2021
15480,Muzo,0,2022
15480,Muzo,85.14,2023
15480,Muzo,85.14,2024
15480,Muzo,85.14,2025
15491,Nobsa,53.43,2020
15491,Nobsa,53.43,2021
15491,Nobsa,53.43,2022
15491,Nobsa,15.66,2023
15491,Nobsa,15.95,2025
15494,Nuevo Colón,56.99,2020
15494,Nuevo Colón,11.22,2021
15494,Nuevo Colón,11.95,2022
15494,Nuevo Colón,11.81,2023
15494,Nuevo Colón,11.38,2024
15494,Nuevo Colón,5.95,2025
15500,Oicata,0.42,2020
15500,Oicata,0.42,2021
15500,Oicata,0.49,2022
15500,Oicata,0.39,2023
15500,Oicata,0.39,2024
15507,Otanche,0,2020
15507,Otanche,0,2021
15507,Otanche,0,2022
15507,Otanche,0,2023
15507,Otanche,0,2024
15507,Otanche,0,2025
15511,Pachavita,0.09,2020
15511,Pachavita,0.2,2021
15511,Pachavita,0,2022
15511,Pachavita,0.12,2023
15511,Pachavita,0.12,2024
15511,Pachavita,0.12,2025
15514,Páez,0,2020
15514,Páez,0,2021
15514,Páez,0,2022
15514,Páez,0,2023
15514,Páez,0,2024
15514,Páez,0,2025
15516,Paipa,3.72,2020
15516,Paipa,3.72,2021
15516,Paipa,3.72,2022
15518,Pajarito,0,2020
15518,Pajarito,0,2021
15518,Pajarito,0,2022
15518,Pajarito,0,2023
15518,Pajarito,0,2024
15518,Pajarito,0,2025
15522,Panqueba,0,2020
15522,Panqueba,0,2021
15522,Panqueba,0,2022
15522,Panqueba,0,2023
15522,Panqueba,0,2024
15522,Panqueba,0,2025
15531,Pauna,0,2020
15531,Pauna,36.64,2021
15531,Pauna,53.04,2022
15531,Pauna,53.28,2023
15531,Pauna,0,2024
15531,Pauna,0,2025
15533,Paya,44.07,2020
15533,Paya,22.19,2021
15533,Paya,22.19,2022
15533,Paya,0.74,2023
