Año,No aplica,RI Nivel Superior (=>100%),"RII Nivel Intermedio (85% - 99,9%)",RIII Nivel inferior (<85%)
2020,14,49,43,140
2021,5,54,49,138
2022,1,61,45,139
2023,20,72,33,121
2024,19,69,36,122
2025,17,65,37,127
