geo,Año,Rango de edad,Casos
15693,2017,(12 a 17),5
15693,2017,Menores de un año,1
15755,2017,(01 a 05),1
15757,2017,(12 a 17),1
15759,2017,(01 a 05),2
15759,2017,(06 a 11),3
15759,2017,(12 a 17),43
15759,2017,Menores de un año,1
15763,2017,(01 a 05),1
15764,2017,(06 a 11),2
15764,2017,(12 a 17),4
15806,2017,(12 a 17),4
15808,2017,(12 a 17),1
15820,2017,(12 a 17),1
15837,2017,(12 a 17),2
15861,2017,(12 a 17),2
15897,2017,(06 a 11),1
15897,2017,(12 a 17),2
