Año,Periodo,Primera infancia (0 a 5 años),Infancia (6 a 11 años),Adolescencia (12 a 17 años),Juventud (18 a 28 años),Adultez (29 a 59 años),Vejez (Mayor a 60 años),Total año
2020,ene a jun,,,,1,,,1
2020,jul a dic,,,1,1,2,,4
2021,ene a jun,,,,1,,,1
2021,jul a dic,,,,,1,,1
2022,ene a jun,,,,,3,,3
2022,jul a dic,,,,2,,,2
2023,ene a jun,,,,1,,,1
2023,jul a dic,,,1,3,1,,4
2024,ene a jun,,,,1,2,,3
