geo,Año,Rango de edad,Sexo,Casos
15001,2020,Adultez,Femenino,1
15001,2020,Juventud,Femenino,1
15047,2022,Adultez,Femenino,1
15047,2023,Juventud,Femenino,1
15051,2020,Juventud,LGBTI,1
15087,2022,Juventud,Femenino,1
15172,2022,Juventud,Femenino,1
15176,2022,Adultez,Femenino,1
15238,2021,Juventud,Femenino,1
15238,2022,Adultez,Femenino,1
15238,2023,Adultez,Femenino,1
15238,2023,Juventud,Femenino,2
15322,2024,Adultez,Femenino,1
15516,2020,Adolescencia,Femenino,1
15632,2024,Adultez,Femenino,1
15632,2024,Juventud,Femenino,1
15759,2021,Adultez,Femenino,1
15759,2023,Adolescencia,Femenino,1
15759,2023,Juventud,Femenino,1
15790,2020,Adultez,Femenino,1
