geo,Municipio,Año,Valor
15022,Almeida,2012,0.571400
15047,Aquitania,2012,0.889300
15051,Arcabuco,2012,0.989000
15087,Belén,2012,0.943500
15090,Berbeo,2012,1.040000
15092,Betéitiva,2012,0.620700
15097,Boavita,2012,1.070200
15104,Boyacá,2012,0.972600
15106,Briceño,2012,0.766700
15109,Buenavista,2012,0.880600
15114,Busbanzá,2012,0.900000
15131,Caldas,2012,0.846200
15135,Campohermoso,2012,0.644400
15162,Cerinza,2012,0.711500
15172,Chinavita,2012,0.951200
15176,Chiquinquirá,2012,0.941300
15232,Chíquiza,2012,0.764700
15180,Chiscas,2012,1.127000
15183,Chita,2012,0.865000
15185,Chitaraque,2012,0.977500
15187,Chivatá,2012,0.854200
15236,Chivor,2012,0.580600
15189,Ciénega,2012,0.880000
15204,Cómbita,2012,0.874300
15212,Coper,2012,0.972200
15215,Corrales,2012,1.023800
15218,Covarachía,2012,1.000000
15223,Cubará,2012,0.860300
15224,Cucaita,2012,0.692300
15226,Cuítiva,2012,0.850000
15238,Duitama,2012,0.857800
15244,El Cocuy,2012,1.012000
15248,El Espino,2012,1.114300
15272,Firavitoba,2012,0.638300
15276,Floresta,2012,0.733300
15293,Gachantivá,2012,0.640000
15296,Gámeza,2012,0.823000
15299,Garagoa,2012,1.095500
15317,Guacamayas,2012,0.666700
15322,Guateque,2012,0.954800
15325,Guayatá,2012,0.787900
15332,GÜICÁN DE LA SIERRA,2012,0.920600
15362,Iza,2012,0.750000
15367,Jenesano,2012,0.895800
15368,Jericó,2012,1.042300
15380,La Capilla,2012,1.050000
15403,La Uvita,2012,0.948700
15401,La Victoria,2012,0.387100
15377,Labranzagrande,2012,0.800000
15425,Macanal,2012,0.603800
15442,Maripí,2012,0.718800
15455,Miraflores,2012,1.115000
15464,Mongua,2012,0.796100
15466,Monguí,2012,0.896100
15469,Moniquirá,2012,1.113500
15476,Motavita,2012,0.864500
15480,Muzo,2012,0.626300
15491,Nobsa,2012,0.970700
15494,Nuevo Colón,2012,0.782100
15500,Oicatá,2012,0.969700
15507,Otanche,2012,0.700000
15511,Pachavita,2012,1.076900
15514,Páez,2012,0.730800
15516,Paipa,2012,1.080200
15518,Pajarito,2012,0.852900
15522,Panqueba,2012,0.857100
15531,Pauna,2012,1.038500
15533,Paya,2012,0.400000
15537,Paz De Río,2012,0.896600
15542,Pesca,2012,0.672000
15550,Pisba,2012,1.120000
15572,Puerto Boyacá,2012,0.925100
15580,Quípama,2012,0.921900
15599,Ramiriquí,2012,0.993800
15600,Ráquira,2012,0.841100
15621,Rondón,2012,0.566700
15632,Saboyá,2012,0.919400
15638,Sáchica,2012,1.046200
15646,Samacá,2012,0.966000
15660,San Eduardo,2012,0.607100
15664,San José De Pare,2012,0.907400
15667,San Luis De Gaceno,2012,0.921600
15673,San Mateo,2012,0.933300
15676,San Miguel De Sema,2012,0.620700
15681,San Pablo De Borbur,2012,1.041700
15693,Santa Rosa De Viterbo,2012,0.873000
15696,Santa Sofía,2012,0.666700
15690,Santa María,2012,0.846200
15686,Santana,2012,1.121200
15720,Sativanorte,2012,1.050000
15723,Sativasur,2012,1.222200
15740,Siachoque,2012,0.930600
15753,Soatá,2012,0.756500
15757,Socha,2012,0.994200
15755,Socotá,2012,1.116000
15759,Sogamoso,2012,0.952700
15761,Somondoco,2012,0.963000
15762,Sora,2012,0.948300
15764,Soracá,2012,0.973700
15763,Sotaquirá,2012,1.000000
15774,Susacón,2012,1.037000
15776,Sutamarchán,2012,1.107100
15778,Sutatenza,2012,0.441200
15790,Tasco,2012,0.722700
15798,Tenza,2012,0.967700
15806,Tibasosa,2012,1.115000
15804,Tibaná,2012,0.743800
15808,Tinjacá,2012,0.857100
15810,Tipacoque,2012,0.590200
15814,Toca,2012,0.802100
15816,Togüí,2012,0.666700
15820,Tópaga,2012,0.906700
15822,Tota,2012,0.914900
15001,Tunja,2012,0.903800
15832,Tununguá,2012,1.047600
15835,Turmequé,2012,0.924700
15837,Tuta,2012,0.858400
15839,TUTAZÁ,2012,1.027800
15842,Úmbita,2012,0.949000
15861,Ventaquemada,2012,1.048000
15407,Villa De Leyva,2012,1.023400
15879,Viracachá,2012,0.945900
15897,Zetaquira,2012,0.857100
15022,Almeida,2013,0.476200
15047,Aquitania,2013,0.840000
15051,Arcabuco,2013,0.692300
15087,Belén,2013,0.782300
15090,Berbeo,2013,0.666700
15092,Betéitiva,2013,0.586200
15097,Boavita,2013,0.774200
15104,Boyacá,2013,0.747000
15106,Briceño,2013,0.700000
15109,Buenavista,2013,1.000000
15114,Busbanzá,2013,0.692300
15131,Caldas,2013,0.903800
15135,Campohermoso,2013,1.043500
15162,Cerinza,2013,0.961500
15172,Chinavita,2013,0.770800
15176,Chiquinquirá,2013,0.977500
15232,Chíquiza,2013,0.747400
15180,Chiscas,2013,0.709700
15183,Chita,2013,0.770000
15185,Chitaraque,2013,1.065200
15187,Chivatá,2013,0.833300
15236,Chivor,2013,0.911800
15189,Ciénega,2013,0.906700
15204,Cómbita,2013,0.760000
15212,Coper,2013,0.464300
15215,Corrales,2013,0.836700
15218,Covarachía,2013,0.807700
15223,Cubará,2013,0.849200
15224,Cucaita,2013,0.961500
15226,Cuítiva,2013,0.541700
15238,Duitama,2013,0.936200
15244,El Cocuy,2013,0.831300
15248,El Espino,2013,0.951200
15272,Firavitoba,2013,0.606400
15276,Floresta,2013,0.888900
15293,Gachantivá,2013,0.750000
15296,Gámeza,2013,0.930800
15299,Garagoa,2013,0.986100
15317,Guacamayas,2013,1.000000
15322,Guateque,2013,0.922600
15325,Guayatá,2013,1.000000
15332,GÜICÁN DE LA SIERRA,2013,1.214300
15362,Iza,2013,1.083300
15367,Jenesano,2013,0.718800
15368,Jericó,2013,0.839500
15380,La Capilla,2013,0.787900
15403,La Uvita,2013,0.711100
15401,La Victoria,2013,0.548400
15377,Labranzagrande,2013,0.860000
15425,Macanal,2013,0.760000
15442,Maripí,2013,0.679700
15455,Miraflores,2013,1.000000
15464,Mongua,2013,0.729200
15466,Monguí,2013,0.870100
15469,Moniquirá,2013,0.954500
15476,Motavita,2013,0.638700
15480,Muzo,2013,0.462100
15491,Nobsa,2013,0.767300
15494,Nuevo Colón,2013,0.820500
15500,Oicatá,2013,0.969700
15507,Otanche,2013,0.721100
15511,Pachavita,2013,0.730800
15514,Páez,2013,0.962300
15516,Paipa,2013,0.876700
15518,Pajarito,2013,0.878000
15522,Panqueba,2013,1.285700
15531,Pauna,2013,0.875000
15533,Paya,2013,1.000000
15537,Paz De Río,2013,0.541200
15542,Pesca,2013,0.936000
15550,Pisba,2013,1.173900
15572,Puerto Boyacá,2013,0.900800
15580,Quípama,2013,0.920000
15599,Ramiriquí,2013,0.906100
15600,Ráquira,2013,0.906500
15621,Rondón,2013,1.000000
15632,Saboyá,2013,0.881700
15638,Sáchica,2013,0.973300
15646,Samacá,2013,0.973300
15660,San Eduardo,2013,0.357100
15664,San José De Pare,2013,1.018500
15667,San Luis De Gaceno,2013,0.705900
15673,San Mateo,2013,0.827600
15676,San Miguel De Sema,2013,0.275900
15681,San Pablo De Borbur,2013,0.714300
