Departamento,Población,2018,2019,2020,2021
Boyacá,CA,0.002000,0.000000,0.001000,0.000000
Boyacá,CPRD,0.443000,0.405000,0.187000,0.288000
Cundinamarca,CA,0.015000,0.015000,0.016000,0.001000
Cundinamarca,CPRD,0.282000,0.343000,0.195000,0.268000
Meta,CA,0.085000,0.058000,0.066000,0.059000
Meta,CPRD,0.434000,0.260000,0.346000,0.352000
Norte de Santander,CA,0.011000,0.038000,0.002000,0.009000
Norte de Santander,CPRD,0.529000,0.518000,0.575000,0.660000
Santander,CA,0.019000,0.027000,0.005000,0.005000
Santander,CPRD,0.480000,0.552000,0.385000,0.430000
