geo,Municipio,Expedientes,Año
15001,Tunja,1,2020
15001,Tunja,2,2021
15001,Tunja,3,2022
15001,Tunja,13,2023
15001,Tunja,14,2024
15001,Tunja,5,2025
15047,Aquitania,2,2022
15047,Aquitania,1,2024
15051,Arcabuco,1,2020
15051,Arcabuco,2,2022
15051,Arcabuco,5,2023
15051,Arcabuco,4,2024
15087,Belén,1,2023
15090,Berbeo,4,2021
15090,Berbeo,3,2022
15090,Berbeo,1,2024
15092,Betéitiva,1,2024
15097,Boavita,1,2021
15097,Boavita,1,2022
15097,Boavita,2,2023
15097,Boavita,3,2024
15106,Briceño,1,2020
15106,Briceño,2,2021
15106,Briceño,1,2022
15106,Briceño,4,2023
15106,Briceño,5,2024
15114,Busbanzá,1,2022
15114,Busbanzá,1,2024
15180,Chiscas,2,2023
15180,Chiscas,2,2024
15204,Combita,4,2024
15204,Combita,3,2025
15212,Coper,1,2020
15212,Coper,1,2023
15212,Coper,1,2025
15215,Corrales,1,2023
15218,Covarachia,2,2022
15224,Cucaita,1,2024
15226,Cuìtiva,1,2022
15226,Cuìtiva,2,2024
15238,Duitama,3,2020
15238,Duitama,3,2021
15238,Duitama,2,2022
15238,Duitama,10,2024
15238,Duitama,1,2025
15244,El Cocuy,1,2020
15244,El Cocuy,1,2021
15244,El Cocuy,4,2022
15244,El Cocuy,6,2023
15244,El Cocuy,5,2024
15244,El Cocuy,1,2025
15248,El Espino,1,2020
15248,El Espino,1,2024
15272,Firavitoba,1,2021
15272,Firavitoba,2,2024
15272,Firavitoba,1,2025
15296,Gameza,1,2022
15317,Guacamayas,1,2023
15317,Guacamayas,2,2024
15368,Jericó,4,2023
15368,Jericó,1,2024
15403,La Uvita,6,2022
15403,La Uvita,1,2023
15403,La Uvita,6,2024
15407,Villa De Leyva,1,2021
15407,Villa De Leyva,2,2022
15407,Villa De Leyva,4,2023
15407,Villa De Leyva,2,2024
15407,Villa De Leyva,4,2025
15442,Maripí,5,2020
15442,Maripí,15,2021
15442,Maripí,5,2022
15442,Maripí,10,2023
15442,Maripí,3,2024
15442,Maripí,5,2025
15455,Miraflores,6,2020
15455,Miraflores,5,2021
15455,Miraflores,16,2022
15455,Miraflores,1,2023
15455,Miraflores,4,2024
15455,Miraflores,5,2025
15464,Mongua,1,2023
15466,Monguì,1,2020
15469,Moniquira,2,2020
15469,Moniquira,1,2022
15469,Moniquira,1,2023
15469,Moniquira,1,2024
15469,Moniquira,2,2025
15476,Motavita,2,2021
15476,Motavita,1,2022
15476,Motavita,2,2023
15476,Motavita,1,2024
15480,Muzo,1,2023
15480,Muzo,1,2025
15491,Nobsa,1,2020
