geo,Municipio,Expedientes,Año
15491,Nobsa,3,2024
15491,Nobsa,1,2025
15500,Oicata,1,2022
15500,Oicata,3,2024
15500,Oicata,1,2025
15507,Otanche,6,2020
15507,Otanche,4,2021
15507,Otanche,1,2022
15507,Otanche,2,2023
15507,Otanche,9,2024
15507,Otanche,2,2025
15514,Páez,1,2021
15514,Páez,7,2022
15514,Páez,4,2024
15514,Páez,2,2025
15516,Paipa,1,2020
15516,Paipa,2,2021
15516,Paipa,1,2022
15516,Paipa,6,2023
15516,Paipa,14,2024
15516,Paipa,2,2025
15522,Panqueba,4,2023
15522,Panqueba,2,2024
15531,Pauna,13,2020
15531,Pauna,23,2021
15531,Pauna,16,2022
15531,Pauna,33,2023
15531,Pauna,36,2024
15531,Pauna,15,2025
15537,Paz De Río,1,2025
15542,Pesca,1,2020
15542,Pesca,1,2021
15542,Pesca,1,2024
15572,Puerto Boyacá,2,2021
15572,Puerto Boyacá,2,2022
15572,Puerto Boyacá,8,2023
15572,Puerto Boyacá,8,2024
15572,Puerto Boyacá,4,2025
15621,Rondón,1,2020
15621,Rondón,1,2022
15621,Rondón,1,2024
15646,Samacá,1,2020
15646,Samacá,1,2023
15646,Samacá,4,2024
15646,Samacá,1,2025
15660,San Eduardo,2,2021
15660,San Eduardo,1,2024
15664,San José De Pare,1,2025
15673,San Mateo,1,2020
15673,San Mateo,4,2022
15673,San Mateo,2,2023
15673,San Mateo,2,2024
15681,San Pablo De Borbur,3,2021
15681,San Pablo De Borbur,1,2022
15681,San Pablo De Borbur,3,2024
15686,Santana,1,2023
15693,Santa Rosa De Viterbo,1,2021
15693,Santa Rosa De Viterbo,1,2024
15696,Santa Sofía,1,2021
15696,Santa Sofía,1,2022
15696,Santa Sofía,1,2024
15720,Sativanorte,5,2022
15720,Sativanorte,5,2023
15720,Sativanorte,2,2024
15723,Sativasur,1,2024
15740,Siachoque,1,2024
15753,Soatá,2,2022
15753,Soatá,1,2023
15753,Soatá,5,2024
15755,Socotá,2,2022
15755,Socotá,1,2023
15755,Socotá,2,2024
15755,Socotá,2,2025
15757,Socha,2,2020
15757,Socha,1,2022
15757,Socha,1,2023
15757,Socha,7,2025
15759,Sogamoso,1,2020
15759,Sogamoso,1,2022
15759,Sogamoso,1,2023
15759,Sogamoso,12,2024
15762,Sora,1,2024
15763,Sotaquirá,1,2020
15763,Sotaquirá,1,2021
15763,Sotaquirá,2,2024
15764,Soracá,1,2022
15764,Soracá,1,2024
15774,Susacón,1,2021
15774,Susacón,6,2023
15774,Susacón,4,2024
15774,Susacón,3,2025
15776,Sutamarchàn,3,2024
15790,Tasco,1,2022
15790,Tasco,1,2023
15790,Tasco,3,2024
15806,Tibasosa,7,2022
15806,Tibasosa,3,2024
15808,Tinjacá,1,2024
15810,Tipacoque,2,2023
15810,Tipacoque,1,2024
15814,Toca,1,2023
15814,Toca,2,2024
15816,Togüí,2,2024
15820,Tópaga,1,2022
15822,Tota,1,2024
15832,Tununguá,1,2021
15832,Tununguá,1,2023
15832,Tununguá,2,2024
15832,Tununguá,1,2025
15837,Tuta,1,2022
15837,Tuta,1,2023
15837,Tuta,1,2024
15839,Tutazá,2,2024
15897,Zetaquirá,3,2021
15897,Zetaquirá,6,2022
15897,Zetaquirá,4,2024
15897,Zetaquirá,2,2025
